Objectives Study Protocol	Unnamed: 1	Armenia	84	32	0	0.1	Local transmission	0.2	African Region	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
		Gibraltar	8.0	5.0	0.0	0.0	Under investigation	0.0						
		Jersey	5.0	0.0	0.0	0.0	Imported cases only	1.0						
		Greenland	2.0	0.0	0.0	0.0	Under investigation	1.0						
		Guernsey	1.0	0.0	0.0	0.0	Imported cases only	9.0						
		South-East Asia Region	 	 	 	 	 	 						
		Indonesia	227.0	55.0	19.0	14.0	Local transmission	0.0						
		Thailand	212.0	35.0	1.0	0.0	Local transmission	0.0						
		India	151.0	14.0	3.0	0.0	Local transmission	0.0						
		Sri Lanka	42.0	13.0	0.0	0.0	Local transmission	0.0						
		Maldives	13.0	0.0	0.0	0.0	Local transmission	3.0						
		Bangladesh	10.0	2.0	0.0	0.0	Local transmission	0.0						
		Bhutan	1.0	0.0	0.0	0.0	Imported cases only	12.0						
		Nepal	1.0	0.0	0.0	0.0	Imported cases only	55.0						
		Eastern Mediterranean Region	 	 	 	 	 	 						
		Iran (Islamic Republic of)	17361.0	1192.0	1135.0	147.0	Local transmission	0.0						
		Qatar	442.0	0.0	0.0	0.0	Local transmission	1.0						
		Bahrain	256.0	5.0	1.0	0.0	Local transmission	0.0						
		Pakistan	241.0	54.0	0.0	0.0	Imported cases only	0.0						
		Saudi Arabia	238.0	67.0	0.0	0.0	Local transmission	0.0						
		Egypt	196.0	30.0	6.0	2.0	Local transmission	0.0						
		Iraq	164.0	0.0	12.0	0.0	Local transmission	1.0						
		Kuwait	142.0	12.0	0.0	0.0	Local transmission	0.0						
		Lebanon	133.0	13.0	4.0	1.0	Local transmission	0.0						
		United Arab Emirates	113.0	15.0	0.0	0.0	Local transmission	0.0						
		Jordan	52.0	13.0	0.0	0.0	Imported cases only	0.0						
		Morocco	49.0	11.0	2.0	0.0	Local transmission	0.0						
		Oman	33.0	9.0	0.0	0.0	Imported cases only	0.0						
		Tunisia	29.0	5.0	0.0	0.0	Local transmission	0.0						
		Afghanistan	22.0	0.0	0.0	0.0	Imported cases only	1.0						
		Djibouti	1.0	1.0	0.0	0.0	Under investigation	0.0						
		Somalia	1.0	0.0	0.0	0.0	Imported cases only	2.0						
		Sudan	1.0	0.0	1.0	0.0	Imported cases only	4.0						
		Territories**	 	 	 	 	 	 						
		occupied Palestinian territory	44.0	3.0	0.0	0.0	Local transmission	0.0						
		Region of the Americas	 	 	 	 	 	 						
		United States of America	7087.0	3551.0	100.0	42.0	Local transmission	0.0						
		Canada	569.0	145.0	8.0	7.0	Local transmission	0.0						
		Brazil	291.0	57.0	1.0	1.0	Local transmission	0.0						
		Chile	238.0	82.0	0.0	0.0	Local transmission	0.0						
		Ecuador	155.0	97.0	2.0	0.0	Local transmission	0.0						
		Peru	145.0	59.0	0.0	0.0	Local transmission	0.0						
		Colombia	93.0	48.0	0.0	0.0	Local transmission	0.0						
		Mexico	93.0	11.0	0.0	0.0	Imported cases only	0.0						
		Panama	86.0	17.0	1.0	0.0	Local transmission	0.0						
		Argentina	79.0	14.0	2.0	0.0	Local transmission	0.0						
		Costa Rica	50.0	9.0	0.0	0.0	Local transmission	0.0						
		Venezuela (Bolivarian Republic of)	36.0	3.0	0.0	0.0	Imported cases only	0.0						
		Uruguay	29.0	23.0	0.0	0.0	Imported cases only	0.0						
		Dominican Republic	21.0	0.0	1.0	0.0	Local transmission	1.0						
		Jamaica	13.0	1.0	0.0	0.0	Local transmission	0.0						
		Bolivia (Plurinational State of)	12.0	1.0	0.0	0.0	Imported cases only	0.0						
		Paraguay	11.0	2.0	0.0	0.0	Local transmission	0.0						
		Cuba	10.0	5.0	1.0	0.0	Local transmission	0.0						
		Honduras	9.0	1.0	0.0	0.0	Imported cases only	0.0						
		Trinidad and Tobago	7.0	2.0	0.0	0.0	Imported cases only	0.0						
		Guatemala	6.0	0.0	1.0	0.0	Imported cases only	1.0						
		Guyana	4.0	1.0	1.0	0.0	Local transmission	0.0						
		Bahamas	3.0	2.0	0.0	0.0	Local transmission	0.0						
		Barbados	2.0	2.0	0.0	0.0	Imported cases only	0.0						
		Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	3.0						
		Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	5.0						
		Montserrat	1.0	1.0	0.0	0.0	Imported cases only	0.0						
		Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	5.0						
		Suriname	1.0	0.0	0.0	0.0	Imported cases only	3.0						
		Territories**	 	 	 	 	 	 						
		Guadeloupe	33.0	15.0	0.0	0.0	Imported cases only	0.0						
		Martinique	23.0	7.0	0.0	0.0	Imported cases only	0.0						
		French Guiana	11.0	4.0	0.0	0.0	Imported cases only	0.0						
		Puerto Rico	5.0	2.0	0.0	0.0	Imported cases only	0.0						
		Aruba	4.0	2.0	0.0	0.0	Imported cases only	0.0						
		Saint Martin	4.0	2.0	0.0	0.0	Under investigation	0.0						
		Curaçao	3.0	0.0	0.0	0.0	Imported cases only	1.0						
		Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	3.0						
		United States Virgin Islands	2.0	0.0	0.0	0.0	Imported cases only	1.0						
		Cayman Islands	1.0	0.0	1.0	0.0	Imported cases only	5.0						
	116.0								South Africa	54.0	0.0	0.0	Local transmission	0.0
	72.0								Algeria	12.0	6.0	2.0	Local transmission	0.0
	36.0								Senegal	9.0	0.0	0.0	Local transmission	0.0
	26.0								Burkina Faso	6.0	1.0	1.0	Imported cases only	0.0
	11.0								Rwanda	4.0	0.0	0.0	Local transmission	0.0
	10.0								Cameroon	5.0	0.0	0.0	Local transmission	0.0
	9.0								Cote d’Ivoire	3.0	0.0	0.0	Imported cases only	0.0
	9.0								Ghana	1.0	0.0	0.0	Imported cases only	0.0
	8.0								Nigeria	6.0	0.0	0.0	Imported cases only	0.0
	7.0								Democratic Republic of the Congo	4.0	0.0	0.0	Local transmission	0.0
	7.0								Kenya	4.0	0.0	0.0	Local transmission	0.0
	6.0								Ethiopia	1.0	0.0	0.0	Imported cases only	0.0
	6.0								Seychelles	2.0	0.0	0.0	Imported cases only	0.0
	3.0								Congo	2.0	0.0	0.0	Imported cases only	0.0
	3.0								Equatorial Guinea	2.0	0.0	0.0	Imported cases only	0.0
	3.0								Gabon	2.0	0.0	0.0	Imported cases only	0.0
	3.0								Mauritius	3.0	0.0	0.0	Under investigation	0.0
	3.0								United Republic of Tanzania	2.0	0.0	0.0	Imported cases only	0.0
	2.0								Liberia	1.0	0.0	0.0	Local transmission	0.0
	2.0								Mauritania	1.0	0.0	0.0	Imported cases only	0.0
	2.0								Namibia	0.0	0.0	0.0	Imported cases only	4.0
	2.0								Zambia	2.0	0.0	0.0	Imported cases only	0.0
	1.0								Benin	0.0	0.0	0.0	Imported cases only	1.0
	1.0								Central African Republic	0.0	0.0	0.0	Imported cases only	4.0
	1.0								Eswatini	0.0	0.0	0.0	Imported cases only	4.0
	1.0								Gambia	1.0	0.0	0.0	Imported cases only	0.0
	1.0								Guinea	0.0	0.0	0.0	Imported cases only	4.0
	1.0								Togo	0.0	0.0	0.0	Imported cases only	11.0
	 								Territories**	 	 	 	 	 
	12.0								Réunion	3.0	0.0	0.0	Imported cases only	0.0
	3.0								Mayotte	2.0	0.0	0.0	Imported cases only	0.0
	209127.0								Subtotal for all regions	16556.0	8771.0	828.0	 	 
	712.0								International conveyance (Diamond Princess)	0.0	7.0	0.0	Local transmission	3.0
	209839.0								Grand total	16556.0	8778.0	828.0	 	 
