Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
Kuwait	12 (4)	0 (0)	12 (4)	0 (0)	0 (0)	0 (0)	 	 	 
Iraq	5 (4)	0 (0)	5 (4)	0 (0)	0 (0)	0 (0)	 	 	 
Oman	4 (2)	0 (0)	4 (2)	0 (0)	0 (0)	0 (0)	 	 	 
Afghanistan	1 (0)	0 (0)	1 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Egypt	1 (0)	0 (0)	0 (0)	1 (0)	0 (0)	0 (0)	 	 	 
Lebanon	1 (0)	0 (0)	1 (0)	0 (0)	0 (0)	0 (0)	 	 	 
African Region	 	 	 	 	 	 	 	 	 
Algeria	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 
 	 	 	 	 	 	 	 	 	 
Subtotal for all regions	2227 (459)	179 (0)	131 (37)	988 (7)	929 (415)	41 (10)	 	 	 
International conveyance‡ (Diamond Princess)	691 (0)	0 (0)	0 (0)	0 (0)	691 (0)	3 (0)	 	 	 
Grand total§	2918 (459)	179 (0)	131 (37)	988 (7)	929 (415)	44 (10)	 	 	 
