Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	536	41	30	6	Local transmission	0	Benin	0.1	0.2	Imported cases only	1
Isle of Man	29.0	3.0	0.0	0.0	Local transmission	0.0												
Greenland	9.0	3.0	0.0	0.0	Under investigation	0.0												
South-East Asia Region	 	 	 	 	 	 												
Thailand	1136.0	0.0	5.0	0.0	Local transmission	1.0												
Indonesia	1046.0	153.0	87.0	9.0	Local transmission	0.0												
India	724.0	0.0	17.0	0.0	Local transmission	1.0												
Sri Lanka	106.0	0.0	0.0	0.0	Local transmission	1.0												
Bangladesh	48.0	0.0	5.0	0.0	Local transmission	1.0												
Maldives	13.0	0.0	0.0	0.0	Local transmission	12.0												
Myanmar	5.0	0.0	0.0	0.0	Imported cases only	1.0												
Bhutan	3.0	0.0	0.0	0.0	Imported cases only	1.0												
Nepal	3.0	0.0	0.0	0.0	Imported cases only	2.0												
Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	7.0												
Eastern Mediterranean Region	 	 	 	 	 	 												
Iran (Islamic Republic of)	32332.0	2926.0	2378.0	144.0	Local transmission	0.0												
Pakistan	1235.0	178.0	9.0	1.0	Local transmission	0.0												
Saudi Arabia	1104.0	92.0	3.0	0.0	Local transmission	0.0												
Qatar	562.0	13.0	0.0	0.0	Local transmission	0.0												
							Bahrain	473.0	15.0	4.0	0.0	Local transmission	0.0					
							Iraq	458.0	76.0	40.0	4.0	Local transmission	0.0					
							United Arab Emirates	405.0	72.0	2.0	0.0	Local transmission	0.0					
							Lebanon	391.0	23.0	8.0	2.0	Local transmission	0.0					
							Morocco	358.0	83.0	23.0	13.0	Local transmission	0.0					
							Jordan	235.0	23.0	1.0	1.0	Local transmission	0.0					
							Kuwait	235.0	27.0	0.0	0.0	Local transmission	0.0					
							Tunisia	227.0	30.0	6.0	1.0	Local transmission	0.0					
							Oman	152.0	43.0	0.0	0.0	Local transmission	0.0					
							Afghanistan	106.0	26.0	2.0	0.0	Local transmission	0.0					
							Djibouti	13.0	1.0	0.0	0.0	Local transmission	0.0					
							Syrian Arab Republic	5.0	0.0	0.0	0.0	Imported cases only	2.0					
							Somalia	3.0	0.0	0.0	0.0	Imported cases only	1.0					
							Sudan	3.0	0.0	1.0	0.0	Imported cases only	3.0					
							Libya	1.0	0.0	0.0	0.0	Imported cases only	3.0					
							Territories**	 	 	 	 	 	 					
							occupied Palestinian territory	97.0	13.0	1.0	0.0	Local transmission	0.0					
							Region of the Americas	 	 	 	 	 	 					
							United States of America	85228.0	16894.0	1243.0	252.0	Local transmission	0.0					
							Canada	4018.0	463.0	39.0	4.0	Local transmission	0.0					
							Brazil	2915.0	482.0	77.0	20.0	Local transmission	0.0					
							Chile	1610.0	304.0	5.0	1.0	Local transmission	0.0					
							Ecuador	1595.0	384.0	36.0	7.0	Local transmission	0.0					
							Panama	674.0	116.0	9.0	1.0	Local transmission	0.0					
							Argentina	589.0	87.0	12.0	4.0	Local transmission	0.0					
							Mexico	589.0	111.0	8.0	3.0	Local transmission	0.0					
							Dominican Republic	581.0	93.0	20.0	10.0	Local transmission	0.0					
							Peru	580.0	0.0	9.0	0.0	Local transmission	1.0					
							Colombia	491.0	21.0	6.0	2.0	Local transmission	0.0					
							Uruguay	238.0	21.0	0.0	0.0	Local transmission	0.0					
							Costa Rica	231.0	30.0	2.0	0.0	Local transmission	0.0					
							Venezuela (Bolivarian Republic of)	106.0	15.0	0.0	0.0	Local transmission	0.0					
							Cuba	80.0	13.0	2.0	1.0	Local transmission	0.0					
							Honduras	67.0	15.0	1.0	0.0	Local transmission	0.0					
							Trinidad and Tobago	66.0	5.0	2.0	1.0	Local transmission	0.0					
							Bolivia (Plurinational State of)	61.0	22.0	0.0	0.0	Local transmission	0.0					
							Paraguay	52.0	11.0	3.0	0.0	Local transmission	0.0					
							Jamaica	26.0	0.0	1.0	0.0	Local transmission	2.0					
							Guatemala	25.0	1.0	1.0	0.0	Local transmission	0.0					
							Barbados	24.0	6.0	0.0	0.0	Local transmission	0.0					
							El Salvador	13.0	0.0	0.0	0.0	Imported cases only	2.0					
							Dominica	11.0	0.0	0.0	0.0	Local transmission	1.0					
							Bahamas	9.0	4.0	0.0	0.0	Local transmission	0.0					
							Haiti	8.0	0.0	0.0	0.0	Imported cases only	2.0					
							Suriname	8.0	1.0	0.0	0.0	Imported cases only	0.0					
							Antigua and Barbuda	7.0	4.0	0.0	0.0	Imported cases only	0.0					
							Grenada	7.0	0.0	0.0	0.0	Local transmission	1.0					
							Guyana	5.0	0.0	1.0	0.0	Local transmission	9.0					
							Saint Lucia	3.0	0.0	0.0	0.0	Imported cases only	4.0					
							Belize	2.0	0.0	0.0	0.0	Local transmission	2.0					
							Nicaragua	2.0	0.0	1.0	1.0	Imported cases only	6.0					
							Saint Kitts and Nevis	2.0	0.0	0.0	0.0	Imported cases only	2.0					
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	15.0					
							Territories**	 	 	 	 	 	 					
							Guadeloupe	96.0	20.0	2.0	2.0	Imported cases only	0.0					
							Martinique	93.0	27.0	1.0	0.0	Imported cases only	0.0					
							Puerto Rico	64.0	0.0	2.0	0.0	Imported cases only	1.0					
							French Guiana	31.0	3.0	0.0	0.0	Local transmission	0.0					
							Aruba	28.0	9.0	0.0	0.0	Local transmission	0.0					
							United States Virgin Islands	17.0	0.0	0.0	0.0	Imported cases only	4.0					
							Bermuda	15.0	8.0	0.0	0.0	Local transmission	0.0					
							Saint Martin	12.0	1.0	0.0	0.0	Under investigation	0.0					
							Cayman Islands	8.0	0.0	1.0	0.0	Imported cases only	2.0					
							Curaçao	7.0	0.0	1.0	0.0	Imported cases only	1.0					
							Montserrat	5.0	3.0	0.0	0.0	Imported cases only	0.0					
							Saint Barthélemy	5.0	2.0	0.0	0.0	Under investigation	0.0					
							Sint Maarten	3.0	1.0	0.0	0.0	Imported cases only	0.0					
							Anguilla	2.0	0.0	0.0	0.0	Local transmission	1.0					
							British Virgin Islands	2.0	0.0	0.0	0.0	Imported cases only	1.0					
							Turks and Caicos Islands	2.0	0.0	0.0	0.0	Imported cases only	1.0					
							African Region	 	 	 	 	 	 					
							South Africa	1170.0	243.0	2.0	2.0	Local transmission	0.0					
							Algeria	367.0	62.0	25.0	4.0	Local transmission	0.0					
							Burkina Faso	146.0	0.0	3.0	0.0	Local transmission	2.0					
							Ghana	137.0	5.0	4.0	1.0	Local transmission	0.0					
							Senegal	119.0	14.0	0.0	0.0	Local transmission	0.0					
							Mauritius	96.0	15.0	2.0	0.0	Imported cases only	0.0					
							Cote d’Ivoire	92.0	12.0	0.0	0.0	Imported cases only	0.0					
							Cameroon	75.0	0.0	1.0	0.0	Local transmission	1.0					
							Nigeria	65.0	0.0	1.0	0.0	Local transmission	1.0					
							Democratic Republic of the Congo	58.0	4.0	4.0	0.0	Local transmission	0.0					
							Rwanda	54.0	4.0	0.0	0.0	Local transmission	0.0					
							Madagascar	26.0	2.0	0.0	0.0	Imported cases only	0.0					
							Kenya	25.0	0.0	1.0	0.0	Local transmission	3.0					
							Togo	25.0	1.0	0.0	0.0	Imported cases only	0.0					
							Congo	19.0	15.0	0.0	0.0	Imported cases only	0.0					
							Ethiopia	16.0	4.0	0.0	0.0	Imported cases only	0.0					
							Uganda	14.0	0.0	0.0	0.0	Imported cases only	2.0					
							United Republic of Tanzania	13.0	0.0	0.0	0.0	Imported cases only	2.0					
							Zambia	13.0	10.0	0.0	0.0	Local transmission	0.0					
							Niger	10.0	0.0	1.0	0.0	Local transmission	1.0					
							Eswatini	9.0	3.0	0.0	0.0	Imported cases only	0.0					
							Mali	9.0	7.0	0.0	0.0	Local transmission	0.0					
							Guinea	8.0	3.0	0.0	0.0	Imported cases only	0.0					
							Namibia	8.0	0.0	0.0	0.0	Imported cases only	1.0					
							Gabon	7.0	1.0	1.0	0.0	Imported cases only	0.0					
							Mozambique	7.0	2.0	0.0	0.0	Local transmission	0.0					
							Seychelles	7.0	0.0	0.0	0.0	Imported cases only	6.0					
											6.0		1.0	Central African Republic	0.0	0.0	Imported cases only	0.0
											6.0		0.0	Equatorial Guinea	0.0	0.0	Imported cases only	6.0
											6.0		0.0	Eritrea	0.0	0.0	Imported cases only	1.0
											5.0		2.0	Cabo Verde	1.0	1.0	Imported cases only	0.0
											5.0		0.0	Chad	0.0	0.0	Imported cases only	1.0
											5.0		2.0	Zimbabwe	1.0	0.0	Local transmission	0.0
											3.0		0.0	Liberia	0.0	0.0	Local transmission	6.0
											3.0		0.0	Mauritania	0.0	0.0	Imported cases only	1.0
											2.0		0.0	Angola	0.0	0.0	Imported cases only	6.0
											2.0		0.0	Gambia	1.0	1.0	Imported cases only	3.0
											2.0		0.0	Guinea-Bissau	0.0	0.0	Imported cases only	2.0
											 		 	Territories**	 	 	 	 
											135.0		0.0	Réunion	0.0	0.0	Local transmission	1.0
											50.0		0.0	Mayotte	0.0	0.0	Local transmission	1.0
											570947.0		62495.0	Subtotal for all regions	26486.0	3158.0	 	 
											712.0		0.0	International conveyance (Diamond Princess)	7.0	0.0	Local transmission	12.0
											571659.0		62495.0	Grand total	26493.0	3158.0	 	 
