Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Indonesia	2	0	0.1	0.2	Local transmission	0.3
Germany	157	28	0	0	Local transmission	0	 	 	 							
Spain	114	69	0	0	Local transmission	0	 	 	 							
the United Kingdom	39	3	0	0	Local transmission	0	 	 	 							
Switzerland	30	6	0	0	Local transmission	0	 	 	 							
Norway	25	6	0	0	Local transmission	0	 	 	 							
Austria	18	8	0	0	Imported cases only	0	 	 	 							
Netherlands	18	5	0	0	Local transmission	0	 	 	 							
Sweden	15	1	0	0	Local transmission	0	 	 	 							
Israel	10	3	0	0	Local transmission	0	 	 	 							
Croatia	8	2	0	0	Local transmission	0	 	 	 							
Iceland	9	7	0	0	Imported cases only	0	 	 	 							
San Marino	8	7	0	0	Local transmission	0	 	 	 							
Belgium	8	7	0	0	Imported cases only	0	 	 	 							
Finland	7	1	0	0	Local transmission	0	 	 	 							
Greece	7	0	0	0	Local transmission	1	 	 	 							
Denmark	5	1	0	0	Local transmission	0	 	 	 							
Azerbaijan	3	0	0	0	Imported cases only	2	 	 	 							
Czechia	3	0	0	0	Imported cases only	1	 	 	 							
Georgia	3	0	0	0	Imported cases only	2	 	 	 							
Romania	3	0	0	0	Imported cases only	3	 	 	 							
Russian Federation	3	1	0	0	Imported cases only	0	 	 	 							
Portugal	2	2	0	0	Imported cases only	0	 	 	 							
Andorra	1	1	0	0	Imported cases only	0	 	 	 							
Armenia	1	0	0	0	Imported cases only	1	 	 	 							
Belarus	1	0	0	0	Imported cases only	4	 	 	 							
Estonia	1	0	0	0	Imported cases only	5	 	 	 							
Ireland	1	0	0	0	Imported cases only	2	 	 	 							
Latvia	1	1	0	0	Imported cases only	0	 	 	 							
Lithuania	1	0	0	0	Imported cases only	4	 	 	 							
Luxembourg	1	0	0	0	Imported cases only	1	 	 	 							
Monaco	1	0	0	0	Under investigation	2	 	 	 							
North Macedonia	1	0	0	0	Imported cases only	6	 	 	 							
South-East Asia Region	 	 	 	 	 	 	 	 	 							
Thailand	43	1	1	0	Local transmission	0	 	 	 							
India	5	2	0	0	Imported cases only	0	 	 	 							
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	39.0
										Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	36.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	1501.0	523.0	66.0	12.0	Local transmission	0.0
										Kuwait	56.0	0.0	0.0	0.0	Imported cases only	1.0
										Bahrain	49.0	2.0	0.0	0.0	Imported cases only	0.0
										Iraq	26.0	7.0	0.0	0.0	Imported cases only	0.0
										United Arab Emirates	21.0	0.0	0.0	0.0	Local transmission	1.0
										Lebanon	13.0	3.0	0.0	0.0	Local transmission	0.0
										Qatar	7.0	4.0	0.0	0.0	Imported cases only	0.0
										Oman	6.0	0.0	0.0	0.0	Imported cases only	4.0
										Pakistan	5.0	1.0	0.0	0.0	Imported cases only	0.0
										Egypt	2.0	0.0	0.0	0.0	Imported cases only	0.0
										Afghanistan	1.0	0.0	0.0	0.0	Imported cases only	8.0
										Jordan	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Morocco	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Saudi Arabia	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Tunisia	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Region of the Americas	 	 	 	 	 	 
										the United States	64.0	2.0	2.0	2.0	Local transmission	0.0
										Canada	27.0	8.0	0.0	0.0	Local transmission	0.0
										Ecuador	6.0	5.0	0.0	0.0	Local transmission	0.0
										Mexico	5.0	0.0	0.0	0.0	Imported cases only	1.0
										Brazil	2.0	0.0	0.0	0.0	Imported cases only	2.0
										Dominican Republic	1.0	0.0	0.0	0.0	Imported cases only	1.0
										African Region	 	 	 	 	 	 
										Algeria	5.0	4.0	0.0	0.0	Local transmission	0.0
										Nigeria	1.0	0.0	0.0	0.0	Imported cases only	4.0
										Senegal	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Subtotal for all regions	9859.0	1792.0	160.0	38.0	 	 
										International conveyance (Diamond Princess) ‡	706.0	0.0	6.0	0.0	Local transmission	1.0
										Grand total§	10565.0	1792.0	166.0	38.0	 	 
