Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	402	36	20	1	Local transmission	0	Mozambique	3	2	0.1	Imported cases only	0.2
Bangladesh	39.0	6.0	4.0	1.0	Local transmission	0.0													
Maldives	13.0	0.0	0.0	0.0	Local transmission	9.0													
Myanmar	3.0	1.0	0.0	0.0	Imported cases only	0.0													
Bhutan	2.0	0.0	0.0	0.0	Imported cases only	5.0													
Nepal	2.0	0.0	0.0	0.0	Imported cases only	1.0													
Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	4.0													
Eastern Mediterranean Region	 	 	 	 	 	 													
Iran (Islamic Republic of)	24811.0	1762.0	1934.0	122.0	Local transmission	0.0													
Pakistan	991.0	104.0	7.0	1.0	Local transmission	0.0													
Saudi Arabia	767.0	205.0	1.0	1.0	Local transmission	0.0													
Qatar	526.0	25.0	0.0	0.0	Local transmission	0.0													
							Bahrain	392.0	15.0	3.0	1.0	Local transmission	0.0						
							Iraq	316.0	50.0	27.0	4.0	Local transmission	0.0						
							Lebanon	304.0	37.0	4.0	0.0	Local transmission	0.0						
							United Arab Emirates	248.0	50.0	2.0	0.0	Local transmission	0.0						
							Kuwait	195.0	4.0	0.0	0.0	Local transmission	0.0						
							Morocco	170.0	27.0	5.0	1.0	Local transmission	0.0						
							Jordan	153.0	26.0	0.0	0.0	Imported cases only	0.0						
							Tunisia	114.0	25.0	3.0	0.0	Local transmission	0.0						
							Oman	99.0	15.0	0.0	0.0	Local transmission	0.0						
							Afghanistan	74.0	32.0	1.0	0.0	Imported cases only	0.0						
							Djibouti	3.0	0.0	0.0	0.0	Imported cases only	1.0						
							Sudan	3.0	1.0	1.0	0.0	Imported cases only	0.0						
							Libya	1.0	1.0	0.0	0.0	Imported cases only	0.0						
							Somalia	1.0	0.0	0.0	0.0	Imported cases only	8.0						
							Syrian Arab Republic	1.0	0.0	0.0	0.0	Imported cases only	2.0						
							Territories**	 	 	 	 	 	 						
							occupied Palestinian territory	60.0	1.0	0.0	0.0	Local transmission	0.0						
							Region of the Americas	 	 	 	 	 	 						
							United States of America	51914.0	9750.0	673.0	202.0	Local transmission	0.0						
							Brazil	2201.0	655.0	46.0	21.0	Local transmission	0.0						
							Canada	1739.0	307.0	25.0	5.0	Local transmission	0.0						
							Ecuador	1049.0	259.0	27.0	12.0	Local transmission	0.0						
							Chile	922.0	176.0	2.0	1.0	Local transmission	0.0						
							Peru	416.0	21.0	5.0	3.0	Local transmission	0.0						
							Mexico	370.0	0.0	4.0	0.0	Local transmission	1.0						
							Panama	345.0	0.0	6.0	0.0	Local transmission	1.0						
							Dominican Republic	312.0	67.0	6.0	3.0	Local transmission	0.0						
							Colombia	306.0	29.0	3.0	0.0	Local transmission	0.0						
							Argentina	301.0	35.0	4.0	0.0	Local transmission	0.0						
							Costa Rica	177.0	19.0	2.0	0.0	Local transmission	0.0						
							Uruguay	162.0	0.0	0.0	0.0	Imported cases only	1.0						
							Venezuela (Bolivarian Republic of)	77.0	7.0	0.0	0.0	Local transmission	0.0						
							Trinidad and Tobago	57.0	6.0	0.0	0.0	Imported cases only	0.0						
							Cuba	48.0	8.0	1.0	0.0	Local transmission	0.0						
							Honduras	30.0	0.0	0.0	0.0	Local transmission	1.0						
							Bolivia (Plurinational State of)	28.0	1.0	0.0	0.0	Local transmission	0.0						
							Paraguay	27.0	5.0	2.0	1.0	Local transmission	0.0						
							Guatemala	21.0	1.0	1.0	0.0	Local transmission	0.0						
							Jamaica	21.0	2.0	1.0	0.0	Local transmission	0.0						
							Barbados	18.0	1.0	0.0	0.0	Local transmission	0.0						
							Haiti	7.0	1.0	0.0	0.0	Imported cases only	0.0						
							Suriname	6.0	4.0	0.0	0.0	Imported cases only	0.0						
							El Salvador	5.0	2.0	0.0	0.0	Imported cases only	0.0						
							Guyana	5.0	0.0	1.0	0.0	Local transmission	6.0						
							Bahamas	4.0	0.0	0.0	0.0	Local transmission	4.0						
							Antigua and Barbuda	3.0	2.0	0.0	0.0	Imported cases only	0.0						
							Saint Lucia	3.0	0.0	0.0	0.0	Imported cases only	1.0						
							Dominica	2.0	1.0	0.0	0.0	Imported cases only	0.0						
							Nicaragua	2.0	0.0	0.0	0.0	Imported cases only	3.0						
							Belize	1.0	0.0	0.0	0.0	Imported cases only	1.0						
							Grenada	1.0	0.0	0.0	0.0	Imported cases only	2.0						
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	12.0						
							Territories**	 	 	 	 	 	 						
							Guadeloupe	73.0	11.0	0.0	0.0	Imported cases only	0.0						
							Martinique	57.0	4.0	0.0	0.0	Imported cases only	0.0						
							Puerto Rico	39.0	8.0	2.0	0.0	Imported cases only	0.0						
							French Guiana	23.0	3.0	0.0	0.0	Local transmission	0.0						
							United States Virgin Islands	17.0	0.0	0.0	0.0	Imported cases only	1.0						
							Aruba	12.0	3.0	0.0	0.0	Local transmission	0.0						
							Saint Martin	8.0	0.0	0.0	0.0	Under investigation	1.0						
							Bermuda	6.0	0.0	0.0	0.0	Imported cases only	1.0						
							Curaçao	6.0	2.0	1.0	0.0	Imported cases only	0.0						
							Cayman Islands	5.0	0.0	1.0	0.0	Imported cases only	1.0						
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	9.0						
							Sint Maarten	2.0	0.0	0.0	0.0	Imported cases only	1.0						
							Montserrat	1.0	0.0	0.0	0.0	Imported cases only	7.0						
							Turks and Caicos Islands	1.0	0.0	0.0	0.0	Imported cases only	1.0						
							African Region	 	 	 	 	 	 						
							South Africa	554.0	152.0	0.0	0.0	Local transmission	0.0						
							Algeria	264.0	33.0	17.0	0.0	Local transmission	0.0						
							Burkina Faso	114.0	15.0	3.0	0.0	Local transmission	0.0						
							Senegal	86.0	7.0	0.0	0.0	Local transmission	0.0						
							Cameroon	72.0	0.0	1.0	1.0	Local transmission	1.0						
							Côte d’Ivoire	72.0	47.0	0.0	0.0	Imported cases only	0.0						
							Ghana	53.0	26.0	2.0	0.0	Local transmission	0.0						
							Democratic Republic of the Congo	45.0	9.0	2.0	0.0	Local transmission	0.0						
							Mauritius	42.0	6.0	2.0	2.0	Imported cases only	0.0						
							Nigeria	42.0	20.0	0.0	0.0	Imported cases only	0.0						
							Rwanda	40.0	4.0	0.0	0.0	Local transmission	0.0						
							Kenya	25.0	9.0	0.0	0.0	Local transmission	0.0						
							Togo	20.0	2.0	0.0	0.0	Imported cases only	0.0						
							Madagascar	19.0	6.0	0.0	0.0	Imported cases only	0.0						
							Ethiopia	12.0	1.0	0.0	0.0	Imported cases only	0.0						
							United Republic of Tanzania	12.0	0.0	0.0	0.0	Imported cases only	2.0						
							Uganda	9.0	0.0	0.0	0.0	Imported cases only	1.0						
							Seychelles	7.0	0.0	0.0	0.0	Imported cases only	3.0						
							Equatorial Guinea	6.0	0.0	0.0	0.0	Imported cases only	3.0						
							Gabon	6.0	0.0	1.0	0.0	Imported cases only	2.0						
							Benin	5.0	0.0	0.0	0.0	Imported cases only	1.0						
							Central African Republic	4.0	0.0	0.0	0.0	Imported cases only	2.0						
							Congo	4.0	0.0	0.0	0.0	Imported cases only	3.0						
							Eswatini	4.0	0.0	0.0	0.0	Imported cases only	2.0						
							Guinea	4.0	0.0	0.0	0.0	Imported cases only	1.0						
							Namibia	4.0	1.0	0.0	0.0	Imported cases only	0.0						
							Cabo Verde	3.0	0.0	0.0	0.0	Imported cases only	3.0						
							Chad	3.0	0.0	0.0	0.0	Imported cases only	1.0						
							Liberia	3.0	0.0	0.0	0.0	Local transmission	3.0						
													0.0	Zambia	3.0	0.0	0.0	Imported cases only	2.0
													0.0	Angola	2.0	0.0	0.0	Imported cases only	3.0
													0.0	Gambia	2.0	1.0	0.0	Imported cases only	0.0
													0.0	Mauritania	2.0	0.0	0.0	Imported cases only	6.0
													0.0	Niger	2.0	0.0	0.0	Imported cases only	1.0
													1.0	Zimbabwe	2.0	0.0	0.0	Imported cases only	3.0
													0.0	Eritrea	1.0	0.0	0.0	Imported cases only	3.0
													 	Territories**	 	 	 	 	 
													0.0	Réunion	83.0	12.0	0.0	Local transmission	0.0
													0.0	Mayotte	30.0	6.0	0.0	Local transmission	0.0
													18426.0	Subtotal for all regions	412755.0	40712.0	2202.0	 	 
													7.0	International conveyance (Diamond Princess)	712.0	0.0	0.0	Local transmission	9.0
													18433.0	Grand total	413467.0	40712.0	2202.0	 	 
