Unnamed: 0	Announcement posted on the WHO Event Information Site (EIS)	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	TOTAL new reports	Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	495	39	24	3	Local transmission	0	Chad	5	2	0.1	Imported cases only	0.2
										Jersey	32.0	14.0	1.0	1.0	Local transmission	0.0													
										Isle of Man	26.0	3.0	0.0	0.0	Local transmission	0.0													
										Greenland	6.0	1.0	0.0	0.0	Under investigation	0.0													
										South-East Asia Region	 	 	 	 	 	 													
										Thailand	1136.0	202.0	5.0	1.0	Local transmission	0.0													
										Indonesia	893.0	103.0	78.0	20.0	Local transmission	0.0													
										India	724.0	75.0	17.0	4.0	Local transmission	0.0													
										Sri Lanka	106.0	4.0	0.0	0.0	Local transmission	0.0													
										Bangladesh	48.0	9.0	5.0	1.0	Local transmission	0.0													
										Maldives	13.0	0.0	0.0	0.0	Local transmission	11.0													
										Myanmar	5.0	2.0	0.0	0.0	Imported cases only	0.0													
										Bhutan	3.0	1.0	0.0	0.0	Imported cases only	0.0													
										Nepal	3.0	0.0	0.0	0.0	Imported cases only	1.0													
										Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	6.0													
										Eastern Mediterranean Region	 	 	 	 	 	 													
										Iran (Islamic Republic of)	29406.0	2389.0	2234.0	157.0	Local transmission	0.0													
										Pakistan	1057.0	0.0	8.0	0.0	Local transmission	1.0													
										Saudi Arabia	1012.0	112.0	3.0	1.0	Local transmission	0.0													
										Qatar	549.0	12.0	0.0	0.0	Local transmission	0.0													
																	Bahrain	458.0	39.0	4.0	0.0	Local transmission	0.0						
																	Iraq	382.0	36.0	36.0	7.0	Local transmission	0.0						
																	Lebanon	368.0	35.0	6.0	2.0	Local transmission	0.0						
																	United Arab Emirates	333.0	0.0	2.0	0.0	Local transmission	1.0						
																	Morocco	275.0	50.0	10.0	4.0	Local transmission	0.0						
																	Jordan	212.0	40.0	0.0	0.0	Local transmission	0.0						
																	Kuwait	208.0	0.0	0.0	0.0	Local transmission	1.0						
																	Tunisia	197.0	24.0	5.0	0.0	Local transmission	0.0						
																	Oman	109.0	10.0	0.0	0.0	Local transmission	0.0						
																	Afghanistan	80.0	0.0	2.0	0.0	Local transmission	1.0						
																	Djibouti	12.0	0.0	0.0	0.0	Local transmission	1.0						
																	Syrian Arab Republic	5.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Somalia	3.0	1.0	0.0	0.0	Imported cases only	0.0						
																	Sudan	3.0	0.0	1.0	0.0	Imported cases only	2.0						
																	Libya	1.0	0.0	0.0	0.0	Imported cases only	2.0						
																	Territories**	 	 	 	 	 	 						
																	occupied Palestinian territory	84.0	20.0	1.0	0.0	Local transmission	0.0						
																	Region of the Americas	 	 	 	 	 	 						
																	United States of America	68334.0	4764.0	991.0	107.0	Local transmission	0.0						
																	Canada	3555.0	146.0	35.0	0.0	Local transmission	0.0						
																	Brazil	2433.0	0.0	57.0	0.0	Local transmission	1.0						
																	Chile	1306.0	164.0	4.0	1.0	Local transmission	0.0						
																	Ecuador	1211.0	0.0	29.0	0.0	Local transmission	1.0						
																	Peru	580.0	100.0	9.0	0.0	Local transmission	0.0						
																	Panama	558.0	0.0	8.0	0.0	Local transmission	1.0						
																	Argentina	502.0	115.0	8.0	2.0	Local transmission	0.0						
																	Dominican Republic	488.0	96.0	10.0	0.0	Local transmission	0.0						
																	Mexico	478.0	0.0	5.0	0.0	Local transmission	1.0						
																	Colombia	470.0	0.0	4.0	0.0	Local transmission	1.0						
																	Uruguay	217.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Costa Rica	201.0	0.0	2.0	0.0	Local transmission	1.0						
																	Venezuela (Bolivarian Republic of)	91.0	0.0	0.0	0.0	Local transmission	1.0						
																	Cuba	67.0	10.0	1.0	0.0	Local transmission	0.0						
																	Trinidad and Tobago	61.0	1.0	1.0	0.0	Local transmission	0.0						
																	Honduras	52.0	0.0	1.0	1.0	Local transmission	1.0						
																	Paraguay	41.0	0.0	3.0	0.0	Local transmission	1.0						
																	Bolivia (Plurinational State of)	39.0	0.0	0.0	0.0	Local transmission	1.0						
																	Jamaica	26.0	0.0	1.0	0.0	Local transmission	1.0						
																	Guatemala	24.0	0.0	1.0	0.0	Local transmission	1.0						
																	Barbados	18.0	0.0	0.0	0.0	Local transmission	2.0						
																	El Salvador	13.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Dominica	11.0	4.0	0.0	0.0	Local transmission	0.0						
																	Haiti	8.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Grenada	7.0	6.0	0.0	0.0	Local transmission	0.0						
																	Suriname	7.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Bahamas	5.0	0.0	0.0	0.0	Local transmission	1.0						
																	Guyana	5.0	0.0	1.0	0.0	Local transmission	8.0						
																	Antigua and Barbuda	3.0	0.0	0.0	0.0	Imported cases only	2.0						
																	Saint Lucia	3.0	0.0	0.0	0.0	Imported cases only	3.0						
																	Belize	2.0	0.0	0.0	0.0	Local transmission	1.0						
																	Nicaragua	2.0	0.0	0.0	0.0	Imported cases only	5.0						
																	Saint Kitts and Nevis	2.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	14.0						
																	Territories**	 	 	 	 	 	 						
																	Guadeloupe	76.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Martinique	66.0	0.0	1.0	0.0	Imported cases only	1.0						
																	Puerto Rico	64.0	13.0	2.0	0.0	Imported cases only	0.0						
																	French Guiana	28.0	0.0	0.0	0.0	Local transmission	1.0						
																	Aruba	19.0	0.0	0.0	0.0	Local transmission	1.0						
																	United States Virgin Islands	17.0	0.0	0.0	0.0	Imported cases only	3.0						
																	Saint Martin	11.0	0.0	0.0	0.0	Under investigation	1.0						
																	Cayman Islands	8.0	0.0	1.0	0.0	Imported cases only	1.0						
																	Bermuda	7.0	0.0	0.0	0.0	Local transmission	1.0						
																	Curaçao	7.0	1.0	1.0	0.0	Imported cases only	0.0						
																	Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	11.0						
																	Anguilla	2.0	2.0	0.0	0.0	Local transmission	0.0						
																	British Virgin Islands	2.0	2.0	0.0	0.0	Imported cases only	0.0						
																	Montserrat	2.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Sint Maarten	2.0	0.0	0.0	0.0	Imported cases only	3.0						
																	Turks and Caicos Islands	2.0	1.0	0.0	0.0	Imported cases only	0.0						
																	African Region	 	 	 	 	 	 						
																	South Africa	927.0	218.0	0.0	0.0	Local transmission	0.0						
																	Algeria	305.0	41.0	21.0	4.0	Local transmission	0.0						
																	Burkina Faso	146.0	0.0	3.0	0.0	Local transmission	1.0						
																	Ghana	132.0	64.0	3.0	1.0	Local transmission	0.0						
																	Senegal	105.0	6.0	0.0	0.0	Local transmission	0.0						
																	Mauritius	81.0	34.0	2.0	0.0	Imported cases only	0.0						
																	Côte d’Ivoire	80.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Cameroon	75.0	5.0	1.0	0.0	Local transmission	0.0						
																	Nigeria	65.0	19.0	1.0	0.0	Local transmission	0.0						
																	Democratic Republic of the Congo	54.0	3.0	4.0	1.0	Local transmission	0.0						
																	Rwanda	50.0	9.0	0.0	0.0	Local transmission	0.0						
																	Kenya	25.0	0.0	1.0	1.0	Local transmission	2.0						
																	Madagascar	24.0	5.0	0.0	0.0	Imported cases only	0.0						
																	Togo	24.0	1.0	0.0	0.0	Imported cases only	0.0						
																	Uganda	14.0	0.0	0.0	0.0	Imported cases only	1.0						
																	United Republic of Tanzania	13.0	0.0	0.0	0.0	Imported cases only	1.0						
																	Ethiopia	12.0	0.0	0.0	0.0	Imported cases only	2.0						
																	Niger	10.0	8.0	1.0	1.0	Imported cases only	0.0						
																	Namibia	8.0	3.0	0.0	0.0	Imported cases only	0.0						
																	Seychelles	7.0	0.0	0.0	0.0	Imported cases only	5.0						
																	Benin	6.0	1.0	0.0	0.0	Imported cases only	0.0						
																	Equatorial Guinea	6.0	0.0	0.0	0.0	Imported cases only	5.0						
																	Eritrea	6.0	2.0	0.0	0.0	Imported cases only	0.0						
																	Eswatini	6.0	2.0	0.0	0.0	Imported cases only	0.0						
																	Gabon	6.0	0.0	1.0	0.0	Imported cases only	4.0						
																	Central African Republic	5.0	0.0	0.0	0.0	Imported cases only	1.0						
																							0.0	Guinea	5.0	1.0	0.0	Imported cases only	0.0
																							0.0	Mozambique	5.0	0.0	0.0	Local transmission	1.0
																							0.0	Congo	4.0	0.0	0.0	Imported cases only	5.0
																							0.0	Cabo Verde	3.0	0.0	0.0	Imported cases only	5.0
																							0.0	Liberia	3.0	0.0	0.0	Local transmission	5.0
																							0.0	Mauritania	3.0	1.0	0.0	Imported cases only	0.0
																							0.0	Zambia	3.0	0.0	0.0	Imported cases only	4.0
																							1.0	Zimbabwe	3.0	1.0	0.0	Imported cases only	0.0
																							0.0	Angola	2.0	0.0	0.0	Imported cases only	5.0
																							0.0	Gambia	2.0	0.0	0.0	Imported cases only	2.0
																							0.0	Guinea-Bissau	2.0	0.0	0.0	Imported cases only	1.0
																							0.0	Mali	2.0	0.0	0.0	Imported cases only	1.0
																							 	Territories**	 	 	 	 	 
																							0.0	Réunion	135.0	41.0	0.0	Local transmission	0.0
																							0.0	Mayotte	50.0	15.0	0.0	Local transmission	0.0
																							23328.0	Subtotal for all regions	508452.0	46484.0	2501.0	 	 
																							7.0	International conveyance (Diamond Princess)	712.0	0.0	0.0	Local transmission	11.0
																							23335.0	Grand total	509164.0	46484.0	2501.0	 	 
