Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	occupied Palestinian territory	38	0	0.1	0.2	Local transmission	2
							Curaçao	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Saint Martin	2.0	0.0	0.0	0.0	Under investigation	13.0
							Cayman Islands	1.0	0.0	1.0	1.0	Imported cases only	1.0
							African Region	 	 	 	 	 	 
							South Africa	51.0	13.0	0.0	0.0	Local transmission	0.0
							Algeria	49.0	12.0	3.0	0.0	Local transmission	0.0
							Senegal	26.0	5.0	0.0	0.0	Local transmission	0.0
							Ghana	6.0	0.0	0.0	0.0	Imported cases only	1.0
							Rwanda	5.0	5.0	0.0	0.0	Local transmission	0.0
							Burkina Faso	3.0	0.0	0.0	0.0	Imported cases only	1.0
							Cameroon	3.0	0.0	0.0	0.0	Local transmission	1.0
							Cote d’Ivoire	3.0	0.0	0.0	0.0	Imported cases only	1.0
							Democratic Republic of the Congo	2.0	0.0	0.0	0.0	Imported cases only	2.0
							Namibia	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Nigeria	2.0	0.0	0.0	0.0	Imported cases only	7.0
							Seychelles	2.0	2.0	0.0	0.0	Imported cases only	0.0
							Central African Republic	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Congo	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Equatorial Guinea	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Eswatini	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Ethiopia	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Gabon	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Guinea	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Kenya	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Mauritania	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Togo	1.0	0.0	0.0	0.0	Imported cases only	9.0
							Territories**	 	 	 	 	 	 
							Réunion	9.0	3.0	0.0	0.0	Imported cases only	0.0
							Mayotte	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Subtotal for all regions	166803.0	13888.0	6599.0	862.0	 	 
							International conveyance (Diamond Princess)	712.0	15.0	7.0	0.0	Local transmission	0.0
							Grand total	167515.0	13903.0	6606.0	862.0	 	 
