Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Lebanon	267	19	4	0	Local transmission	0.1	Niger	2	1	Imported cases only	0.2
Sweden	2016.0	110.0	25.0	4.0	Local transmission	0.0												
Turkey	1529.0	293.0	37.0	7.0	Local transmission	0.0												
Denmark	1460.0	65.0	24.0	11.0	Local transmission	0.0												
Israel	1238.0	167.0	1.0	0.0	Local transmission	0.0												
Czechia	1236.0	71.0	1.0	0.0	Local transmission	0.0												
Ireland	1125.0	219.0	6.0	2.0	Local transmission	0.0												
Luxembourg	875.0	77.0	8.0	0.0	Local transmission	0.0												
Poland	749.0	115.0	8.0	1.0	Local transmission	0.0												
Finland	700.0	74.0	1.0	0.0	Local transmission	0.0												
Greece	695.0	71.0	17.0	2.0	Local transmission	0.0												
Iceland	588.0	20.0	2.0	1.0	Local transmission	0.0												
Romania	576.0	143.0	7.0	5.0	Local transmission	0.0												
Slovenia	442.0	28.0	1.0	0.0	Local transmission	0.0												
Russian Federation	438.0	0.0	0.0	0.0	Local transmission	1.0												
Estonia	352.0	26.0	0.0	0.0	Local transmission	0.0												
Croatia	306.0	71.0	0.0	0.0	Local transmission	0.0												
Serbia	249.0	61.0	2.0	2.0	Local transmission	0.0												
Armenia	235.0	45.0	0.0	0.0	Local transmission	0.0												
Bulgaria	201.0	16.0	3.0	0.0	Local transmission	0.0												
Slovakia	191.0	6.0	0.0	0.0	Local transmission	0.0												
Hungary	187.0	20.0	8.0	1.0	Local transmission	0.0												
San Marino	187.0	36.0	20.0	0.0	Local transmission	0.0												
Latvia	180.0	41.0	0.0	0.0	Local transmission	0.0												
Lithuania	179.0	36.0	1.0	0.0	Local transmission	0.0												
Andorra	164.0	51.0	1.0	1.0	Local transmission	0.0												
North Macedonia	136.0	22.0	2.0	1.0	Local transmission	0.0												
Bosnia and Herzegovina	131.0	6.0	1.0	0.0	Local transmission	0.0												
Albania	123.0	34.0	4.0	2.0	Local transmission	0.0												
Cyprus	116.0	21.0	0.0	0.0	Local transmission	0.0												
Republic of Moldova	109.0	15.0	1.0	0.0	Local transmission	0.0												
Malta	107.0	17.0	0.0	0.0	Local transmission	0.0												
Ukraine	84.0	37.0	3.0	0.0	Local transmission	0.0												
Belarus	81.0	5.0	0.0	0.0	Local transmission	0.0												
Azerbaijan	72.0	7.0	1.0	0.0	Local transmission	0.0												
Georgia	67.0	13.0	0.0	0.0	Local transmission	0.0												
Kazakhstan	63.0	3.0	0.0	0.0	Imported cases only	0.0												
Liechtenstein	46.0	0.0	0.0	0.0	Imported cases only	1.0												
Uzbekistan	46.0	0.0	0.0	0.0	Local transmission	1.0												
Monaco	23.0	0.0	0.0	0.0	Local transmission	1.0												
Montenegro	22.0	1.0	0.0	0.0	Imported cases only	0.0												
Kyrgyzstan	16.0	2.0	0.0	0.0	Local transmission	0.0												
Holy See	1.0	0.0	0.0	0.0	Under investigation	17.0												
Territories**	 	 	 	 	 	 												
Faroe Islands	118.0	3.0	0.0	0.0	Local transmission	0.0												
Kosovo[1]	61.0	30.0	1.0	0.0	Local transmission	0.0												
Guernsey	20.0	3.0	0.0	0.0	Imported cases only	0.0												
Jersey	16.0	1.0	0.0	0.0	Local transmission	0.0												
Gibraltar	15.0	0.0	0.0	0.0	Under investigation	1.0												
Isle of Man	13.0	11.0	0.0	0.0	Imported cases only	0.0												
Greenland	4.0	2.0	0.0	0.0	Under investigation	0.0												
South-East Asia Region	 	 	 	 	 	 												
Thailand	827.0	106.0	4.0	3.0	Local transmission	0.0												
Indonesia	579.0	65.0	49.0	1.0	Local transmission	0.0												
India	434.0	19.0	9.0	2.0	Local transmission	0.0												
Sri Lanka	97.0	15.0	0.0	0.0	Local transmission	0.0												
Bangladesh	33.0	6.0	3.0	1.0	Local transmission	0.0												
Maldives	13.0	0.0	0.0	0.0	Local transmission	8.0												
Bhutan	2.0	0.0	0.0	0.0	Imported cases only	4.0												
Myanmar	2.0	2.0	0.0	0.0	Imported cases only	0.0												
Nepal	2.0	1.0	0.0	0.0	Imported cases only	0.0												
Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	3.0												
Eastern Mediterranean Region	 	 	 	 	 	 												
Iran (Islamic Republic of)	23049.0	1411.0	1812.0	127.0	Local transmission	0.0												
Pakistan	887.0	103.0	6.0	1.0	Local transmission	0.0												
Saudi Arabia	562.0	51.0	0.0	0.0	Local transmission	0.0												
Qatar	501.0	7.0	0.0	0.0	Local transmission	0.0												
Bahrain	377.0	40.0	2.0	0.0	Local transmission	0.0												
Egypt	366.0	39.0	19.0	5.0	Local transmission	0.0												
							Iraq	266.0	33.0	23.0	3.0	Local transmission	0.0					
							United Arab Emirates	198.0	45.0	2.0	0.0	Local transmission	0.0					
							Kuwait	191.0	2.0	0.0	0.0	Local transmission	0.0					
							Morocco	143.0	28.0	4.0	0.0	Local transmission	0.0					
							Jordan	127.0	15.0	0.0	0.0	Imported cases only	0.0					
							Tunisia	89.0	14.0	3.0	0.0	Local transmission	0.0					
							Oman	84.0	29.0	0.0	0.0	Local transmission	0.0					
							Afghanistan	42.0	2.0	1.0	0.0	Imported cases only	0.0					
							Djibouti	3.0	2.0	0.0	0.0	Imported cases only	0.0					
							Sudan	2.0	0.0	1.0	0.0	Imported cases only	2.0					
							Somalia	1.0	0.0	0.0	0.0	Imported cases only	7.0					
							Syrian Arab Republic	1.0	0.0	0.0	0.0	Imported cases only	1.0					
							Territories**	 	 	 	 	 	 					
							occupied Palestinian territory	59.0	0.0	0.0	0.0	Local transmission	1.0					
							Region of the Americas	 	 	 	 	 	 					
							United States of America	42164.0	10591.0	471.0	69.0	Local transmission	0.0					
							Brazil	1546.0	642.0	25.0	14.0	Local transmission	0.0					
							Canada	1432.0	48.0	20.0	1.0	Local transmission	0.0					
							Ecuador	790.0	258.0	15.0	8.0	Local transmission	0.0					
							Chile	746.0	114.0	1.0	0.0	Local transmission	0.0					
							Peru	395.0	77.0	2.0	0.0	Local transmission	0.0					
							Mexico	370.0	119.0	4.0	2.0	Local transmission	0.0					
							Panama	345.0	100.0	6.0	3.0	Local transmission	0.0					
							Colombia	277.0	81.0	3.0	1.0	Local transmission	0.0					
							Argentina	266.0	41.0	4.0	0.0	Local transmission	0.0					
							Dominican Republic	245.0	173.0	3.0	1.0	Local transmission	0.0					
							Uruguay	162.0	27.0	0.0	0.0	Imported cases only	0.0					
							Costa Rica	158.0	41.0	2.0	0.0	Local transmission	0.0					
							Venezuela (Bolivarian Republic of)	70.0	0.0	0.0	0.0	Local transmission	1.0					
							Trinidad and Tobago	51.0	1.0	0.0	0.0	Imported cases only	0.0					
							Cuba	40.0	24.0	1.0	0.0	Imported cases only	0.0					
							Honduras	30.0	4.0	0.0	0.0	Local transmission	0.0					
							Bolivia (Plurinational State of)	27.0	3.0	0.0	0.0	Local transmission	0.0					
							Paraguay	22.0	0.0	1.0	0.0	Local transmission	1.0					
							Guatemala	20.0	2.0	1.0	0.0	Local transmission	0.0					
							Jamaica	19.0	0.0	1.0	0.0	Local transmission	1.0					
							Barbados	17.0	12.0	0.0	0.0	Imported cases only	0.0					
							Haiti	6.0	4.0	0.0	0.0	Imported cases only	0.0					
							Guyana	5.0	0.0	1.0	0.0	Local transmission	5.0					
							Bahamas	4.0	0.0	0.0	0.0	Local transmission	3.0					
							El Salvador	3.0	2.0	0.0	0.0	Imported cases only	0.0					
							Saint Lucia	3.0	1.0	0.0	0.0	Imported cases only	0.0					
							Nicaragua	2.0	0.0	0.0	0.0	Imported cases only	2.0					
							Suriname	2.0	0.0	0.0	0.0	Imported cases only	3.0					
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	10.0					
							Belize	1.0	1.0	0.0	0.0	Imported cases only	0.0					
							Dominica	1.0	1.0	0.0	0.0	Imported cases only	0.0					
							Grenada	1.0	0.0	0.0	0.0	Imported cases only	1.0					
							Saint Vincent and the	1.0	0.0	0.0	0.0	Imported cases only	11.0					
							Grenadines	 	 	 	 	 	 					
							Territories**	 	 	 	 	 	 					
							Guadeloupe	62.0	6.0	0.0	0.0	Imported cases only	0.0					
							Martinique	53.0	21.0	0.0	0.0	Imported cases only	0.0					
							Puerto Rico	31.0	8.0	2.0	1.0	Imported cases only	0.0					
							French Guiana	20.0	2.0	0.0	0.0	Local transmission	0.0					
							United States Virgin Islands	17.0	11.0	0.0	0.0	Imported cases only	0.0					
							Aruba	9.0	1.0	0.0	0.0	Imported cases only	0.0					
							Saint Martin	8.0	3.0	0.0	0.0	Under investigation	0.0					
							Bermuda	6.0	4.0	0.0	0.0	Imported cases only	0.0					
							Cayman Islands	5.0	2.0	1.0	0.0	Imported cases only	0.0					
							Curaçao	4.0	1.0	1.0	0.0	Imported cases only	0.0					
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	8.0					
							Sint Maarten	2.0	1.0	0.0	0.0	Imported cases only	0.0					
							Montserrat	1.0	0.0	0.0	0.0	Imported cases only	6.0					
							Turks and Caicos Islands	1.0	1.0	0.0	0.0	Imported cases only	0.0					
							African Region	 	 	 	 	 	 					
							South Africa	402.0	128.0	0.0	0.0	Local transmission	0.0					
							Algeria	231.0	30.0	17.0	0.0	Local transmission	0.0					
							Burkina Faso	99.0	24.0	3.0	0.0	Local transmission	0.0					
							Senegal	79.0	12.0	0.0	0.0	Local transmission	0.0					
							Cameroon	72.0	32.0	0.0	0.0	Local transmission	0.0					
							Democratic Republic of the Congo	36.0	6.0	2.0	0.0	Local transmission	0.0					
							Mauritius	36.0	24.0	0.0	0.0	Imported cases only	0.0					
							Rwanda	36.0	19.0	0.0	0.0	Local transmission	0.0					
							Ghana	27.0	3.0	2.0	2.0	Local transmission	0.0					
							Côte d’Ivoire	25.0	0.0	0.0	0.0	Imported cases only	1.0					
							Nigeria	22.0	0.0	0.0	0.0	Imported cases only	2.0					
							Togo	18.0	2.0	0.0	0.0	Imported cases only	0.0					
							Kenya	16.0	1.0	0.0	0.0	Local transmission	0.0					
							Madagascar	13.0	1.0	0.0	0.0	Imported cases only	0.0					
							United Republic of Tanzania	12.0	0.0	0.0	0.0	Imported cases only	1.0					
							Ethiopia	11.0	0.0	0.0	0.0	Imported cases only	1.0					
							Uganda	9.0	8.0	0.0	0.0	Imported cases only	0.0					
							Seychelles	7.0	0.0	0.0	0.0	Imported cases only	2.0					
							Equatorial Guinea	6.0	0.0	0.0	0.0	Imported cases only	2.0					
							Gabon	6.0	0.0	1.0	0.0	Imported cases only	1.0					
							Benin	5.0	3.0	0.0	0.0	Imported cases only	0.0					
							Central African Republic	4.0	0.0	0.0	0.0	Imported cases only	1.0					
							Congo	4.0	0.0	0.0	0.0	Imported cases only	2.0					
							Eswatini	4.0	0.0	0.0	0.0	Imported cases only	1.0					
							Guinea	4.0	2.0	0.0	0.0	Imported cases only	0.0					
							Cabo Verde	3.0	0.0	0.0	0.0	Imported cases only	2.0					
							Chad	3.0	2.0	0.0	0.0	Imported cases only	0.0					
							Liberia	3.0	0.0	0.0	0.0	Local transmission	2.0					
							Namibia	3.0	0.0	0.0	0.0	Imported cases only	4.0					
							Zambia	3.0	0.0	0.0	0.0	Imported cases only	1.0					
							Angola	2.0	0.0	0.0	0.0	Imported cases only	2.0					
							Mauritania	2.0	0.0	0.0	0.0	Imported cases only	5.0					
											1.0		1.0	Zimbabwe	2.0	0.0	Imported cases only	2.0
											0.0		0.0	Eritrea	1.0	0.0	Imported cases only	2.0
											0.0		0.0	Gambia	1.0	0.0	Imported cases only	6.0
											0.0		0.0	Mozambique	1.0	0.0	Imported cases only	1.0
											 		 	Territories**	 	 	 	 
											0.0		0.0	Réunion	71.0	7.0	Under investigation	0.0
											0.0		0.0	Mayotte	24.0	10.0	Imported cases only	0.0
											16224.0		1722.0	Subtotal for all regions	372043.0	39825.0	 	 
											7.0		0.0	International conveyance (Diamond Princess)	712.0	0.0	Local transmission	8.0
											16231.0		1722.0	Grand total	372755.0	39825.0	 	 
