Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Kuwait	176	17	0	0.1	Local transmission	0.2	regions	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Turkey	947.0	277.0	21.0	12.0	Local transmission	0.0														
Israel	883.0	171.0	1.0	0.0	Local transmission	0.0														
Ireland	785.0	102.0	3.0	0.0	Local transmission	0.0														
Luxembourg	670.0	186.0	8.0	3.0	Local transmission	0.0														
Poland	536.0	111.0	5.0	0.0	Local transmission	0.0														
Greece	530.0	35.0	13.0	5.0	Local transmission	0.0														
Finland	521.0	71.0	1.0	1.0	Local transmission	0.0														
Iceland	473.0	64.0	1.0	0.0	Local transmission	0.0														
Slovenia	383.0	42.0	1.0	0.0	Local transmission	0.0														
Romania	367.0	59.0	0.0	0.0	Local transmission	0.0														
Estonia	306.0	23.0	0.0	0.0	Local transmission	0.0														
Russian Federation	306.0	53.0	0.0	0.0	Local transmission	0.0														
Croatia	206.0	80.0	0.0	0.0	Local transmission	0.0														
Slovakia	178.0	41.0	0.0	0.0	Local transmission	0.0														
Serbia††	173.0	38.0	1.0	0.0	Local transmission	0.0														
Bulgaria	163.0	36.0	3.0	0.0	Local transmission	0.0														
Armenia	160.0	24.0	0.0	0.0	Local transmission	0.0														
San Marino	151.0	0.0	20.0	6.0	Local transmission	1.0														
Hungary	131.0	46.0	4.0	0.0	Local transmission	0.0														
Latvia	124.0	13.0	0.0	0.0	Imported cases only	0.0														
Lithuania	105.0	36.0	1.0	0.0	Imported cases only	0.0														
Bosnia and Herzegovina	92.0	48.0	1.0	1.0	Local transmission	0.0														
Andorra	88.0	13.0	0.0	0.0	Imported cases only	0.0														
North Macedonia	85.0	15.0	0.0	0.0	Local transmission	0.0														
Cyprus	84.0	17.0	0.0	0.0	Local transmission	0.0														
Republic of Moldova	80.0	14.0	1.0	0.0	Local transmission	0.0														
Albania	76.0	6.0	2.0	0.0	Local transmission	0.0														
Belarus	76.0	19.0	0.0	0.0	Local transmission	0.0														
Malta	73.0	9.0	0.0	0.0	Imported cases only	0.0														
Kazakhstan	56.0	3.0	0.0	0.0	Imported cases only	0.0														
Azerbaijan	53.0	9.0	1.0	0.0	Imported cases only	0.0														
Georgia	49.0	6.0	0.0	0.0	Imported cases only	0.0														
Ukraine	47.0	21.0	3.0	0.0	Local transmission	0.0														
Liechtenstein	36.0	2.0	0.0	0.0	Imported cases only	0.0														
Uzbekistan	33.0	0.0	0.0	0.0	Local transmission	1.0														
Monaco	18.0	6.0	0.0	0.0	Under investigation	0.0														
Kyrgyzstan	14.0	8.0	0.0	0.0	Imported cases only	0.0														
Montenegro	14.0	0.0	0.0	0.0	Imported cases only	1.0														
Holy See	1.0	0.0	0.0	0.0	Under investigation	15.0														
Territories**	 	 	 	 	 	 														
Faroe Islands	92.0	12.0	0.0	0.0	Local transmission	0.0														
Jersey	12.0	0.0	0.0	0.0	Imported cases only	1.0														
Gibraltar	10.0	0.0	0.0	0.0	Under investigation	2.0														
Greenland	2.0	0.0	0.0	0.0	Under investigation	3.0														
Isle of Man	2.0	1.0	0.0	0.0	Imported cases only	0.0														
Guernsey	1.0	0.0	0.0	0.0	Imported cases only	12.0														
South-East Asia Region	 	 	 	 	 	 														
Indonesia	450.0	81.0	38.0	6.0	Local transmission	0.0														
Thailand	411.0	89.0	1.0	0.0	Local transmission	0.0														
India	283.0	88.0	4.0	0.0	Local transmission	0.0														
Sri Lanka	72.0	13.0	0.0	0.0	Local transmission	0.0														
Bangladesh	24.0	7.0	2.0	1.0	Local transmission	0.0														
Maldives	13.0	0.0	0.0	0.0	Local transmission	6.0														
Bhutan	2.0	0.0	0.0	0.0	Imported cases only	2.0														
Nepal	1.0	0.0	0.0	0.0	Imported cases only	58.0														
Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	1.0														
Eastern Mediterranean Region	 	 	 	 	 	 														
Iran (Islamic Republic of)	20610.0	966.0	1556.0	123.0	Local transmission	0.0														
Pakistan	495.0	34.0	3.0	1.0	Local transmission	0.0														
Qatar	470.0	10.0	0.0	0.0	Local transmission	0.0														
Saudi Arabia	392.0	118.0	0.0	0.0	Local transmission	0.0														
Bahrain	306.0	21.0	1.0	0.0	Local transmission	0.0														
Egypt	285.0	29.0	8.0	1.0	Local transmission	0.0														
Iraq	214.0	21.0	17.0	3.0	Local transmission	0.0														
Lebanon	206.0	43.0	4.0	0.0	Local transmission	0.0														
							United Arab Emirates	153.0	13.0	2.0	2.0	Local transmission	0.0							
							Morocco	86.0	12.0	3.0	0.0	Local transmission	0.0							
							Jordan	84.0	15.0	0.0	0.0	Imported cases only	0.0							
							Tunisia	60.0	6.0	1.0	0.0	Local transmission	0.0							
							Oman	52.0	4.0	0.0	0.0	Local transmission	0.0							
							Afghanistan	24.0	0.0	0.0	0.0	Imported cases only	1.0							
							Sudan	2.0	1.0	1.0	0.0	Imported cases only	0.0							
							Djibouti	1.0	0.0	0.0	0.0	Under investigation	3.0							
							Somalia	1.0	0.0	0.0	0.0	Imported cases only	5.0							
							Territories**	 	 	 	 	 	 							
							occupied Palestinian territory	52.0	4.0	0.0	0.0	Local transmission	0.0							
							Region of the Americas	 	 	 	 	 	 							
							United States of America	15219.0	0.0	201.0	0.0	Local transmission	1.0							
							Canada	1048.0	202.0	13.0	4.0	Local transmission	0.0							
							Brazil	904.0	283.0	11.0	7.0	Local transmission	0.0							
							Ecuador	506.0	139.0	7.0	2.0	Local transmission	0.0							
							Chile	434.0	0.0	1.0	1.0	Local transmission	1.0							
							Peru	318.0	84.0	2.0	0.0	Local transmission	0.0							
							Colombia	196.0	51.0	0.0	0.0	Local transmission	0.0							
							Mexico	164.0	0.0	1.0	0.0	Imported cases only	1.0							
							Argentina	158.0	30.0	3.0	0.0	Local transmission	0.0							
							Panama	137.0	0.0	1.0	0.0	Local transmission	1.0							
							Costa Rica	113.0	0.0	2.0	0.0	Local transmission	1.0							
							Uruguay	94.0	0.0	0.0	0.0	Imported cases only	1.0							
							Dominican Republic	72.0	0.0	2.0	0.0	Local transmission	1.0							
							Venezuela (Bolivarian Republic of)	36.0	0.0	0.0	0.0	Imported cases only	3.0							
							Honduras	24.0	0.0	0.0	0.0	Imported cases only	1.0							
							Bolivia (Plurinational State of)	19.0	3.0	0.0	0.0	Local transmission	0.0							
							Paraguay	18.0	5.0	1.0	1.0	Local transmission	0.0							
							Cuba	16.0	0.0	1.0	0.0	Imported cases only	1.0							
							Jamaica	16.0	0.0	1.0	0.0	Local transmission	1.0							
							Guatemala	12.0	0.0	1.0	0.0	Imported cases only	1.0							
							Trinidad and Tobago	9.0	0.0	0.0	0.0	Imported cases only	2.0							
							Barbados	5.0	0.0	0.0	0.0	Imported cases only	1.0							
							Guyana	5.0	0.0	1.0	0.0	Local transmission	3.0							
							Bahamas	4.0	0.0	0.0	0.0	Local transmission	1.0							
							Haiti	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Nicaragua	2.0	1.0	0.0	0.0	Imported cases only	0.0							
							Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	6.0							
							Suriname	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	8.0							
							El Salvador	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	8.0							
							Territories**	 	 	 	 	 	 							
							Guadeloupe	51.0	0.0	0.0	0.0	Imported cases only	1.0							
							Martinique	32.0	0.0	0.0	0.0	Imported cases only	2.0							
							Puerto Rico	21.0	7.0	1.0	1.0	Imported cases only	0.0							
							French Guiana	15.0	0.0	0.0	0.0	Local transmission	2.0							
							United States Virgin Islands	6.0	3.0	0.0	0.0	Imported cases only	0.0							
							Aruba	5.0	0.0	0.0	0.0	Imported cases only	2.0							
							Saint Martin	4.0	0.0	0.0	0.0	Under investigation	3.0							
							Cayman Islands	3.0	0.0	1.0	0.0	Imported cases only	2.0							
							Curaçao	3.0	0.0	1.0	1.0	Imported cases only	4.0							
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	6.0							
							Bermuda	2.0	0.0	0.0	0.0	Imported cases only	3.0							
							Montserrat	1.0	0.0	0.0	0.0	Imported cases only	3.0							
							Sint Maarten	1.0	0.0	0.0	0.0	Imported cases only	3.0							
							African Region	 	 	 	 	 	 							
							South Africa	240.0	35.0	0.0	0.0	Local transmission	0.0							
							Algeria	94.0	0.0	15.0	5.0	Local transmission	1.0							
							Burkina Faso	72.0	32.0	3.0	2.0	Local transmission	0.0							
							Senegal	56.0	18.0	0.0	0.0	Local transmission	0.0							
							Cameroon	27.0	5.0	0.0	0.0	Local transmission	0.0							
							Democratic Republic of the Congo	23.0	9.0	1.0	1.0	Local transmission	0.0							
							Nigeria	22.0	10.0	0.0	0.0	Imported cases only	0.0							
							Ghana	19.0	3.0	0.0	0.0	Local transmission	0.0							
							Rwanda	17.0	6.0	0.0	0.0	Local transmission	0.0							
							Togo	15.0	6.0	0.0	0.0	Imported cases only	0.0							
							Mauritius	12.0	0.0	0.0	0.0	Imported cases only	1.0							
							Côte d’Ivoire	9.0	0.0	0.0	0.0	Imported cases only	3.0							
							Ethiopia	9.0	0.0	0.0	0.0	Imported cases only	2.0							
							Kenya	7.0	0.0	0.0	0.0	Local transmission	3.0							
							Seychelles	7.0	1.0	0.0	0.0	Imported cases only	0.0							
							Equatorial Guinea	6.0	2.0	0.0	0.0	Imported cases only	0.0							
							United Republic of Tanzania	6.0	0.0	0.0	0.0	Imported cases only	2.0							
							Congo	4.0	1.0	0.0	0.0	Imported cases only	0.0							
							Cabo Verde	3.0	2.0	0.0	0.0	Imported cases only	0.0							
							Central African Republic	3.0	2.0	0.0	0.0	Imported cases only	0.0							
							Gabon	3.0	0.0	1.0	0.0	Imported cases only	3.0							
							Liberia	3.0	1.0	0.0	0.0	Local transmission	0.0							
							Madagascar	3.0	3.0	0.0	0.0	Under investigation	0.0							
							Namibia	3.0	0.0	0.0	0.0	Imported cases only	2.0							
							Angola	2.0	2.0	0.0	0.0	Imported cases only	0.0							
							Benin	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Guinea	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Mauritania	2.0	0.0	0.0	0.0	Imported cases only	3.0							
							Zambia	2.0	0.0	0.0	0.0	Imported cases only	3.0							
							Zimbabwe	2.0	1.0	0.0	0.0	Imported cases only	0.0							
							Chad	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							Eritrea	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Eswatini	1.0	0.0	0.0	0.0	Imported cases only	7.0							
							Gambia	1.0	0.0	0.0	0.0	Imported cases only	3.0							
							Niger	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							Uganda	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Territories**	 	 	 	 	 	 							
							Réunion	47.0	19.0	0.0	0.0	Imported cases only	0.0							
							Mayotte	11.0	7.0	0.0	0.0	Imported cases only	0.0							
							Subtotal for all	291430.0	26069.0	12776.0	1600.0	 	 							
														International conveyance (Diamond Princess)	712.0	0.0	7.0	0.0	Local transmission	6.0
														Grand total	292142.0	26069.0	12783.0	1600.0	 	 
