Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Sri Lanka	143	0	2	0.1	Local transmission	1	Cameroon	139	6
								Libya	10.0	0.0	0.0	0.0	Local transmission	1.0			
								Syrian Arab Republic	10.0	0.0	3.0	1.0	Imported cases only	2.0			
								Sudan	7.0	0.0	2.0	0.0	Imported cases only	1.0			
								Somalia	5.0	0.0	0.0	0.0	Imported cases only	1.0			
								Territories**	 	 	 	 	 	 			
								occupied Palestinian territory	134.0	0.0	1.0	0.0	Local transmission	1.0			
								Region of the Americas	 	 	 	 	 	 			
								United States of America	187302.0	24103.0	3846.0	996.0	Local transmission	0.0			
								Canada	9005.0	1310.0	105.0	16.0	Local transmission	0.0			
								Brazil	5717.0	1138.0	201.0	42.0	Local transmission	0.0			
								Chile	3031.0	293.0	16.0	4.0	Local transmission	0.0			
								Ecuador	2372.0	132.0	146.0	71.0	Local transmission	0.0			
								Peru	1323.0	258.0	24.0	0.0	Local transmission	0.0			
								Dominican Republic	1284.0	175.0	57.0	6.0	Local transmission	0.0			
								Mexico	1215.0	121.0	29.0	1.0	Local transmission	0.0			
								Panama	1181.0	192.0	30.0	6.0	Local transmission	0.0			
								Argentina	1054.0	88.0	27.0	3.0	Local transmission	0.0			
								Colombia	906.0	108.0	16.0	2.0	Local transmission	0.0			
								Costa Rica	347.0	33.0	2.0	0.0	Local transmission	0.0			
								Uruguay	338.0	18.0	2.0	1.0	Local transmission	0.0			
								Cuba	212.0	26.0	6.0	0.0	Local transmission	0.0			
								Honduras	172.0	33.0	10.0	8.0	Local transmission	0.0			
								Venezuela (Bolivarian Republic of)	143.0	14.0	3.0	0.0	Local transmission	0.0			
								Bolivia (Plurinational State of)	115.0	8.0	7.0	1.0	Local transmission	0.0			
								Trinidad and Tobago	89.0	4.0	5.0	2.0	Local transmission	0.0			
								Paraguay	69.0	4.0	3.0	0.0	Local transmission	0.0			
								Guatemala	39.0	3.0	1.0	0.0	Local transmission	0.0			
								Jamaica	38.0	2.0	1.0	0.0	Local transmission	0.0			
								Barbados	33.0	0.0	0.0	0.0	Local transmission	2.0			
								El Salvador	32.0	2.0	1.0	1.0	Local transmission	0.0			
								Guyana	19.0	7.0	2.0	0.0	Local transmission	0.0			
								Haiti	16.0	1.0	0.0	0.0	Imported cases only	0.0			
								Bahamas	15.0	1.0	0.0	0.0	Local transmission	0.0			
								Saint Lucia	13.0	4.0	0.0	0.0	Local transmission	0.0			
								Dominica	11.0	0.0	0.0	0.0	Local transmission	6.0			
								Grenada	9.0	0.0	0.0	0.0	Local transmission	2.0			
								Saint Kitts and Nevis	8.0	0.0	0.0	0.0	Imported cases only	1.0			
								Suriname	8.0	0.0	0.0	0.0	Imported cases only	5.0			
								Antigua and Barbuda	7.0	0.0	0.0	0.0	Imported cases only	5.0			
								Nicaragua	5.0	1.0	1.0	0.0	Imported cases only	0.0			
								Belize	3.0	0.0	0.0	0.0	Local transmission	2.0			
								Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	20.0			
								Territories**	 	 	 	 	 	 			
								Puerto Rico	286.0	47.0	11.0	3.0	Local transmission	0.0			
								Martinique	128.0	9.0	3.0	1.0	Local transmission	0.0			
								Guadeloupe	125.0	11.0	6.0	1.0	Local transmission	0.0			
								Aruba	55.0	0.0	0.0	0.0	Local transmission	1.0			
								French Guiana	51.0	5.0	0.0	0.0	Local transmission	0.0			
								United States Virgin Islands	30.0	0.0	0.0	0.0	Local transmission	2.0			
								Bermuda	32.0	5.0	0.0	0.0	Local transmission	0.0			
								Sint Maarten	6.0	0.0	0.0	0.0	Imported cases only	2.0			
								Cayman Islands	14.0	2.0	1.0	0.0	Local transmission	0.0			
								Curaçao	11.0	0.0	1.0	0.0	Imported cases only	2.0			
								Saint Barthélemy	6.0	0.0	0.0	0.0	Under investigation	2.0			
								Saint Martin	21.0	3.0	2.0	0.0	Under investigation	0.0			
								Montserrat	5.0	0.0	0.0	0.0	Imported cases only	5.0			
								Turks and Caicos Islands	5.0	0.0	0.0	0.0	Local transmission	2.0			
								British Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	1.0			
								Anguilla	2.0	0.0	0.0	0.0	Local transmission	6.0			
								African Region	 	 	 	 	 	 			
								South Africa	1380.0	27.0	5.0	0.0	Local transmission	0.0			
								Algeria	847.0	263.0	58.0	23.0	Local transmission	0.0			
								Burkina Faso	261.0	0.0	14.0	0.0	Local transmission	1.0			
								Ghana	195.0	43.0	5.0	0.0	Local transmission	0.0			
								Côte d’Ivoire	190.0	21.0	0.0	0.0	Local transmission	0.0			
								Senegal	190.0	15.0	1.0	1.0	Local transmission	0.0			
								Mauritius	154.0	11.0	5.0	0.0	Local transmission	0.0			
										28	0.0	1.0	Local transmission		Nigeria	139	2
										14	0.0	3.0	Local transmission		Democratic Republic of the Congo	123	11
										7	0.0	0.0	Local transmission		Rwanda	82	0
										31	0.0	0.0	Local transmission		Kenya	81	1
										54	0.0	2.0	Local transmission		Niger	74	5
										0	1.0	0.0	Local transmission		Madagascar	53	0
										11	0.0	0.0	Local transmission		Uganda	44	0
										2	0.0	1.0	Local transmission		Togo	36	2
										1	0.0	0.0	Local transmission		Zambia	36	0
										14	0.0	0.0	Local transmission		Guinea	30	0
										10	0.0	0.0	Local transmission		Mali	28	0
										0	1.0	0.0	Local transmission		Ethiopia	26	0
										3	0.0	2.0	Local transmission		Congo	22	2
										1	0.0	0.0	Local transmission		United Republic of Tanzania	20	1
										9	0.0	0.0	Imported cases only		Eritrea	15	0
										0	2.0	0.0	Local transmission		Equatorial Guinea	14	0
										4	0.0	0.0	Imported cases only		Benin	13	0
										0	3.0	0.0	Imported cases only		Namibia	11	0
										2	0.0	0.0	Local transmission		Mozambique	10	0
										2	0.0	0.0	Imported cases only		Seychelles	10	0
										0	5.0	0.0	Imported cases only		Eswatini	9	0
										0	1.0	0.0	Imported cases only		Guinea-Bissau	9	0
										1	0.0	0.0	Imported cases only		Angola	8	2
										2	0.0	0.0	Imported cases only		Central African Republic	8	0
										0	1.0	0.0	Local transmission		Zimbabwe	8	1
										0	1.0	0.0	Imported cases only		Chad	7	0
										0	5.0	0.0	Imported cases only		Gabon	7	1
										3	0.0	0.0	Local transmission		Liberia	6	0
										0	5.0	0.0	Imported cases only		Cabo Verde	5	1
										0	4.0	0.0	Imported cases only		Mauritania	5	0
										0	1.0	1.0	Imported cases only		Botswana	3	1
										0	4.0	0.0	Imported cases only		Gambia	3	1
										0	1.0	0.0	Imported cases only		Burundi	2	0
										1	0.0	0.0	Imported cases only		Sierra Leone	2	0
										 	 	 	 		Territories**	 	 
										34	0.0	0.0	Local transmission		Réunion	281	0
										15	0.0	2.0	Local transmission		Mayotte	116	2
										72 839	 	4924.0	 		Subtotal for all regions	895 738	45 515
										0	17.0	0.0	Local transmission		International conveyance (Diamond Princess)	712	11
										72 839	 	4924.0	 		Grand total	896 450	45 526
