Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Belarus	21	0	0.1	0.2	Local transmission	1	Kenya	Imported cases only	1.1
										Brazil	121.0	23.0	0.0	0.0	Local transmission	0.0			
										Chile	61.0	18.0	0.0	0.0	Local transmission	0.0			
										Argentina	45.0	11.0	2.0	0.0	Local transmission	0.0			
										Peru	43.0	15.0	0.0	0.0	Local transmission	0.0			
										Mexico	41.0	15.0	0.0	0.0	Imported cases only	0.0			
										Panama	27.0	0.0	1.0	0.0	Local transmission	1.0			
										Colombia	24.0	8.0	0.0	0.0	Local transmission	0.0			
										Costa Rica	23.0	0.0	0.0	0.0	Local transmission	1.0			
										Ecuador	23.0	0.0	0.0	0.0	Local transmission	1.0			
										Jamaica	8.0	1.0	0.0	0.0	Local transmission	0.0			
										Guyana	1.0	0.0	1.0	0.0	Imported cases only	2.0			
										Paraguay	6.0	0.0	0.0	0.0	Local transmission	1.0			
										Dominican Republic	5.0	0.0	0.0	0.0	Imported cases only	5.0			
										Cuba	4.0	0.0	0.0	0.0	Imported cases only	1.0			
										Bolivia (Plurinational State of)	3.0	0.0	0.0	0.0	Imported cases only	2.0			
										Puerto Rico	3.0	0.0	0.0	0.0	Imported cases only	1.0			
										Honduras	2.0	0.0	0.0	0.0	Imported cases only	3.0			
										Venezuela (Bolivarian Republic of)	2.0	0.0	0.0	0.0	Imported cases only	1.0			
										Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	1.0			
										Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	2.0			
										Trinidad and Tobago	1.0	0.0	0.0	0.0	Imported cases only	1.0			
										Territories**	 	 	 	 	 	 			
										French Guiana	7.0	1.0	0.0	0.0	Imported cases only	2.0			
										Martinique	10.0	4.0	0.0	0.0	Imported cases only	0.0			
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	12.0			
										Saint Barthelemy	1.0	0.0	0.0	0.0	Under investigation	12.0			
										Cayman Islands	1.0	0.0	0.0	0.0	Imported cases only	1.0			
										Guadeloupe	3.0	2.0	0.0	0.0	Imported cases only	0.0			
										Curaçao	2.0	2.0	0.0	0.0	Imported cases only	0.0			
										African Region	 	 	 	 	 	 			
										South Africa	38.0	21.0	0.0	0.0	Local transmission	0.0			
										Algeria	37.0	11.0	3.0	1.0	Local transmission	0.0			
										Senegal	21.0	11.0	0.0	0.0	Local transmission	0.0			
										Burkina Faso	3.0	1.0	0.0	0.0	Imported cases only	0.0			
										Cameroon	3.0	1.0	0.0	0.0	Local transmission	0.0			
										Cote d’Ivoire	3.0	2.0	0.0	0.0	Imported cases only	0.0			
										Democratic Republic of the Congo	2.0	0.0	0.0	0.0	Imported cases only	1.0			
										Ghana	2.0	1.0	0.0	0.0	Imported cases only	0.0			
										Namibia	2.0	2.0	0.0	0.0	Imported cases only	0.0			
										Nigeria	2.0	0.0	0.0	0.0	Imported cases only	6.0			
										Central African Republic	1.0	1.0	0.0	0.0	Imported cases only	0.0			
										Congo	1.0	1.0	0.0	0.0	Imported cases only	0.0			
										Equatorial Guinea	1.0	1.0	0.0	0.0	Imported cases only	0.0			
										Eswatini	1.0	1.0	0.0	0.0	Imported cases only	0.0			
										Ethiopia	1.0	0.0	0.0	0.0	Imported cases only	1.0			
										Gabon	1.0	0.0	0.0	0.0	Imported cases only	1.0			
										Guinea	1.0	0.0	0.0	0.0	Imported cases only	1.0			
												1.0	0.0	0.0		1.0	Mauritania	Imported cases only	0.0
												0.0	0.0	0.0		1.0	Togo	Imported cases only	8.0
												 	 	 		 	Territories**	 	 
												1.0	0.0	0.0		6.0	Réunion	Imported cases only	0.0
												1.0	0.0	0.0		1.0	Mayotte	Imported cases only	0.0
												10955.0	2524.0	333.0		71772.0	Subtotal for all regions	 	 
												0.0	7.0	0.0		697.0	International conveyance (Diamond Princess)	Local transmission	1.0
												10955.0	2531.0	333.0		72469.0	Grand total	 	 
