Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	Jordan	56	4	0	0.1	Imported cases only	0.2
Lebanon	149.0	29.0	4.0	0.0	Local transmission	0.0							
Kuwait	148.0	6.0	0.0	0.0	Local transmission	0.0							
United Arab Emirates	140.0	27.0	0.0	0.0	Local transmission	0.0							
Morocco	61.0	12.0	2.0	0.0	Local transmission	0.0							
							Oman	39.0	6.0	0.0	0.0	Imported cases only	0.0
							Tunisia	39.0	10.0	0.0	0.0	Local transmission	0.0
							Afghanistan	22.0	0.0	0.0	0.0	Imported cases only	2.0
							Djibouti	1.0	0.0	0.0	0.0	Under investigation	1.0
							Somalia	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Sudan	1.0	0.0	1.0	0.0	Imported cases only	5.0
							Territories**	 	 	 	 	 	 
							occupied Palestinian territory	47.0	3.0	0.0	0.0	Local transmission	0.0
							Region of the Americas	 	 	 	 	 	 
							United States of America	10442.0	3355.0	150.0	50.0	Local transmission	0.0
							Canada	736.0	167.0	9.0	0.0	Local transmission	0.0
							Brazil	428.0	137.0	4.0	3.0	Local transmission	0.0
							Chile	342.0	104.0	0.0	0.0	Local transmission	0.0
							Peru	234.0	89.0	0.0	0.0	Local transmission	0.0
							Ecuador	199.0	44.0	3.0	1.0	Local transmission	0.0
							Mexico	118.0	25.0	1.0	1.0	Imported cases only	0.0
							Panama	109.0	23.0	1.0	0.0	Local transmission	0.0
							Colombia	108.0	15.0	0.0	0.0	Local transmission	0.0
							Argentina	97.0	0.0	2.0	0.0	Local transmission	1.0
							Costa Rica	87.0	37.0	1.0	0.0	Local transmission	0.0
							Uruguay	79.0	50.0	0.0	0.0	Imported cases only	0.0
							Venezuela (Bolivarian Republic of)	36.0	0.0	0.0	0.0	Imported cases only	1.0
							Dominican Republic	34.0	13.0	2.0	1.0	Local transmission	0.0
							Bolivia (Plurinational State of)	15.0	3.0	0.0	0.0	Imported cases only	0.0
							Jamaica	15.0	2.0	1.0	1.0	Local transmission	0.0
							Honduras	12.0	3.0	0.0	0.0	Imported cases only	0.0
							Cuba	11.0	1.0	1.0	0.0	Local transmission	0.0
							Paraguay	11.0	0.0	0.0	0.0	Local transmission	1.0
							Guatemala	9.0	3.0	1.0	0.0	Imported cases only	0.0
							Trinidad and Tobago	9.0	2.0	0.0	0.0	Imported cases only	0.0
							Guyana	5.0	0.0	1.0	0.0	Local transmission	1.0
							Bahamas	3.0	0.0	0.0	0.0	Local transmission	1.0
							Barbados	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Bermuda	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	4.0
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	6.0
							El Salvador	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Montserrat	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Nicaragua	1.0	1.0	0.0	0.0	Under investigation	0.0
							Suriname	1.0	0.0	0.0	0.0	Imported cases only	4.0
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	6.0
							Territories**	 	 	 	 	 	 
							Guadeloupe	45.0	12.0	0.0	0.0	Imported cases only	0.0
							Martinique	32.0	9.0	0.0	0.0	Imported cases only	0.0
							French Guiana	15.0	4.0	0.0	0.0	Local transmission	0.0
							Puerto Rico	6.0	1.0	0.0	0.0	Imported cases only	0.0
							Aruba	5.0	1.0	0.0	0.0	Imported cases only	0.0
							Saint Martin	4.0	0.0	0.0	0.0	Under investigation	1.0
							Cayman Islands	3.0	2.0	1.0	0.0	Imported cases only	0.0
							Curaçao	3.0	0.0	0.0	0.0	Imported cases only	2.0
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	4.0
							United States Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	1.0
							Sint Maarten	1.0	0.0	0.0	0.0	Imported cases only	1.0
							African Region	 	 	 	 	 	 
							South Africa	150.0	34.0	0.0	0.0	Local transmission	0.0
							Algeria	82.0	10.0	7.0	1.0	Local transmission	0.0
							Burkina Faso	40.0	14.0	1.0	0.0	Imported cases only	0.0
							Senegal	38.0	2.0	0.0	0.0	Local transmission	0.0
							Cameroon	15.0	5.0	0.0	0.0	Local transmission	0.0
							Democratic Republic of the Congo	14.0	7.0	0.0	0.0	Local transmission	0.0
							Nigeria	12.0	4.0	0.0	0.0	Imported cases only	0.0
							Ghana	11.0	2.0	0.0	0.0	Local transmission	0.0
							Rwanda	11.0	0.0	0.0	0.0	Local transmission	1.0
							Cote d’Ivoire	9.0	0.0	0.0	0.0	Imported cases only	1.0
							Ethiopia	9.0	3.0	0.0	0.0	Imported cases only	0.0
							Togo	9.0	8.0	0.0	0.0	Imported cases only	0.0
							Kenya	7.0	0.0	0.0	0.0	Local transmission	1.0
							Mauritius	7.0	4.0	0.0	0.0	Under investigation	0.0
							Seychelles	6.0	0.0	0.0	0.0	Imported cases only	1.0
							United Republic of Tanzania	6.0	3.0	0.0	0.0	Imported cases only	0.0
							Equatorial Guinea	4.0	1.0	0.0	0.0	Imported cases only	0.0
							Congo	3.0	0.0	0.0	0.0	Imported cases only	1.0
							Gabon	3.0	0.0	0.0	0.0	Imported cases only	1.0
							Namibia	3.0	1.0	0.0	0.0	Imported cases only	0.0
							Benin	2.0	1.0	0.0	0.0	Imported cases only	0.0
							Guinea	2.0	1.0	0.0	0.0	Imported cases only	0.0
							Liberia	2.0	0.0	0.0	0.0	Local transmission	1.0
							Mauritania	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Zambia	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Central African Republic	1.0	0.0	0.0	0.0	Imported cases only	5.0
							Chad	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Eswatini	1.0	0.0	0.0	0.0	Imported cases only	5.0
							Gambia	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Niger	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Territories**	 	 	 	 	 	 
							Réunion	15.0	3.0	0.0	0.0	Imported cases only	0.0
							Mayotte	4.0	1.0	0.0	0.0	Imported cases only	0.0
							Subtotal for all regions	233361.0	24247.0	9833.0	1061.0	 	 
							International conveyance (Diamond Princess)	712.0	0.0	7.0	0.0	Local transmission	4.0
							Grand total	234073.0	24247.0	9840.0	1061.0	 	 
