Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Indonesia	1528	114	136	14	Local transmission	0	Cameroon	139	6	0.1	1
Georgia	115.0	12.0	0.0	0.0	Local transmission	0.0	 												
Kyrgyzstan	111.0	4.0	0.0	0.0	Local transmission	0.0	 												
Montenegro	105.0	14.0	2.0	1.0	Local transmission	0.0	 												
Liechtenstein	68.0	4.0	0.0	0.0	Under investigation	0.0	 												
Monaco	52.0	3.0	0.0	0.0	Local transmission	0.0	 												
Holy See	6.0	0.0	0.0	0.0	Under investigation	2.0	 												
Territories**	 	 	 	 	 	 	 												
Faroe Islands	169.0	1.0	0.0	0.0	Local transmission	0.0	 												
Kosovo[1]	112.0	6.0	1.0	0.0	Local transmission	0.0	 												
Gibraltar	69.0	0.0	0.0	0.0	Local transmission	1.0	 												
Jersey	63.0	0.0	2.0	0.0	Local transmission	2.0	 												
Guernsey	60.0	15.0	1.0	1.0	Local transmission	0.0	 												
Isle of Man	52.0	10.0	0.0	0.0	Local transmission	0.0	 												
Greenland	10.0	0.0	0.0	0.0	Under investigation	3.0	 												
South-East Asia Region	 	 	 	 	 	 	 												
Thailand	1771.0	247.0	12.0	3.0	Local transmission	0.0	 												
India	1636.0	565.0	38.0	9.0	Local transmission	0.0	 												
								Sri Lanka	143.0	23.0	2.0	1.0	Local transmission	0.0					
								Bangladesh	54.0	5.0	6.0	1.0	Local transmission	0.0					
								Maldives	18.0	1.0	0.0	0.0	Local transmission	0.0					
								Myanmar	15.0	5.0	1.0	1.0	Local transmission	0.0					
								Nepal	5.0	0.0	0.0	0.0	Imported cases only	3.0					
								Bhutan	4.0	0.0	0.0	0.0	Imported cases only	2.0					
								Timor-Leste	1.0	0.0	0.0	0.0	Under investigation	11.0					
								Eastern Mediterranean Region	 	 	 	 	 	 					
								Iran (Islamic Republic of)	44606.0	3111.0	2898.0	141.0	Local transmission	0.0					
								Pakistan	2039.0	174.0	26.0	1.0	Local transmission	0.0					
								Saudi Arabia	1563.0	110.0	10.0	2.0	Local transmission	0.0					
								Qatar	781.0	88.0	2.0	1.0	Local transmission	0.0					
								Egypt	710.0	54.0	46.0	5.0	Local transmission	0.0					
								Iraq	694.0	64.0	50.0	4.0	Local transmission	0.0					
								United Arab Emirates	664.0	53.0	6.0	1.0	Local transmission	0.0					
								Morocco	638.0	64.0	36.0	3.0	Local transmission	0.0					
								Bahrain	567.0	52.0	4.0	0.0	Local transmission	0.0					
								Lebanon	463.0	17.0	12.0	1.0	Local transmission	0.0					
								Tunisia	394.0	32.0	10.0	1.0	Local transmission	0.0					
								Kuwait	289.0	23.0	0.0	0.0	Local transmission	0.0					
								Jordan	274.0	6.0	5.0	0.0	Local transmission	0.0					
								Oman	210.0	31.0	1.0	1.0	Local transmission	0.0					
								Afghanistan	192.0	26.0	4.0	0.0	Local transmission	0.0					
								Djibouti	31.0	5.0	0.0	0.0	Local transmission	0.0					
								Libya	10.0	2.0	0.0	0.0	Local transmission	0.0					
								Syrian Arab Republic	10.0	0.0	2.0	0.0	Imported cases only	1.0					
								Sudan	7.0	1.0	2.0	0.0	Imported cases only	0.0					
								Somalia	5.0	2.0	0.0	0.0	Imported cases only	0.0					
								Territories**	 	 	 	 	 	 					
								occupied Palestinian territory	134.0	17.0	1.0	0.0	Local transmission	0.0					
								Region of the Americas	 	 	 	 	 	 					
								United States of America	163199.0	22559.0	2850.0	452.0	Local transmission	0.0					
								Canada	7695.0	1378.0	89.0	23.0	Local transmission	0.0					
								Brazil	4579.0	323.0	159.0	23.0	Local transmission	0.0					
								Chile	2738.0	289.0	12.0	4.0	Local transmission	0.0					
								Ecuador	2240.0	278.0	75.0	15.0	Local transmission	0.0					
								Dominican Republic	1109.0	208.0	51.0	9.0	Local transmission	0.0					
								Mexico	1094.0	101.0	28.0	8.0	Local transmission	0.0					
								Peru	1065.0	213.0	24.0	13.0	Local transmission	0.0					
								Panama	989.0	0.0	24.0	0.0	Local transmission	1.0					
								Argentina	966.0	146.0	24.0	4.0	Local transmission	0.0					
								Colombia	798.0	96.0	14.0	4.0	Local transmission	0.0					
								Uruguay	320.0	11.0	1.0	1.0	Local transmission	0.0					
								Costa Rica	314.0	0.0	2.0	0.0	Local transmission	1.0					
								Cuba	186.0	16.0	6.0	2.0	Local transmission	0.0					
								Honduras	139.0	0.0	2.0	0.0	Local transmission	1.0					
								Venezuela (Bolivarian Republic of)	129.0	0.0	3.0	0.0	Local transmission	1.0					
								Bolivia (Plurinational State of)	107.0	10.0	6.0	1.0	Local transmission	0.0					
								Trinidad and Tobago	85.0	3.0	3.0	0.0	Local transmission	0.0					
								Paraguay	65.0	1.0	3.0	0.0	Local transmission	0.0					
								Guatemala	36.0	0.0	1.0	0.0	Local transmission	1.0					
								Jamaica	36.0	0.0	1.0	0.0	Local transmission	1.0					
								Barbados	33.0	0.0	0.0	0.0	Local transmission	1.0					
								El Salvador	30.0	0.0	0.0	0.0	Local transmission	1.0					
								Haiti	15.0	0.0	0.0	0.0	Imported cases only	2.0					
								Bahamas	14.0	0.0	0.0	0.0	Local transmission	1.0					
								Guyana	12.0	4.0	2.0	1.0	Local transmission	0.0					
								Dominica	11.0	0.0	0.0	0.0	Local transmission	5.0					
								Grenada	9.0	0.0	0.0	0.0	Local transmission	1.0					
								Saint Lucia	9.0	0.0	0.0	0.0	Local transmission	1.0					
								Saint Kitts and Nevis	8.0	6.0	0.0	0.0	Imported cases only	0.0					
								Suriname	8.0	0.0	0.0	0.0	Imported cases only	4.0					
								Antigua and Barbuda	7.0	0.0	0.0	0.0	Imported cases only	4.0					
								Nicaragua	4.0	0.0	1.0	0.0	Imported cases only	3.0					
								Belize	3.0	0.0	0.0	0.0	Local transmission	1.0					
								Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	19.0					
								Territories**	 	 	 	 	 	 					
								Puerto Rico	239.0	65.0	8.0	2.0	Local transmission	0.0					
								Martinique	119.0	8.0	2.0	0.0	Local transmission	0.0					
								Guadeloupe	114.0	8.0	5.0	1.0	Local transmission	0.0					
								Aruba	55.0	5.0	0.0	0.0	Local transmission	0.0					
								French Guiana	46.0	3.0	0.0	0.0	Local transmission	0.0					
								United States Virgin Islands	30.0	0.0	0.0	0.0	Local transmission	1.0					
								Bermuda	27.0	5.0	0.0	0.0	Local transmission	0.0					
								Saint Martin	18.0	0.0	2.0	1.0	Under investigation	1.0					
								Cayman Islands	12.0	0.0	1.0	0.0	Imported cases only	1.0					
								Curaçao	11.0	0.0	1.0	0.0	Imported cases only	1.0					
								Saint Barthélemy	6.0	0.0	0.0	0.0	Under investigation	1.0					
								Sint Maarten	6.0	0.0	0.0	0.0	Imported cases only	1.0					
								Montserrat	5.0	0.0	0.0	0.0	Imported cases only	4.0					
								Turks and Caicos Islands	5.0	0.0	0.0	0.0	Local transmission	1.0					
								British Virgin Islands	3.0	1.0	0.0	0.0	Imported cases only	0.0					
								Anguilla	2.0	0.0	0.0	0.0	Local transmission	5.0					
								African Region	 	 	 	 	 	 					
								South Africa	1353.0	27.0	5.0	2.0	Local transmission	0.0					
								Algeria	584.0	73.0	35.0	4.0	Local transmission	0.0					
								Burkina Faso	261.0	15.0	14.0	2.0	Local transmission	0.0					
								Senegal	175.0	13.0	0.0	0.0	Local transmission	0.0					
								Cote d’Ivoire	169.0	0.0	0.0	0.0	Local transmission	1.0					
								Ghana	152.0	0.0	5.0	0.0	Local transmission	2.0					
								Mauritius	143.0	36.0	5.0	3.0	Local transmission	0.0					
													Local transmission	0	Nigeria	111	1	0.0	1.0
													Local transmission	11	Democratic Republic of the Congo	109	8	0.0	0.0
													Local transmission	5	Rwanda	75	0	0.0	0.0
													Local transmission	7	Madagascar	53	0	0.0	0.0
													Local transmission	12	Kenya	50	1	0.0	0.0
													Local transmission	0	Zambia	35	0	0.0	1.0
													Local transmission	0	Togo	34	1	0.0	1.0
													Local transmission	0	Uganda	33	0	0.0	2.0
													Local transmission	3	Ethiopia	26	0	0.0	0.0
													Local transmission	0	Niger	20	3	0.0	2.0
													Imported cases only	0	Congo	19	0	0.0	4.0
													Under investigation	0	United Republic of Tanzania	19	1	1.0	1.0
													Local transmission	0	Mali	18	0	0.0	3.0
													Local transmission	0	Guinea	16	0	0.0	2.0
													Local transmission	0	Equatorial Guinea	14	0	0.0	1.0
													Imported cases only	0	Namibia	11	0	0.0	2.0
													Imported cases only	3	Benin	9	0	0.0	0.0
													Imported cases only	0	Eswatini	9	0	0.0	4.0
													Imported cases only	7	Guinea-Bissau	9	0	0.0	0.0
													Local transmission	0	Mozambique	8	0	0.0	3.0
													Imported cases only	0	Seychelles	8	0	0.0	2.0
													Local transmission	3	Zimbabwe	8	1	0.0	0.0
													Imported cases only	5	Angola	7	2	2.0	0.0
													Imported cases only	2	Chad	7	0	0.0	0.0
													Imported cases only	0	Gabon	7	1	0.0	4.0
													Imported cases only	0	Central African Republic	6	0	0.0	4.0
													Imported cases only	0	Eritrea	6	0	0.0	5.0
													Imported cases only	0	Cabo Verde	5	1	0.0	4.0
													Imported cases only	0	Mauritania	5	0	0.0	3.0
													Imported cases only	3	Botswana	3	0	0.0	0.0
													Imported cases only	0	Gambia	3	1	0.0	3.0
													Local transmission	0	Liberia	3	0	0.0	10.0
													Imported cases only	2	Burundi	2	0	0.0	0.0
													Imported cases only	1	Sierra Leone	1	0	0.0	0.0
													 	 	Territories**	 	 	 	 
													Local transmission	40	Réunion	247	0	0.0	0.0
													Local transmission	19	Mayotte	101	0	0.0	0.0
													 	72 736	Subtotal for all regions	822 914	40 591	4193.0	 
													Local transmission	0	International conveyance (Diamond Princess)	712	7	0.0	16.0
													 	72 736	Grand total	823 626	40 598	4193.0	 
