Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	Somalia	1	1.1	0	0.1	Imported cases only	0.2
Cyprus	33.0	0.0	0.0	0.0	Imported cases only	1.0							
Georgia	33.0	0.0	0.0	0.0	Imported cases only	1.0							
Malta	30.0	9.0	0.0	0.0	Imported cases only	0.0							
Republic of Moldova	29.0	6.0	0.0	0.0	Local transmission	0.0							
Azerbaijan	19.0	0.0	0.0	0.0	Imported cases only	2.0							
Bosnia and Herzegovina	19.0	0.0	0.0	0.0	Local transmission	1.0							
North Macedonia	19.0	6.0	0.0	0.0	Local transmission	0.0							
Lithuania	17.0	3.0	0.0	0.0	Imported cases only	0.0							
Andorra	14.0	12.0	0.0	0.0	Imported cases only	0.0							
Monaco	9.0	0.0	0.0	0.0	Under investigation	1.0							
Liechtenstein	7.0	0.0	0.0	0.0	Imported cases only	1.0							
Ukraine	7.0	4.0	1.0	0.0	Local transmission	0.0							
Kazakhstan	6.0	0.0	0.0	0.0	Imported cases only	2.0							
Uzbekistan	4.0	0.0	0.0	0.0	Under investigation	1.0							
Holy See	1.0	0.0	0.0	0.0	Under investigation	11.0							
Territories**	 	 	 	 	 	 							
Faroe Islands	47.0	36.0	0.0	0.0	Imported cases only	0.0							
Gibraltar	3.0	2.0	0.0	0.0	Under investigation	0.0							
Jersey	2.0	0.0	0.0	0.0	Imported cases only	4.0							
Guernsey	1.0	0.0	0.0	0.0	Imported cases only	7.0							
South-East Asia Region	 	 	 	 	 	 							
Indonesia	172.0	55.0	5.0	1.0	Local transmission	0.0							
Thailand	147.0	33.0	1.0	0.0	Local transmission	0.0							
India	137.0	23.0	3.0	1.0	Local transmission	0.0							
Sri Lanka	29.0	10.0	0.0	0.0	Local transmission	0.0							
Maldives	13.0	0.0	0.0	0.0	Local transmission	1.0							
Bangladesh	8.0	3.0	0.0	0.0	Local transmission	0.0							
Bhutan	1.0	0.0	0.0	0.0	Imported cases only	11.0							
Nepal	1.0	0.0	0.0	0.0	Imported cases only	53.0							
Eastern Mediterranean Region	 	 	 	 	 	 							
Iran (Islamic Republic of)	14991.0	0.0	853.0	0.0	Local transmission	1.0							
Qatar	439.0	38.0	0.0	0.0	Local transmission	0.0							
Bahrain	229.0	8.0	1.0	0.0	Local transmission	0.0							
Pakistan	187.0	135.0	0.0	0.0	Imported cases only	0.0							
Egypt	166.0	40.0	4.0	2.0	Local transmission	0.0							
Saudi Arabia	133.0	30.0	0.0	0.0	Local transmission	0.0							
Kuwait	130.0	18.0	0.0	0.0	Local transmission	0.0							
Iraq	124.0	0.0	9.0	0.0	Local transmission	1.0							
Lebanon	109.0	10.0	3.0	0.0	Local transmission	0.0							
United Arab Emirates	98.0	0.0	0.0	0.0	Local transmission	1.0							
Morocco	38.0	10.0	2.0	1.0	Local transmission	0.0							
Jordan	35.0	29.0	0.0	0.0	Imported cases only	0.0							
Oman	24.0	2.0	0.0	0.0	Imported cases only	0.0							
Afghanistan	21.0	5.0	0.0	0.0	Imported cases only	0.0							
Tunisia	20.0	2.0	0.0	0.0	Local transmission	0.0							
Sudan	1.0	0.0	1.0	0.0	Imported cases only	2.0							
							Territories**	 	 	 	 	 	 
							occupied Palestinian Territory	39.0	1.0	0.0	0.0	Local transmission	0.0
							Region of the Americas	 	 	 	 	 	 
							United States of America	3503.0	1825.0	58.0	17.0	Local transmission	0.0
							Canada	424.0	120.0	1.0	0.0	Local transmission	0.0
							Brazil	234.0	34.0	0.0	0.0	Local transmission	0.0
							Chile	156.0	81.0	0.0	0.0	Local transmission	0.0
							Peru	86.0	15.0	0.0	0.0	Local transmission	0.0
							Panama	69.0	26.0	1.0	0.0	Local transmission	0.0
							Argentina	65.0	9.0	2.0	0.0	Local transmission	0.0
							Ecuador	58.0	21.0	2.0	0.0	Local transmission	0.0
							Mexico	53.0	0.0	0.0	0.0	Imported cases only	1.0
							Colombia	45.0	21.0	0.0	0.0	Local transmission	0.0
							Costa Rica	41.0	18.0	0.0	0.0	Local transmission	0.0
							Venezuela (Bolivarian Republic of)	33.0	16.0	0.0	0.0	Imported cases only	0.0
							Dominican Republic	21.0	16.0	1.0	1.0	Local transmission	0.0
							Bolivia (Plurinational State of)	11.0	0.0	0.0	0.0	Imported cases only	1.0
							Jamaica	10.0	0.0	0.0	0.0	Local transmission	1.0
							Paraguay	9.0	1.0	0.0	0.0	Local transmission	0.0
							Honduras	8.0	6.0	0.0	0.0	Imported cases only	0.0
							Uruguay	6.0	2.0	0.0	0.0	Imported cases only	0.0
							Cuba	5.0	1.0	0.0	0.0	Imported cases only	0.0
							Trinidad and Tobago	5.0	3.0	0.0	0.0	Imported cases only	0.0
							Guyana	4.0	0.0	1.0	0.0	Local transmission	1.0
							Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	1.0
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Bahamas	1.0	1.0	0.0	0.0	Local transmission	0.0
							Guatemala	1.0	0.0	1.0	0.0	Imported cases only	2.0
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	4.0
							Suriname	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Territories**	 	 	 	 	 	 
							Guadeloupe	18.0	12.0	0.0	0.0	Imported cases only	0.0
							Martinique	16.0	1.0	0.0	0.0	Imported cases only	0.0
							French Guiana	7.0	0.0	0.0	0.0	Imported cases only	3.0
							Curaçao	3.0	1.0	0.0	0.0	Imported cases only	0.0
							Puerto Rico	3.0	0.0	0.0	0.0	Imported cases only	3.0
							Saint Barthelemy	3.0	0.0	0.0	0.0	Under investigation	1.0
							Aruba	2.0	2.0	0.0	0.0	Imported cases only	0.0
							Saint Martin	2.0	0.0	0.0	0.0	Under investigation	14.0
							United States Virgin Islands	2.0	2.0	0.0	0.0	Imported cases only	0.0
							Cayman Islands	1.0	0.0	1.0	0.0	Imported cases only	3.0
							African Region	 	 	 	 	 	 
							South Africa	62.0	11.0	0.0	0.0	Local transmission	0.0
							Algeria	60.0	11.0	4.0	1.0	Local transmission	0.0
							Senegal	27.0	1.0	0.0	0.0	Local transmission	0.0
							Burkina Faso	15.0	0.0	0.0	0.0	Imported cases only	1.0
							Rwanda	7.0	2.0	0.0	0.0	Local transmission	0.0
							Cote d’Ivoire	6.0	3.0	0.0	0.0	Imported cases only	0.0
							Ghana	6.0	0.0	0.0	0.0	Imported cases only	1.0
							Cameroon	5.0	2.0	0.0	0.0	Local transmission	0.0
							Ethiopia	5.0	4.0	0.0	0.0	Imported cases only	0.0
							Seychelles	4.0	2.0	0.0	0.0	Imported cases only	0.0
							Democratic Republic of the Congo	3.0	1.0	0.0	0.0	Imported cases only	0.0
							Kenya	3.0	2.0	0.0	0.0	Local transmission	0.0
							Namibia	2.0	0.0	0.0	0.0	Imported cases only	2.0
							Nigeria	2.0	0.0	0.0	0.0	Imported cases only	8.0
							Benin	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Central African Republic	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Congo	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Equatorial Guinea	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Eswatini	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Gabon	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Guinea	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Liberia	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Mauritania	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Togo	1.0	0.0	0.0	0.0	Imported cases only	10.0
							United Republic of Tanzania	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Territories**	 	 	 	 	 	 
							Réunion	9.0	0.0	0.0	0.0	Imported cases only	1.0
							Mayotte	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Subtotal for all regions	178399.0	11525.0	7419.0	475.0	 	 
							International conveyance (Diamond Princess)	712.0	0.0	7.0	0.0	Local transmission	1.0
							Grand total	179111.0	11525.0	7426.0	475.0	 	 
