Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Lebanon	163	14	4	0	Local transmission	0.1	(Diamond Princess)	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
							Somalia	1.0	0.0	0.0	0.0	Imported cases only	4.0							
							Sudan	1.0	0.0	1.0	0.0	Imported cases only	6.0							
							Territories**	 	 	 	 	 	 							
							occupied Palestinian territory	48.0	1.0	0.0	0.0	Local transmission	0.0							
							Region of the Americas	 	 	 	 	 	 							
							United States of America	15219.0	4777.0	201.0	51.0	Local transmission	0.0							
							Canada	846.0	110.0	9.0	0.0	Local transmission	0.0							
							Brazil	621.0	193.0	4.0	0.0	Local transmission	0.0							
							Chile	434.0	92.0	0.0	0.0	Local transmission	0.0							
							Ecuador	367.0	168.0	5.0	2.0	Local transmission	0.0							
							Peru	234.0	0.0	2.0	2.0	Local transmission	1.0							
							Mexico	164.0	46.0	1.0	0.0	Imported cases only	0.0							
							Colombia	145.0	37.0	0.0	0.0	Local transmission	0.0							
							Panama	137.0	28.0	1.0	0.0	Local transmission	0.0							
							Argentina	128.0	31.0	3.0	1.0	Local transmission	0.0							
							Costa Rica	113.0	26.0	2.0	1.0	Local transmission	0.0							
							Uruguay	94.0	15.0	0.0	0.0	Imported cases only	0.0							
							Dominican Republic	72.0	38.0	2.0	0.0	Local transmission	0.0							
							Venezuela (Bolivarian Republic of)	36.0	0.0	0.0	0.0	Imported cases only	2.0							
							Honduras	24.0	12.0	0.0	0.0	Imported cases only	0.0							
							Bolivia (Plurinational State of)	16.0	1.0	0.0	0.0	Local transmission	0.0							
							Cuba	16.0	5.0	1.0	0.0	Imported cases only	0.0							
							Jamaica	16.0	1.0	1.0	0.0	Local transmission	0.0							
							Paraguay	13.0	2.0	0.0	0.0	Local transmission	0.0							
							Guatemala	12.0	3.0	1.0	0.0	Imported cases only	0.0							
							Trinidad and Tobago	9.0	0.0	0.0	0.0	Imported cases only	1.0							
							Barbados	5.0	3.0	0.0	0.0	Imported cases only	0.0							
							Guyana	5.0	0.0	1.0	0.0	Local transmission	2.0							
							Bahamas	4.0	1.0	0.0	0.0	Local transmission	0.0							
							Haiti	2.0	2.0	0.0	0.0	Imported cases only	0.0							
							Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	5.0							
							Suriname	2.0	1.0	0.0	0.0	Imported cases only	0.0							
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	7.0							
							El Salvador	1.0	0.0	0.0	0.0	Imported cases only	1.0							
							Nicaragua	1.0	0.0	0.0	0.0	Imported cases only	1.0							
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	7.0							
							Territories**	 	 	 	 	 	 							
							Guadeloupe	51.0	6.0	0.0	0.0	Imported cases only	0.0							
							Martinique	32.0	0.0	0.0	0.0	Imported cases only	1.0							
							French Guiana	15.0	0.0	0.0	0.0	Local transmission	1.0							
							Puerto Rico	14.0	8.0	0.0	0.0	Imported cases only	0.0							
							Aruba	5.0	0.0	0.0	0.0	Imported cases only	1.0							
							Saint Martin	4.0	0.0	0.0	0.0	Under investigation	2.0							
							Cayman Islands	3.0	0.0	1.0	0.0	Imported cases only	1.0							
							Curaçao	3.0	0.0	0.0	0.0	Imported cases only	3.0							
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	5.0							
							United States Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	2.0							
							Bermuda	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Montserrat	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							Sint Maarten	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							African Region	 	 	 	 	 	 							
							South Africa	205.0	55.0	0.0	0.0	Local transmission	0.0							
							Algeria	94.0	12.0	10.0	3.0	Local transmission	0.0							
							Burkina Faso	40.0	0.0	1.0	0.0	Imported cases only	1.0							
							Senegal	38.0	0.0	0.0	0.0	Local transmission	1.0							
							Cameroon	22.0	7.0	0.0	0.0	Local transmission	0.0							
							Ghana	16.0	5.0	0.0	0.0	Local transmission	0.0							
							Democratic Republic of the Congo	14.0	0.0	0.0	0.0	Local transmission	1.0							
							Mauritius	12.0	5.0	0.0	0.0	Imported cases only	0.0							
							Nigeria	12.0	0.0	0.0	0.0	Imported cases only	1.0							
							Rwanda	11.0	0.0	0.0	0.0	Local transmission	2.0							
							Côte d’Ivoire	9.0	0.0	0.0	0.0	Imported cases only	2.0							
							Ethiopia	9.0	0.0	0.0	0.0	Imported cases only	1.0							
							Togo	9.0	0.0	0.0	0.0	Imported cases only	1.0							
							Kenya	7.0	0.0	0.0	0.0	Local transmission	2.0							
							Seychelles	6.0	0.0	0.0	0.0	Imported cases only	2.0							
							United Republic of Tanzania	6.0	0.0	0.0	0.0	Imported cases only	1.0							
							Equatorial Guinea	4.0	0.0	0.0	0.0	Imported cases only	1.0							
							Congo	3.0	0.0	0.0	0.0	Imported cases only	2.0							
							Gabon	3.0	0.0	1.0	1.0	Imported cases only	2.0							
							Namibia	3.0	0.0	0.0	0.0	Imported cases only	1.0							
							Benin	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Guinea	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Liberia	2.0	0.0	0.0	0.0	Local transmission	2.0							
							Mauritania	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Zambia	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Cabo Verde	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Central African Republic	1.0	0.0	0.0	0.0	Imported cases only	6.0							
							Chad	1.0	0.0	0.0	0.0	Imported cases only	1.0							
							Eswatini	1.0	0.0	0.0	0.0	Imported cases only	6.0							
							Gambia	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							Niger	1.0	0.0	0.0	0.0	Imported cases only	1.0							
							Zimbabwe	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Territories**	 	 	 	 	 	 							
							Réunion	28.0	13.0	0.0	0.0	Imported cases only	0.0							
							Mayotte	4.0	0.0	0.0	0.0	Imported cases only	1.0							
							Subtotal for all regions	265361.0	32000.0	11176.0	1343.0	 	 							
							International conveyance	712.0	0.0	7.0	0.0	Local transmission	5.0							
														Grand total	266073.0	32000.0	11183.0	1343.0	 	 
