Reporting Country/ Territory/Area†	Total confirm ed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Iran (Islamic Republic of)	35408	3076	2517	139	Local transmission	0	Guinea	8	0.1	0.2	Imported cases only	1
Eastern Mediterranean Region	 	 	 	 	 	 													
							Pakistan	1526.0	291.0	13.0	4.0	Local transmission	0.0						
							Saudi Arabia	1203.0	99.0	4.0	1.0	Local transmission	0.0						
							Qatar	590.0	28.0	1.0	1.0	Local transmission	0.0						
							Egypt	576.0	40.0	36.0	6.0	Local transmission	0.0						
							Iraq	506.0	48.0	42.0	2.0	Local transmission	0.0						
							Bahrain	476.0	3.0	4.0	0.0	Local transmission	0.0						
							United Arab Emirates	468.0	63.0	2.0	0.0	Local transmission	0.0						
							Morocco	437.0	79.0	26.0	3.0	Local transmission	0.0						
							Lebanon	412.0	21.0	8.0	0.0	Local transmission	0.0						
							Tunisia	278.0	51.0	8.0	2.0	Local transmission	0.0						
							Jordan	246.0	11.0	1.0	0.0	Local transmission	0.0						
							Kuwait	235.0	0.0	0.0	0.0	Local transmission	1.0						
							Oman	167.0	15.0	0.0	0.0	Local transmission	0.0						
							Afghanistan	114.0	8.0	4.0	2.0	Local transmission	0.0						
							Djibouti	15.0	2.0	0.0	0.0	Local transmission	0.0						
							Sudan	5.0	2.0	1.0	0.0	Under investigation	0.0						
							Syrian Arab Republic	5.0	0.0	0.0	0.0	Imported cases only	3.0						
							Libya	3.0	2.0	0.0	0.0	Imported cases only	0.0						
							Somalia	3.0	0.0	0.0	0.0	Imported cases only	2.0						
							Territories**	 	 	 	 	 	 						
							occupied Palestinian territory	104.0	7.0	1.0	0.0	Local transmission	0.0						
							Region of the Americas	 	 	 	 	 	 						
							United States of America	103321.0	18093.0	1668.0	425.0	Local transmission	0.0						
							Canada	4757.0	739.0	55.0	16.0	Local transmission	0.0						
							Brazil	3417.0	502.0	92.0	15.0	Local transmission	0.0						
							Chile	1909.0	299.0	6.0	1.0	Local transmission	0.0						
							Ecuador	1823.0	228.0	48.0	12.0	Local transmission	0.0						
							Panama	786.0	112.0	14.0	5.0	Local transmission	0.0						
							Mexico	717.0	128.0	12.0	4.0	Local transmission	0.0						
							Argentina	690.0	101.0	17.0	5.0	Local transmission	0.0						
							Peru	635.0	55.0	11.0	2.0	Local transmission	0.0						
							Dominican Republic	581.0	0.0	20.0	0.0	Local transmission	1.0						
							Colombia	539.0	48.0	6.0	0.0	Local transmission	0.0						
							Uruguay	274.0	36.0	0.0	0.0	Local transmission	0.0						
							Costa Rica	263.0	32.0	2.0	0.0	Local transmission	0.0						
							Cuba	119.0	39.0	3.0	1.0	Local transmission	0.0						
							Venezuela (Bolivarian Republic of)	113.0	7.0	2.0	2.0	Local transmission	0.0						
							Bolivia (Plurinational State of)	74.0	13.0	0.0	0.0	Local transmission	0.0						
							Trinidad and Tobago	74.0	8.0	2.0	0.0	Local transmission	0.0						
							Honduras	67.0	0.0	1.0	0.0	Local transmission	1.0						
							Paraguay	56.0	4.0	3.0	0.0	Local transmission	0.0						
							Guatemala	32.0	7.0	1.0	0.0	Local transmission	0.0						
							Jamaica	30.0	4.0	1.0	0.0	Local transmission	0.0						
							Barbados	24.0	0.0	0.0	0.0	Local transmission	1.0						
							El Salvador	19.0	6.0	0.0	0.0	Local transmission	0.0						
							Dominica	11.0	0.0	0.0	0.0	Local transmission	2.0						
							Bahamas	10.0	1.0	0.0	0.0	Local transmission	0.0						
							Haiti	8.0	0.0	0.0	0.0	Imported cases only	3.0						
							Suriname	8.0	0.0	0.0	0.0	Imported cases only	1.0						
							Antigua and Barbuda	7.0	0.0	0.0	0.0	Imported cases only	1.0						
							Grenada	7.0	0.0	0.0	0.0	Local transmission	2.0						
							Guyana	5.0	0.0	1.0	0.0	Local transmission	10.0						
							Nicaragua	4.0	2.0	1.0	0.0	Imported cases only	0.0						
							Saint Lucia	3.0	0.0	0.0	0.0	Imported cases only	5.0						
							Belize	2.0	0.0	0.0	0.0	Local transmission	3.0						
							Saint Kitts and Nevis	2.0	0.0	0.0	0.0	Imported cases only	3.0						
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	16.0						
							Territories**	 	 	 	 	 	 						
							Guadeloupe	96.0	0.0	2.0	0.0	Imported cases only	1.0						
							Martinique	93.0	0.0	1.0	0.0	Imported cases only	1.0						
							Puerto Rico	64.0	0.0	2.0	0.0	Imported cases only	2.0						
							Aruba	46.0	18.0	0.0	0.0	Local transmission	0.0						
							French Guiana	31.0	0.0	0.0	0.0	Local transmission	1.0						
							Bermuda	17.0	2.0	0.0	0.0	Local transmission	0.0						
							United States Virgin Islands	17.0	0.0	0.0	0.0	Imported cases only	5.0						
							Saint Martin	6.0	0.0	0.0	0.0	Under investigation	1.0						
							Cayman Islands	8.0	0.0	1.0	0.0	Imported cases only	3.0						
							Curaçao	7.0	0.0	1.0	0.0	Imported cases only	2.0						
							Montserrat	5.0	0.0	0.0	0.0	Imported cases only	1.0						
							Saint Barthélemy	5.0	0.0	0.0	0.0	Under investigation	1.0						
							Sint Maarten	3.0	0.0	0.0	0.0	Imported cases only	1.0						
							Anguilla	2.0	0.0	0.0	0.0	Local transmission	2.0						
							British Virgin Islands	2.0	0.0	0.0	0.0	Imported cases only	2.0						
							Turks and Caicos Islands	2.0	0.0	0.0	0.0	Imported cases only	2.0						
							African Region	 	 	 	 	 	 						
							South Africa	1187.0	17.0	1.0	0.0	Local transmission	0.0						
							Algeria	409.0	42.0	26.0	1.0	Local transmission	0.0						
							Burkina Faso	146.0	0.0	3.0	0.0	Local transmission	3.0						
							Cote d’Ivoire	140.0	48.0	0.0	0.0	Local transmission	0.0						
							Ghana	137.0	0.0	4.0	0.0	Local transmission	1.0						
							Senegal	119.0	0.0	0.0	0.0	Local transmission	1.0						
							Mauritius	102.0	6.0	2.0	0.0	Local transmission	0.0						
							Cameroon	91.0	16.0	2.0	1.0	Local transmission	0.0						
							Democratic Republic of the Congo	68.0	10.0	6.0	2.0	Local transmission	0.0						
							Nigeria	65.0	0.0	1.0	0.0	Local transmission	2.0						
							Rwanda	60.0	6.0	0.0	0.0	Local transmission	0.0						
							Togo	28.0	3.0	0.0	0.0	Imported cases only	0.0						
							Madagascar	26.0	0.0	0.0	0.0	Imported cases only	1.0						
							Kenya	25.0	0.0	1.0	0.0	Local transmission	4.0						
							Congo	19.0	0.0	0.0	0.0	Imported cases only	1.0						
							Mali	18.0	9.0	0.0	0.0	Local transmission	0.0						
							Ethiopia	16.0	0.0	0.0	0.0	Imported cases only	1.0						
							Zambia	16.0	3.0	0.0	0.0	Local transmission	0.0						
							Uganda	14.0	0.0	0.0	0.0	Imported cases only	3.0						
							United Republic of Tanzania	14.0	1.0	0.0	0.0	Under investigation	0.0						
							Niger	10.0	0.0	1.0	0.0	Local transmission	2.0						
							Eswatini	9.0	0.0	0.0	0.0	Imported cases only	1.0						
													1.0	Mozambique	8.0	0.0	0.0	Local transmission	0.0
													0.0	Namibia	8.0	0.0	0.0	Imported cases only	2.0
													0.0	Gabon	7.0	1.0	0.0	Imported cases only	1.0
													0.0	Seychelles	7.0	0.0	0.0	Imported cases only	7.0
													0.0	Benin	6.0	0.0	0.0	Imported cases only	2.0
													0.0	Central African Republic	6.0	0.0	0.0	Imported cases only	1.0
													0.0	Equatorial Guinea	6.0	0.0	0.0	Imported cases only	7.0
													0.0	Eritrea	6.0	0.0	0.0	Imported cases only	2.0
													0.0	Cabo Verde	5.0	1.0	0.0	Imported cases only	1.0
													0.0	Chad	5.0	0.0	0.0	Imported cases only	2.0
													2.0	Mauritania	5.0	0.0	0.0	Imported cases only	0.0
													0.0	Zimbabwe	5.0	1.0	0.0	Local transmission	1.0
													1.0	Gambia	3.0	1.0	0.0	Imported cases only	0.0
													0.0	Liberia	3.0	0.0	0.0	Local transmission	7.0
													0.0	Angola	2.0	0.0	0.0	Imported cases only	7.0
													0.0	Guinea-Bissau	2.0	0.0	0.0	Imported cases only	3.0
													 	Territories**	 	 	 	 	 
													8.0	Réunion	143.0	0.0	0.0	Local transmission	0.0
													0.0	Mayotte	50.0	0.0	0.0	Local transmission	2.0
													63160.0	Subtotal for all regions	634101.0	29884.0	3398.0	 	 
													0.0	International conveyance (Diamond Princess)	712.0	7.0	0.0	Local transmission	13.0
													63160.0	Grand total	634813.0	29891.0	3398.0	 	 
