Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	Somalia	1	0	0.1	0.2	Imported cases only	1.1
Belarus	36.0	0.0	0.0	0.0	Local transmission	1.0							
Georgia	34.0	1.0	0.0	0.0	Imported cases only	0.0							
Cyprus	33.0	0.0	0.0	0.0	Imported cases only	1.0							
Kazakhstan	33.0	27.0	0.0	0.0	Imported cases only	0.0							
North Macedonia	31.0	12.0	0.0	0.0	Local transmission	0.0							
Republic of Moldova	30.0	1.0	0.0	0.0	Local transmission	0.0							
Lithuania	25.0	8.0	0.0	0.0	Imported cases only	0.0							
Azerbaijan	21.0	0.0	0.0	0.0	Imported cases only	2.0							
Bosnia and Herzegovina	19.0	0.0	0.0	0.0	Local transmission	2.0							
Andorra	16.0	2.0	0.0	0.0	Imported cases only	0.0							
Uzbekistan	16.0	12.0	0.0	0.0	Imported cases only	0.0							
Ukraine	14.0	9.0	2.0	1.0	Local transmission	0.0							
Monaco	9.0	0.0	0.0	0.0	Under investigation	1.0							
Liechtenstein	7.0	0.0	0.0	0.0	Imported cases only	1.0							
Montenegro	2.0	2.0	0.0	0.0	Imported cases only	0.0							
Holy See	1.0	0.0	0.0	0.0	Under investigation	11.0							
Territories**	 	 	 	 	 	 							
Faroe Islands	47.0	36.0	0.0	0.0	Imported cases only	0.0							
Jersey	5.0	3.0	0.0	0.0	Imported cases only	0.0							
Gibraltar	3.0	0.0	0.0	0.0	Under investigation	1.0							
Guernsey	1.0	0.0	0.0	0.0	Imported cases only	8.0							
South-East Asia Region	 	 	 	 	 	 							
Thailand	177.0	30.0	1.0	0.0	Local transmission	0.0							
Indonesia	172.0	0.0	5.0	0.0	Local transmission	1.0							
India	137.0	23.0	3.0	1.0	Local transmission	0.0							
Sri Lanka	29.0	10.0	0.0	0.0	Local transmission	0.0							
Maldives	13.0	0.0	0.0	0.0	Local transmission	2.0							
Bangladesh	8.0	0.0	0.0	0.0	Local transmission	1.0							
Bhutan	1.0	0.0	0.0	0.0	Imported cases only	11.0							
Nepal	1.0	0.0	0.0	0.0	Imported cases only	54.0							
Eastern Mediterranean Region	 	 	 	 	 	 							
Iran (Islamic Republic of)	16169.0	1178.0	988.0	135.0	Local transmission	0.0							
Qatar	442.0	41.0	0.0	0.0	Local transmission	0.0							
Bahrain	237.0	16.0	1.0	0.0	Local transmission	0.0							
Pakistan	187.0	134.0	0.0	0.0	Imported cases only	0.0							
Saudi Arabia	171.0	38.0	0.0	0.0	Local transmission	0.0							
Egypt	166.0	40.0	4.0	2.0	Local transmission	0.0							
Iraq	154.0	30.0	11.0	2.0	Local transmission	0.0							
Kuwait	130.0	7.0	0.0	0.0	Local transmission	0.0							
Lebanon	120.0	21.0	3.0	0.0	Local transmission	0.0							
United Arab Emirates	98.0	0.0	0.0	0.0	Local transmission	2.0							
Morocco	38.0	9.0	2.0	1.0	Local transmission	0.0							
Jordan	35.0	29.0	0.0	0.0	Imported cases only	0.0							
Oman	24.0	2.0	0.0	0.0	Imported cases only	0.0							
Tunisia	24.0	4.0	0.0	0.0	Local transmission	0.0							
Afghanistan	22.0	1.0	0.0	0.0	Imported cases only	0.0							
							Sudan	1.0	0.0	1.0	0.0	Imported cases only	3.0
							Territories**	 	 	 	 	 	 
							occupied Palestinian territory	41.0	2.0	0.0	0.0	Local transmission	0.0
							Region of the Americas	 	 	 	 	 	 
							United States of America	3536.0	1822.0	58.0	17.0	Local transmission	0.0
							Canada	424.0	120.0	1.0	0.0	Local transmission	0.0
							Brazil	234.0	34.0	0.0	0.0	Local transmission	0.0
							Chile	156.0	81.0	0.0	0.0	Local transmission	0.0
							Peru	86.0	15.0	0.0	0.0	Local transmission	0.0
							Mexico	82.0	29.0	0.0	0.0	Imported cases only	0.0
							Panama	69.0	26.0	1.0	0.0	Local transmission	0.0
							Argentina	65.0	9.0	2.0	0.0	Local transmission	0.0
							Ecuador	58.0	21.0	2.0	0.0	Local transmission	0.0
							Colombia	45.0	11.0	0.0	0.0	Local transmission	0.0
							Costa Rica	41.0	6.0	0.0	0.0	Local transmission	0.0
							Venezuela (Bolivarian Republic of)	33.0	16.0	0.0	0.0	Imported cases only	0.0
							Dominican Republic	21.0	16.0	1.0	1.0	Local transmission	0.0
							Jamaica	12.0	2.0	0.0	0.0	Local transmission	0.0
							Bolivia (Plurinational State of)	11.0	0.0	0.0	0.0	Imported cases only	1.0
							Paraguay	9.0	1.0	0.0	0.0	Local transmission	0.0
							Honduras	8.0	6.0	0.0	0.0	Imported cases only	0.0
							Guatemala	6.0	5.0	1.0	0.0	Imported cases only	0.0
							Uruguay	6.0	2.0	0.0	0.0	Imported cases only	0.0
							Cuba	5.0	1.0	0.0	0.0	Imported cases only	0.0
							Trinidad and Tobago	5.0	3.0	0.0	0.0	Imported cases only	0.0
							Guyana	4.0	0.0	1.0	0.0	Local transmission	2.0
							Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	2.0
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	4.0
							Bahamas	1.0	1.0	0.0	0.0	Local transmission	0.0
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	4.0
							Suriname	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Territories**	 	 	 	 	 	 
							Guadeloupe	18.0	12.0	0.0	0.0	Imported cases only	0.0
							Martinique	16.0	0.0	0.0	0.0	Imported cases only	1.0
							French Guiana	7.0	0.0	0.0	0.0	Imported cases only	3.0
							Curacao	3.0	1.0	0.0	0.0	Imported cases only	0.0
							Puerto Rico	3.0	0.0	0.0	0.0	Imported cases only	3.0
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	2.0
							Aruba	2.0	2.0	0.0	0.0	Imported cases only	0.0
							Saint Martin	2.0	0.0	0.0	0.0	Under investigation	15.0
							United States Virgin Islands	2.0	1.0	0.0	0.0	Imported cases only	0.0
							Cayman Islands	1.0	0.0	1.0	0.0	Imported cases only	4.0
							African Region	 	 	 	 	 	 
							South Africa	62.0	11.0	0.0	0.0	Local transmission	0.0
							Algeria	60.0	11.0	4.0	0.0	Local transmission	0.0
							Senegal	27.0	1.0	0.0	0.0	Local transmission	0.0
							Burkina Faso	20.0	5.0	0.0	0.0	Imported cases only	0.0
							Rwanda	7.0	2.0	0.0	0.0	Local transmission	0.0
							Cote d’Ivoire	6.0	3.0	0.0	0.0	Imported cases only	0.0
							Ghana	6.0	4.0	0.0	0.0	Imported cases only	0.0
							Cameroon	5.0	0.0	0.0	0.0	Local transmission	1.0
							Ethiopia	5.0	1.0	0.0	0.0	Imported cases only	0.0
							Seychelles	4.0	0.0	0.0	0.0	Imported cases only	1.0
							Democratic Republic of the Congo	3.0	1.0	0.0	0.0	Imported cases only	0.0
							Kenya	3.0	0.0	0.0	0.0	Local transmission	1.0
							Namibia	2.0	0.0	0.0	0.0	Imported cases only	3.0
							Nigeria	2.0	0.0	0.0	0.0	Imported cases only	8.0
							Benin	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Central African Republic	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Congo	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Equatorial Guinea	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Eswatini	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Gabon	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Guinea	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Liberia	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Mauritania	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Togo	1.0	0.0	0.0	0.0	Imported cases only	10.0
							United Republic of Tanzania	1.0	1.0	0.0	0.0	Imported cases only	0.0
							Territories**	 	 	 	 	 	 
							Réunion	9.0	0.0	0.0	0.0	Imported cases only	2.0
							Mayotte	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Subtotal for all regions	190415.0	15123.0	7800.0	786.0	 	 
							International conveyance (Diamond Princess)	712.0	0.0	7.0	0.0	Local transmission	2.0
							Grand total	191127.0	15123.0	7807.0	786.0	 	 
