Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	456	54	21	1	Local transmission	0	Cabo Verde	3	0.1	0.2	Imported cases only	4
							Uruguay	217.0	55.0	0.0	0.0	Imported cases only	0.0						
							Costa Rica	201.0	24.0	2.0	0.0	Local transmission	0.0						
							Venezuela (Bolivarian Republic of)	91.0	14.0	0.0	0.0	Local transmission	0.0						
							Trinidad and Tobago	60.0	3.0	1.0	1.0	Local transmission	0.0						
							Cuba	57.0	9.0	1.0	0.0	Local transmission	0.0						
							Honduras	52.0	22.0	0.0	0.0	Local transmission	0.0						
							Paraguay	41.0	14.0	3.0	1.0	Local transmission	0.0						
							Bolivia (Plurinational State of)	39.0	11.0	0.0	0.0	Local transmission	0.0						
							Jamaica	26.0	5.0	1.0	0.0	Local transmission	0.0						
							Guatemala	24.0	3.0	1.0	0.0	Local transmission	0.0						
							Barbados	18.0	0.0	0.0	0.0	Local transmission	1.0						
							El Salvador	13.0	8.0	0.0	0.0	Imported cases only	0.0						
							Haiti	8.0	1.0	0.0	0.0	Imported cases only	0.0						
							Dominica	7.0	5.0	0.0	0.0	Local transmission	0.0						
							Suriname	7.0	1.0	0.0	0.0	Imported cases only	0.0						
							Bahamas	5.0	1.0	0.0	0.0	Local transmission	0.0						
							Guyana	5.0	0.0	1.0	0.0	Local transmission	7.0						
							Antigua and Barbuda	3.0	0.0	0.0	0.0	Imported cases only	1.0						
							Saint Lucia	3.0	0.0	0.0	0.0	Imported cases only	2.0						
							Belize	2.0	1.0	0.0	0.0	Local transmission	0.0						
							Nicaragua	2.0	0.0	0.0	0.0	Imported cases only	4.0						
							Saint Kitts and Nevis	2.0	2.0	0.0	0.0	Imported cases only	0.0						
							Grenada	1.0	0.0	0.0	0.0	Imported cases only	3.0						
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	13.0						
							Territories**	 	 	 	 	 	 						
							Guadeloupe	76.0	3.0	0.0	0.0	Imported cases only	0.0						
							Martinique	66.0	9.0	1.0	1.0	Imported cases only	0.0						
							Puerto Rico	51.0	12.0	2.0	0.0	Imported cases only	0.0						
							French Guiana	28.0	5.0	0.0	0.0	Local transmission	0.0						
							Aruba	19.0	7.0	0.0	0.0	Local transmission	0.0						
							United States Virgin Islands	17.0	0.0	0.0	0.0	Imported cases only	2.0						
							Saint Martin	11.0	3.0	0.0	0.0	Under investigation	0.0						
							Cayman Islands	8.0	3.0	1.0	0.0	Imported cases only	0.0						
							Bermuda	7.0	1.0	0.0	0.0	Local transmission	0.0						
							Curaçao	6.0	0.0	1.0	0.0	Imported cases only	1.0						
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	10.0						
							Montserrat	2.0	1.0	0.0	0.0	Imported cases only	0.0						
							Sint Maarten	2.0	0.0	0.0	0.0	Imported cases only	2.0						
							Turks and Caicos Islands	1.0	0.0	0.0	0.0	Imported cases only	2.0						
							African Region	 	 	 	 	 	 						
							South Africa	709.0	155.0	0.0	0.0	Local transmission	0.0						
							Algeria	264.0	0.0	17.0	0.0	Local transmission	1.0						
							Burkina Faso	146.0	32.0	3.0	0.0	Local transmission	0.0						
							Senegal	99.0	13.0	0.0	0.0	Local transmission	0.0						
							Côte d’Ivoire	80.0	8.0	0.0	0.0	Imported cases only	0.0						
							Cameroon	70.0	0.0	1.0	0.0	Local transmission	2.0						
							Ghana	68.0	15.0	2.0	0.0	Local transmission	0.0						
							Democratic Republic of the Congo	51.0	6.0	3.0	1.0	Local transmission	0.0						
							Mauritius	47.0	5.0	2.0	0.0	Imported cases only	0.0						
							Nigeria	46.0	4.0	1.0	1.0	Local transmission	0.0						
							Rwanda	41.0	1.0	0.0	0.0	Local transmission	0.0						
							Kenya	25.0	0.0	0.0	0.0	Local transmission	1.0						
							Togo	23.0	3.0	0.0	0.0	Imported cases only	0.0						
							Madagascar	19.0	0.0	0.0	0.0	Imported cases only	1.0						
							Uganda	14.0	5.0	0.0	0.0	Imported cases only	0.0						
							United Republic of Tanzania	13.0	1.0	0.0	0.0	Imported cases only	0.0						
							Ethiopia	12.0	0.0	0.0	0.0	Imported cases only	1.0						
							Seychelles	7.0	0.0	0.0	0.0	Imported cases only	4.0						
							Equatorial Guinea	6.0	0.0	0.0	0.0	Imported cases only	4.0						
							Gabon	6.0	0.0	1.0	0.0	Imported cases only	3.0						
							Benin	5.0	0.0	0.0	0.0	Imported cases only	2.0						
							Central African Republic	5.0	1.0	0.0	0.0	Imported cases only	0.0						
							Mozambique	5.0	2.0	0.0	0.0	Local transmission	0.0						
							Namibia	5.0	1.0	0.0	0.0	Imported cases only	0.0						
							Congo	4.0	0.0	0.0	0.0	Imported cases only	4.0						
							Eritrea	4.0	3.0	0.0	0.0	Imported cases only	0.0						
							Eswatini	4.0	0.0	0.0	0.0	Imported cases only	3.0						
							Guinea	4.0	0.0	0.0	0.0	Imported cases only	2.0						
													0.0	Chad	3.0	0.0	0.0	Imported cases only	2.0
													0.0	Liberia	3.0	0.0	0.0	Local transmission	4.0
													0.0	Zambia	3.0	0.0	0.0	Imported cases only	3.0
													0.0	Angola	2.0	0.0	0.0	Imported cases only	4.0
													0.0	Gambia	2.0	0.0	0.0	Imported cases only	1.0
													2.0	Guinea-Bissau	2.0	0.0	0.0	Imported cases only	0.0
													2.0	Mali	2.0	0.0	0.0	Imported cases only	0.0
													0.0	Mauritania	2.0	0.0	0.0	Imported cases only	7.0
													0.0	Niger	2.0	0.0	0.0	Imported cases only	2.0
													0.0	Zimbabwe	2.0	1.0	0.0	Imported cases only	4.0
													 	Territories**	 	 	 	 	 
													11.0	Réunion	94.0	0.0	0.0	Local transmission	0.0
													5.0	Mayotte	35.0	0.0	0.0	Local transmission	0.0
													49219.0	Subtotal for all regions	461972.0	20827.0	2401.0	 	 
													0.0	International conveyance (Diamond Princess)	712.0	7.0	0.0	Local transmission	10.0
													49219.0	Grand total	462684.0	20834.0	2401.0	 	 
