Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Cyprus	14	8	0	0.1	Imported cases only	0.2	(Diamond Princess)	Unnamed: 1	Unnamed: 2	Unnamed: 6
Total	142823.0	18	17	14	81021	3194	 	 	 											
Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 											
Western Pacific Region	 	 	 	 	 	 	 	 	 											
Republic of Korea	8086	107	72	6	Local transmission	0	 	 	 											
Japan	716	41	21	2	Local transmission	0	 	 	 											
Singapore	200	13	0	0	Local transmission	0	 	 	 											
Australia	197	57	3	0	Local transmission	0	 	 	 											
Malaysia	197	68	0	0	Local transmission	0	 	 	 											
Philippines	64	12	2	0	Local transmission	0	 	 	 											
Viet Nam	48	9	0	0	Local transmission	0	 	 	 											
Brunei Darussalam	25	13	0	0	Local transmission	0	 	 	 											
Cambodia	7	2	0	0	Local transmission	0	 	 	 											
New Zealand	6	1	0	0	Local transmission	0	 	 	 											
Mongolia	1	0	0	0	Imported cases only	4	 	 	 											
Territories**	 	 	 	 	 	 	 	 	 											
French Polynesia	1	0	0	0	Imported cases only	2	 	 	 											
European Region	 	 	 	 	 	 	 	 	 											
Italy	17660	2547	1268	252	Local transmission	0	 	 	 											
Spain	4231	1266	120	36	Local transmission	0	 	 	 											
France	3640	780	79	18	Local transmission	0	 	 	 											
Germany	3062	693	6	0	Local transmission	0	 	 	 											
Switzerland	1125	267	6	0	Local transmission	0	 	 	 											
Netherlands	804	190	10	5	Local transmission	0	 	 	 											
The United Kingdom	802	208	10	2	Local transmission	0	 	 	 											
Denmark	801	127	0	0	Local transmission	0	 	 	 											
Sweden	775	155	0	0	Local transmission	0	 	 	 											
Norway	750	261	1	1	Local transmission	0	 	 	 											
Belgium	599	285	0	0	Local transmission	0	 	 	 											
Austria	504	143	1	0	Local transmission	0	 	 	 											
Czechia	150	34	0	0	Local transmission	0	 	 	 											
Slovenia	141	84	0	0	Local transmission	0	 	 	 											
Portugal	112	71	0	0	Local transmission	0	 	 	 											
Finland	109	0	0	0	Local transmission	1	 	 	 											
Israel	100	25	0	0	Local transmission	0	 	 	 											
Greece	98	0	1	0	Local transmission	2	 	 	 											
Ireland	90	20	1	0	Local transmission	0	 	 	 											
Estonia	79	66	0	0	Local transmission	0	 	 	 											
San Marino	66	3	2	0	Local transmission	0	 	 	 											
Romania	64	16	0	0	Local transmission	0	 	 	 											
Poland	64	15	1	0	Local transmission	0	 	 	 											
Iceland	61	0	0	0	Local transmission	4	 	 	 											
Luxembourg	38	21	1	1	Local transmission	0	 	 	 											
Russian Federation	34	0	0	0	Imported cases only	1	 	 	 											
Albania	33	10	1	1	Local transmission	0	 	 	 											
Serbia	31	12	0	0	Local transmission	0	 	 	 											
Slovakia	30	9	0	0	Local transmission	0	 	 	 											
Croatia	27	11	0	0	Local transmission	0	 	 	 											
Georgia	25	0	0	0	Imported cases only	1	 	 	 											
Belarus	21	9	0	0	Local transmission	0	 	 	 											
Hungary	19	3	0	0	Local transmission	0	 	 	 											
Latvia	16	0	0	0	Imported cases only	2	 	 	 											
										Malta	12.0	3.0	0.0	0.0	Imported cases only	0.0				
										Azerbaijan	11.0	0.0	0.0	0.0	Imported cases only	1.0				
										Bosnia and Herzegovina	11.0	7.0	0.0	0.0	Local transmission	0.0				
										North Macedonia	9.0	2.0	0.0	0.0	Local transmission	0.0				
										Armenia	8.0	7.0	0.0	0.0	Imported cases only	0.0				
										Republic of Moldova	8.0	4.0	0.0	0.0	Imported cases only	0.0				
										Bulgaria	7.0	0.0	1.0	0.0	Local transmission	2.0				
										Lithuania	6.0	3.0	0.0	0.0	Imported cases only	0.0				
										Turkey	5.0	4.0	0.0	0.0	Imported cases only	0.0				
										Liechtenstein	4.0	0.0	0.0	0.0	Imported cases only	1.0				
										Ukraine	3.0	0.0	1.0	1.0	Local transmission	0.0				
										Andorra	2.0	1.0	0.0	0.0	Imported cases only	0.0				
										Monaco	2.0	1.0	0.0	0.0	Under investigation	0.0				
										Holy See	1.0	0.0	0.0	0.0	Under investigation	8.0				
										Territories**	 	 	 	 	 	 				
										Faroe Islands	3.0	1.0	0.0	0.0	Imported cases only	0.0				
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	10.0				
										Guernsey	1.0	0.0	0.0	0.0	Imported cases only	4.0				
										Jersey	2.0	0.0	0.0	0.0	Imported cases only	1.0				
										South-East Asia Region	 	 	 	 	 	 				
										India	82.0	8.0	2.0	1.0	Local transmission	0.0				
										Thailand	75.0	0.0	1.0	0.0	Local transmission	1.0				
										Indonesia	69.0	35.0	3.0	2.0	Local transmission	0.0				
										Maldives	9.0	1.0	0.0	0.0	Local transmission	0.0				
										Sri Lanka	6.0	3.0	0.0	0.0	Local transmission	0.0				
										Bangladesh	3.0	0.0	0.0	0.0	Local transmission	5.0				
										Bhutan	1.0	0.0	0.0	0.0	Imported cases only	8.0				
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	50.0				
										Eastern Mediterranean Region	 	 	 	 	 	 				
										Iran (Islamic Republic of)	11364.0	1289.0	514.0	85.0	Local transmission	0.0				
										Qatar	262.0	0.0	0.0	0.0	Local transmission	2.0				
										Bahrain	210.0	15.0	0.0	0.0	Local transmission	0.0				
										Kuwait	100.0	20.0	0.0	0.0	Local transmission	0.0				
										Egypt	93.0	26.0	2.0	1.0	Local transmission	0.0				
										Iraq	93.0	23.0	9.0	2.0	Local transmission	0.0				
										United Arab Emirates	85.0	0.0	0.0	0.0	Local transmission	1.0				
										Lebanon	77.0	11.0	3.0	0.0	Local transmission	0.0				
										Saudi Arabia	62.0	41.0	0.0	0.0	Local transmission	0.0				
										Pakistan	21.0	1.0	0.0	0.0	Imported cases only	0.0				
										Oman	19.0	1.0	0.0	0.0	Imported cases only	0.0				
										Tunisia	16.0	9.0	0.0	0.0	Local transmission	0.0				
										Afghanistan	7.0	0.0	0.0	0.0	Imported cases only	2.0				
										Morocco	7.0	1.0	1.0	0.0	Local transmission	0.0				
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	11.0				
										Sudan	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Territories**	 	 	 	 	 	 				
										occupied Palestinian territory	35.0	4.0	0.0	0.0	Local transmission	0.0				
										Region of the Americas	 	 	 	 	 	 				
										United States of America	1678.0	414.0	41.0	5.0	Local transmission	0.0				
										Canada	176.0	38.0	1.0	0.0	Local transmission	0.0				
										Brazil	98.0	21.0	0.0	0.0	Local transmission	0.0				
										Chile	43.0	10.0	0.0	0.0	Local transmission	0.0				
										Argentina	34.0	3.0	2.0	1.0	Local transmission	0.0				
										Peru	28.0	6.0	0.0	0.0	Local transmission	0.0				
										Panama	27.0	13.0	1.0	0.0	Local transmission	0.0				
										Mexico	26.0	14.0	0.0	0.0	Imported cases only	0.0				
										Costa Rica	23.0	1.0	0.0	0.0	Local transmission	0.0				
										Ecuador	23.0	6.0	0.0	0.0	Local transmission	0.0				
										Colombia	16.0	7.0	0.0	0.0	Imported cases only	0.0				
										Jamaica	7.0	6.0	0.0	0.0	Imported cases only	0.0				
										Guyana	1.0	0.0	1.0	0.0	Imported cases only	1.0				
										Paraguay	6.0	1.0	0.0	0.0	Local transmission	0.0				
										Dominican Republic	5.0	0.0	0.0	0.0	Imported cases only	4.0				
										Cuba	4.0	1.0	0.0	0.0	Imported cases only	0.0				
										Bolivia (Plurinational State of)	3.0	0.0	0.0	0.0	Imported cases only	1.0				
										Puerto Rico	3.0	3.0	0.0	0.0	Imported cases only	0.0				
										Honduras	2.0	0.0	0.0	0.0	Imported cases only	2.0				
										Venezuela (Bolivarian Republic of)	2.0	2.0	0.0	0.0	Imported cases only	0.0				
										Antigua and Barbuda	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Guadeloupe	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	1.0				
										Trinidad and Tobago	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Territories**	 	 	 	 	 	 				
										French Guiana	6.0	0.0	0.0	0.0	Imported cases only	1.0				
										Martinique	6.0	2.0	0.0	0.0	Imported cases only	0.0				
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	11.0				
										Saint Barthelemy	1.0	0.0	0.0	0.0	Under investigation	11.0				
										Cayman Islands	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										African Region	 	 	 	 	 	 				
										Algeria	26.0	1.0	2.0	1.0	Local transmission	0.0				
										South Africa	17.0	0.0	0.0	0.0	Local transmission	1.0				
										Senegal	10.0	0.0	0.0	0.0	Local transmission	1.0				
										Burkina Faso	2.0	0.0	0.0	0.0	Imported cases only	3.0				
										Cameroon	2.0	0.0	0.0	0.0	Local transmission	7.0				
										Democratic Republic of the Congo	2.0	1.0	0.0	0.0	Imported cases only	0.0				
										Nigeria	2.0	0.0	0.0	0.0	Imported cases only	5.0				
										Cote d’Ivoire	1.0	0.0	0.0	0.0	Imported cases only	2.0				
										Ethiopia	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Gabon	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Ghana	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Guinea	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Kenya	1.0	1.0	0.0	0.0	Imported cases only	0.0				
										Togo	1.0	0.0	0.0	0.0	Imported cases only	7.0				
										Territories**	 	 	 	 	 	 				
										Réunion	5.0	2.0	0.0	0.0	Imported cases only	0.0				
										Subtotal for all regions	60816.0	9745.0	2191.0	423.0	 	 				
										International conveyance	697.0	1.0	7.0	0.0	Local transmission	0.0				
			2198	423	 												Grand total	61513.0	9746.0	 
