Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Sri Lanka	148	5	3	1	Local transmission	0	Nigeria	174	35	2	0.1
								Saint Martin	22.0	1.0	2.0	0.0	Under investigation	0.0					
								Sint Maarten	18.0	12.0	1.0	1.0	Imported cases only	0.0					
								Curaçao	11.0	0.0	1.0	0.0	Imported cases only	3.0					
								Saint Barthélemy	6.0	0.0	0.0	0.0	Under investigation	3.0					
								Montserrat	5.0	0.0	0.0	0.0	Imported cases only	6.0					
								Turks and Caicos Islands	5.0	0.0	0.0	0.0	Local transmission	3.0					
								British Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	2.0					
								Anguilla	2.0	0.0	0.0	0.0	Local transmission	7.0					
								African Region	 	 	 	 	 	 					
								South Africa	1462.0	82.0	5.0	0.0	Local transmission	0.0					
								Algeria	986.0	139.0	83.0	25.0	Local transmission	0.0					
								Burkina Faso	261.0	0.0	14.0	0.0	Local transmission	2.0					
								Cameroon	246.0	107.0	7.0	1.0	Local transmission	0.0					
								Ghana	204.0	9.0	5.0	0.0	Local transmission	0.0					
								Senegal	195.0	5.0	1.0	0.0	Local transmission	0.0					
								Côte d’Ivoire	190.0	0.0	1.0	1.0	Local transmission	1.0					
													Local transmission	2.0	Mauritius	169	15	7	0.0
													Local transmission	2.0	Democratic Republic of the Congo	134	11	13	0.0
													Local transmission	2.0	Kenya	110	29	3	0.0
													Local transmission	0.0	Rwanda	84	2	0	0.0
													Local transmission	0.0	Niger	74	0	5	1.0
													Local transmission	0.0	Madagascar	65	12	0	0.0
													Local transmission	0.0	Guinea	52	22	0	0.0
													Local transmission	0.0	Uganda	44	0	0	1.0
													Local transmission	0.0	Congo	41	19	2	0.0
													Local transmission	0.0	Togo	39	3	2	0.0
													Local transmission	1.0	Zambia	39	3	1	0.0
													Local transmission	0.0	Ethiopia	31	5	0	0.0
													Local transmission	3.0	Mali	28	0	3	1.0
													Imported cases only	0.0	Eritrea	20	5	0	0.0
													Local transmission	0.0	United Republic of Tanzania	20	0	1	1.0
													Imported cases only	0.0	Gabon	18	11	1	0.0
													Local transmission	0.0	Equatorial Guinea	15	1	0	0.0
													Imported cases only	0.0	Benin	13	0	0	1.0
													Local transmission	0.0	Namibia	13	2	0	0.0
													Local transmission	0.0	Mozambique	10	0	0	1.0
													Imported cases only	0.0	Seychelles	10	0	0	1.0
													Imported cases only	0.0	Eswatini	9	0	0	6.0
													Imported cases only	0.0	Guinea-Bissau	9	0	0	2.0
													Imported cases only	0.0	Angola	8	0	2	1.0
													Imported cases only	0.0	Central African Republic	8	0	0	1.0
													Local transmission	0.0	Zimbabwe	8	0	1	2.0
													Imported cases only	0.0	Chad	7	0	0	2.0
													Local transmission	0.0	Liberia	6	0	0	1.0
													Imported cases only	0.0	Cabo Verde	5	0	1	6.0
													Imported cases only	0.0	Mauritania	5	0	0	5.0
													Imported cases only	0.0	Botswana	4	1	1	0.0
													Imported cases only	0.0	Gambia	4	1	1	0.0
													Local transmission	0.0	Malawi	3	3	0	0.0
													Imported cases only	0.0	Burundi	2	0	0	2.0
													Imported cases only	0.0	Sierra Leone	2	0	0	1.0
													 	 	Territories**	 	 	 	 
													Local transmission	0.0	Réunion	308	27	0	0.0
													Local transmission	0.0	Mayotte	128	12	2	0.0
													 	4822.0	Subtotal for all regions	971 591	75 828	50 310	 
													Local transmission	0.0	International conveyance (Diamond Princess)	712	0	11	18.0
													 	4822.0	Grand total	972 303	75 828	50 321	 
