Unnamed: 0	Announcement posted on the WHO Event Information Site (EIS)	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	TOTAL	Reporting Country/ Territory/Area†	Total confirmed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Ecuador	15	0	0.1	0.2	Local transmission	1
							Romania	15.0	0.0	0.0	0.0	Local transmission	1.0							
							Croatia	12.0	1.0	0.0	0.0	Local transmission	0.0							
							Estonia	10.0	0.0	0.0	0.0	Imported cases only	3.0							
							Azerbaijan	9.0	0.0	0.0	0.0	Imported cases only	3.0							
							Hungary	9.0	0.0	0.0	0.0	Local transmission	1.0							
							North Macedonia	7.0	4.0	0.0	0.0	Local transmission	0.0							
							Russian Federation	7.0	0.0	0.0	0.0	Imported cases only	3.0							
							Slovakia	7.0	2.0	0.0	0.0	Local transmission	0.0							
							Belarus	6.0	0.0	0.0	0.0	Local transmission	5.0							
							Latvia	6.0	3.0	0.0	0.0	Imported cases only	0.0							
							Luxembourg	5.0	3.0	0.0	0.0	Imported cases only	0.0							
							Bulgaria	4.0	0.0	0.0	0.0	Local transmission	2.0							
							Malta	4.0	1.0	0.0	0.0	Imported cases only	0.0							
							Albania	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Bosnia and Herzegovina	2.0	0.0	0.0	0.0	Local transmission	5.0							
							Cyprus	2.0	2.0	0.0	0.0	Imported cases only	0.0							
							Andorra	1.0	0.0	0.0	0.0	Imported cases only	7.0							
							Armenia	1.0	0.0	0.0	0.0	Imported cases only	8.0							
							Holy See	1.0	0.0	0.0	0.0	Under investigation	4.0							
							Liechtenstein	1.0	0.0	0.0	0.0	Imported cases only	4.0							
							Lithuania	1.0	0.0	0.0	0.0	Imported cases only	11.0							
							Monaco	1.0	0.0	0.0	0.0	Under investigation	9.0							
							Republic of Moldova	1.0	0.0	0.0	0.0	Imported cases only	2.0							
							Serbia	1.0	0.0	0.0	0.0	Under investigation	4.0							
							Ukraine	1.0	0.0	0.0	0.0	Imported cases only	6.0							
							Territories**	 	 	 	 	 	 							
							Faroe Islands	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Gibraltar	1.0	0.0	0.0	0.0	Under investigation	6.0							
							Guernsey	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							South-East Asia Region	 	 	 	 	 	 							
							Thailand	53.0	3.0	1.0	0.0	Local transmission	0.0							
							India	44.0	1.0	0.0	0.0	Local transmission	0.0							
							Indonesia	19.0	13.0	0.0	0.0	Local transmission	0.0							
							Maldives	4.0	0.0	0.0	0.0	Local transmission	1.0							
							Bangladesh	3.0	0.0	0.0	0.0	Local transmission	1.0							
							Bhutan	1.0	0.0	0.0	0.0	Imported cases only	4.0							
							Nepal	1.0	0.0	0.0	0.0	Imported cases only	46.0							
							Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	43.0							
							Eastern Mediterranean Region	 	 	 	 	 	 							
							Iran (Islamic Republic of)	7161.0	595.0	237.0	43.0	Local transmission	0.0							
							Bahrain	109.0	30.0	0.0	0.0	Local transmission	0.0							
							Kuwait	65.0	1.0	0.0	0.0	Imported cases only	0.0							
							Iraq	61.0	1.0	6.0	0.0	Local transmission	0.0							
							Egypt	59.0	4.0	1.0	0.0	Local transmission	0.0							
							United Arab Emirates	59.0	14.0	0.0	0.0	Local transmission	0.0							
							Lebanon	41.0	9.0	0.0	0.0	Local transmission	0.0							
							Oman	18.0	2.0	0.0	0.0	Imported cases only	0.0							
							Qatar	18.0	3.0	0.0	0.0	Imported cases only	0.0							
							Pakistan	16.0	10.0	0.0	0.0	Local transmission	0.0							
							Saudi Arabia	15.0	0.0	0.0	0.0	Imported cases only	1.0							
							Afghanistan	4.0	0.0	0.0	0.0	Imported cases only	2.0							
							Morocco	2.0	0.0	0.0	0.0	Imported cases only	5.0							
							Tunisia	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Jordan	1.0	0.0	0.0	0.0	Imported cases only	7.0							
							Territories**	 	 	 	 	 	 							
							occupied Palestinian territory	26.0	7.0	0.0	0.0	Local transmission	0.0							
							Region of the Americas	 	 	 	 	 	 							
							United States of America	472.0	259.0	19.0	8.0	Local transmission	0.0							
							Canada	77.0	15.0	0.0	0.0	Local transmission	0.0							
							Brazil	25.0	0.0	0.0	0.0	Local transmission	1.0							
														Chile	13.0	3.0	0.0	0.0	Local transmission	0.0
														Argentina	12.0	0.0	1.0	0.0	Imported cases only	1.0
														Costa Rica	9.0	0.0	0.0	0.0	Local transmission	1.0
														Peru	9.0	3.0	0.0	0.0	Local transmission	0.0
														Mexico	7.0	0.0	0.0	0.0	Imported cases only	2.0
														Dominican Republic	5.0	4.0	0.0	0.0	Imported cases only	0.0
														Colombia	3.0	2.0	0.0	0.0	Imported cases only	0.0
														Panama	1.0	1.0	0.0	0.0	Imported cases only	0.0
														Paraguay	1.0	0.0	0.0	0.0	Imported cases only	1.0
														Territories**	 	 	 	 	 	 
														French Guiana	5.0	0.0	0.0	0.0	Imported cases only	2.0
														Martinique	2.0	0.0	0.0	0.0	Imported cases only	2.0
														Saint Martin	2.0	0.0	0.0	0.0	Under investigation	7.0
														Saint Barthelemy	1.0	0.0	0.0	0.0	Under investigation	7.0
														African Region	 	 	 	 	 	 
														Algeria	20.0	0.0	0.0	0.0	Local transmission	1.0
														South Africa	7.0	4.0	0.0	0.0	Imported cases only	0.0
														Senegal	4.0	0.0	0.0	0.0	Imported cases only	5.0
														Cameroon	2.0	0.0	0.0	0.0	Local transmission	3.0
														Nigeria	2.0	0.0	0.0	0.0	Imported cases only	1.0
														Togo	1.0	0.0	0.0	0.0	Imported cases only	3.0
														Subtotal for all regions	32082.0	4105.0	865.0	186.0	 	 
														International conveyance (Diamond Princess)	696.0	0.0	7.0	0.0	Local transmission	2.0
														Grand total	32778.0	4105.0	872.0	186.0	 	 
