Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Belarus	12	0	0.1	0.2	Local transmission	1
										Paraguay	5.0	0.0	0.0	0.0	Imported cases only	2.0
										Bolivia (Plurinational State of)	3.0	1.0	0.0	0.0	Imported cases only	0.0
										Cuba	3.0	3.0	0.0	0.0	Imported cases only	0.0
										Honduras	2.0	0.0	0.0	0.0	Imported cases only	1.0
										Guyana	1.0	1.0	1.0	1.0	Imported cases only	0.0
										Jamaica	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Saint Vincent and the Grenadines	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Territories**	 	 	 	 	 	 
										French Guiana	6.0	1.0	0.0	0.0	Imported cases only	0.0
										Martinique	4.0	1.0	0.0	0.0	Imported cases only	0.0
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	10.0
										Saint Barthelemy	1.0	0.0	0.0	0.0	Under investigation	10.0
										African Region	 	 	 	 	 	 
										Algeria	25.0	0.0	1.0	0.0	Local transmission	1.0
										South Africa	17.0	4.0	0.0	0.0	Imported cases only	0.0
										Senegal	10.0	6.0	0.0	0.0	Imported cases only	0.0
										Burkina Faso	2.0	0.0	0.0	0.0	Imported cases only	2.0
										Cameroon	2.0	0.0	0.0	0.0	Local transmission	6.0
										Nigeria	2.0	0.0	0.0	0.0	Imported cases only	4.0
										Cote d Ivoire	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Democratic Republic of the Congo	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Togo	1.0	0.0	0.0	0.0	Imported cases only	6.0
										Subtotal for all regions	51071.0	7488.0	1768.0	335.0	 	 
										International conveyance (Diamond Princess)	696.0	0.0	7.0	0.0	Local transmission	5.0
										Grand total	51767.0	7488.0	1775.0	335.0	 	 
