Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Andorra	1	0	0.1	0.2	Imported cases only	5
Reporting Country/ Territory/Area†	Total confirmed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	7134	367	50	6	Local transmission	0	 	 	 							
Japan	455	48	6	0	Local transmission	0	 	 	 							
Singapore	138	8	0	0	Local transmission	0	 	 	 							
Malaysia	93	10	0	0	Local transmission	0	 	 	 							
Australia	74	12	3	1	Local transmission	0	 	 	 							
Viet Nam	21	4	0	0	Local transmission	0	 	 	 							
Philippines	6	1	1	0	Local transmission	0	 	 	 							
New Zealand	5	0	0	0	Local transmission	1	 	 	 							
Cambodia	2	1	0	0	Local transmission	0	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	5883	1247	234	37	Local transmission	0	 	 	 							
Germany	795	156	0	0	Local transmission	0	 	 	 							
France	706	93	10	1	Local transmission	0	 	 	 							
Spain	430	56	5	0	Local transmission	0	 	 	 							
Switzerland	264	55	2	1	Local transmission	0	 	 	 							
The United Kingdom	210	43	2	1	Local transmission	0	 	 	 							
Netherlands	188	60	1	0	Local transmission	0	 	 	 							
Belgium	169	60	0	0	Local transmission	0	 	 	 							
Sweden	161	24	0	0	Local transmission	0	 	 	 							
Norway	147	34	0	0	Local transmission	0	 	 	 							
Austria	104	38	0	0	Local transmission	0	 	 	 							
Greece	66	34	0	0	Local transmission	0	 	 	 							
Iceland	45	0	0	0	Local transmission	1	 	 	 							
Denmark	31	8	0	0	Local transmission	0	 	 	 							
San Marino	27	3	1	1	Local transmission	0	 	 	 							
Czechia	26	14	0	0	Local transmission	0	 	 	 							
Israel	25	6	0	0	Local transmission	0	 	 	 							
Portugal	21	8	0	0	Local transmission	0	 	 	 							
Finland	19	0	0	0	Local transmission	1	 	 	 							
Ireland	19	1	0	0	Local transmission	0	 	 	 							
Romania	13	6	0	0	Local transmission	0	 	 	 							
Georgia	12	3	0	0	Imported cases only	0	 	 	 							
Slovenia	12	3	0	0	Local transmission	0	 	 	 							
Croatia	11	0	0	0	Local transmission	1	 	 	 							
Estonia	10	0	0	0	Imported cases only	1	 	 	 							
Azerbaijan	9	0	0	0	Imported cases only	1	 	 	 							
Hungary	7	3	0	0	Local transmission	0	 	 	 							
Russian Federation	7	0	0	0	Imported cases only	1	 	 	 							
Belarus	6	0	0	0	Local transmission	3	 	 	 							
Poland	6	1	0	0	Imported cases only	0	 	 	 							
Malta	3	3	0	0	Imported cases only	0	 	 	 							
North Macedonia	3	0	0	0	Imported cases only	1	 	 	 							
Slovakia	3	2	0	0	Local transmission	0	 	 	 							
Bosnia and Herzegovina	2	0	0	0	Local transmission	3	 	 	 							
Bulgaria	2	2	0	0	Local transmission	0	 	 	 							
Luxembourg	2	0	0	0	Imported cases only	1	 	 	 							
										Armenia	1.0	0.0	0.0	0.0	Imported cases only	6.0
										Holy See	1.0	0.0	0.0	0.0	Under investigation	2.0
										Latvia	1.0	0.0	0.0	0.0	Imported cases only	5.0
										Liechtenstein	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Lithuania	1.0	0.0	0.0	0.0	Imported cases only	9.0
										Monaco	1.0	0.0	0.0	0.0	Under investigation	7.0
										Republic of Moldova	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Serbia	1.0	0.0	0.0	0.0	Under investigation	2.0
										Ukraine	1.0	0.0	0.0	0.0	Imported cases only	4.0
										Territories**	 	 	 	 	 	 
										Faroe Islands	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	4.0
										South-East Asia Region	 	 	 	 	 	 
										Thailand	50.0	2.0	1.0	0.0	Local transmission	0.0
										India	34.0	3.0	0.0	0.0	Local transmission	0.0
										Indonesia	4.0	0.0	0.0	0.0	Local transmission	1.0
										Maldives	2.0	2.0	0.0	0.0	Local transmission	0.0
										Bhutan	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	44.0
										Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	41.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	5823.0	1076.0	145.0	21.0	Local transmission	0.0
										Kuwait	62.0	4.0	0.0	0.0	Imported cases only	0.0
										Bahrain	56.0	7.0	0.0	0.0	Imported cases only	0.0
										Iraq	54.0	10.0	4.0	0.0	Imported cases only	0.0
										Egypt	48.0	45.0	0.0	0.0	Local transmission††	0.0
										United Arab Emirates	45.0	0.0	0.0	0.0	Local transmission	1.0
										Lebanon	28.0	6.0	0.0	0.0	Local transmission	0.0
										Oman	16.0	0.0	0.0	0.0	Imported cases only	2.0
										Qatar	12.0	1.0	0.0	0.0	Imported cases only	0.0
										Saudi Arabia	7.0	2.0	0.0	0.0	Imported cases only	0.0
										Pakistan	5.0	0.0	0.0	0.0	Imported cases only	5.0
										Afghanistan	4.0	3.0	0.0	0.0	Imported cases only	0.0
										Morocco	2.0	0.0	0.0	0.0	Imported cases only	3.0
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	5.0
										Tunisia	1.0	0.0	0.0	0.0	Imported cases only	5.0
										Territories**	 	 	 	 	 	 
										Occupied Palestinian Territory	16.0	0.0	0.0	0.0	Local transmission	1.0
										Region of the Americas	 	 	 	 	 	 
										United States of America	213.0	0.0	11.0	0.0	Local transmission	1.0
										Canada	57.0	6.0	0.0	0.0	Local transmission	0.0
										Brazil	19.0	6.0	0.0	0.0	Local transmission	0.0
										Ecuador	14.0	0.0	0.0	0.0	Local transmission	1.0
										Argentina	9.0	7.0	1.0	1.0	Imported cases only	0.0
										Mexico	7.0	2.0	0.0	0.0	Imported cases only	0.0
										Peru	6.0	0.0	0.0	0.0	Local transmission	1.0
										Chile	5.0	0.0	0.0	0.0	Imported cases only	1.0
										Costa Rica	5.0	5.0	0.0	0.0	Imported cases only	0.0
										Colombia	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Dominican Republic	1.0	0.0	0.0	0.0	Imported cases only	6.0
										Territories**	 	 	 	 	 	 
										French Guiana	5.0	5.0	0.0	0.0	Imported cases only	0.0
										Martinique	2.0	2.0	0.0	0.0	Imported cases only	0.0
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	5.0
										Saint Barthélemy	1.0	0.0	0.0	0.0	Under investigation	5.0
										African Region	 	 	 	 	 	 
										Algeria	17.0	0.0	0.0	0.0	Local transmission	1.0
										Senegal	4.0	0.0	0.0	0.0	Imported cases only	3.0
										Cameroon	2.0	0.0	0.0	0.0	Local transmission	1.0
										South Africa	2.0	1.0	0.0	0.0	Imported cases only	0.0
										Nigeria	1.0	0.0	0.0	0.0	Imported cases only	9.0
										Togo	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Subtotal for all regions	24031.0	3610.0	477.0	70.0	 	 
										International conveyance (Diamond Princess)	696.0	0.0	7.0	1.0	Local transmission	0.0
										Grand total	24727.0	3610.0	484.0	71.0	 	 
