Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Slovakia	7	0	0.1	0.2	Local transmission	1
France	1774	372	33	3	Local transmission	0	 	 	 							
Spain	1639	615	36	8	Local transmission	0	 	 	 							
Germany	1296	157	2	0	Local transmission	0	 	 	 							
Switzerland	491	159	3	1	Local transmission	0	 	 	 							
Netherlands	382	61	4	1	Local transmission	0	 	 	 							
The United Kingdom	373	50	6	3	Local transmission	0	 	 	 							
Sweden	326	78	0	0	Local transmission	0	 	 	 							
Norway	277	85	0	0	Local transmission	0	 	 	 							
Belgium	267	28	0	0	Local transmission	0	 	 	 							
Denmark	262	172	0	0	Local transmission	0	 	 	 							
Austria	182	51	0	0	Local transmission	0	 	 	 							
Greece	89	16	0	0	Local transmission	0	 	 	 							
Israel	75	36	0	0	Local transmission	0	 	 	 							
San Marino	63	14	2	0	Local transmission	0	 	 	 							
Czechia	61	23	0	0	Local transmission	0	 	 	 							
Iceland	61	0	0	0	Local transmission	1	 	 	 							
Portugal	41	11	0	0	Local transmission	0	 	 	 							
Finland	40	0	0	0	Local transmission	1	 	 	 							
Ireland	34	10	0	0	Local transmission	0	 	 	 							
Slovenia	31	8	0	0	Local transmission	0	 	 	 							
Romania	25	10	0	0	Local transmission	0	 	 	 							
Georgia	23	8	0	0	Imported cases only	0	 	 	 							
Poland	22	6	0	0	Local transmission	0	 	 	 							
Croatia	16	4	0	0	Local transmission	0	 	 	 							
Estonia	13	3	0	0	Imported cases only	0	 	 	 							
Hungary	13	4	0	0	Local transmission	0	 	 	 							
Serbia	12	11	0	0	Local transmission	0	 	 	 							
Albania	10	8	0	0	Local transmission	0	 	 	 							
Bulgaria	6	2	0	0	Local transmission	0	 	 	 							
Azerbaijan	9	0	0	0	Imported cases only	4	 	 	 							
Belarus	9	3	0	0	Local transmission	0	 	 	 							
Latvia	8	2	0	0	Imported cases only	0	 	 	 							
North Macedonia	7	0	0	0	Local transmission	1	 	 	 							
Russian Federation	7	0	0	0	Imported cases only	4	 	 	 							
										Luxembourg	5.0	0.0	0.0	0.0	Imported cases only	1.0
										Bosnia and Herzegovina	4.0	2.0	0.0	0.0	Local transmission	0.0
										Malta	4.0	0.0	0.0	0.0	Imported cases only	1.0
										Republic of Moldova	3.0	2.0	0.0	0.0	Imported cases only	0.0
										Cyprus	2.0	0.0	0.0	0.0	Imported cases only	1.0
										Andorra	1.0	0.0	0.0	0.0	Imported cases only	8.0
										Armenia	1.0	0.0	0.0	0.0	Imported cases only	9.0
										Holy See	1.0	0.0	0.0	0.0	Under investigation	5.0
										Liechtenstein	1.0	0.0	0.0	0.0	Imported cases only	5.0
										Lithuania	1.0	0.0	0.0	0.0	Imported cases only	12.0
										Monaco	1.0	0.0	0.0	0.0	Under investigation	10.0
										Ukraine	1.0	0.0	0.0	0.0	Imported cases only	7.0
										Territories**	 	 	 	 	 	 
										Faroe Islands	2.0	0.0	0.0	0.0	Imported cases only	2.0
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	7.0
										Guernsey	1.0	0.0	0.0	0.0	Imported cases only	1.0
										South-East Asia Region	 	 	 	 	 	 
										India	60.0	16.0	0.0	0.0	Local transmission	0.0
										Thailand	59.0	6.0	1.0	0.0	Local transmission	0.0
										Indonesia	27.0	8.0	1.0	1.0	Local transmission	0.0
										Maldives	8.0	4.0	0.0	0.0	Local transmission	0.0
										Bangladesh	3.0	0.0	0.0	0.0	Local transmission	2.0
										Bhutan	1.0	0.0	0.0	0.0	Imported cases only	5.0
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	47.0
										Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	44.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	8042.0	881.0	291.0	54.0	Local transmission	0.0
										Bahrain	110.0	1.0	0.0	0.0	Local transmission	0.0
										United Arab Emirates	74.0	15.0	0.0	0.0	Local transmission	0.0
										Kuwait	69.0	4.0	0.0	0.0	Imported cases only	0.0
										Iraq	61.0	0.0	6.0	0.0	Local transmission	1.0
										Egypt	59.0	0.0	1.0	0.0	Local transmission	1.0
										Lebanon	41.0	9.0	1.0	1.0	Local transmission	0.0
										Qatar	24.0	6.0	0.0	0.0	Imported cases only	0.0
										Saudi Arabia	20.0	5.0	0.0	0.0	Local transmission	0.0
										Oman	18.0	0.0	0.0	0.0	Imported cases only	1.0
										Pakistan	16.0	0.0	0.0	0.0	Local transmission	1.0
										Tunisia	6.0	4.0	0.0	0.0	Local transmission	0.0
										Afghanistan	4.0	0.0	0.0	0.0	Imported cases only	3.0
										Morocco	3.0	1.0	1.0	1.0	Imported cases only	0.0
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	8.0
										Territories**	 	 	 	 	 	 
										occupied Palestinian territory	30.0	4.0	0.0	0.0	Local transmission	0.0
										Region of the Americas	 	 	 	 	 	 
										United States of America	696.0	224.0	25.0	6.0	Local transmission	0.0
										Canada	93.0	16.0	1.0	1.0	Local transmission	0.0
										Brazil	34.0	9.0	0.0	0.0	Local transmission	0.0
										Argentina	17.0	5.0	1.0	0.0	Imported cases only	0.0
										Chile	17.0	4.0	0.0	0.0	Local transmission	0.0
										Ecuador	15.0	0.0	0.0	0.0	Local transmission	2.0
										Costa Rica	13.0	4.0	0.0	0.0	Local transmission	0.0
										Peru	11.0	2.0	0.0	0.0	Local transmission	0.0
										Panama	8.0	7.0	1.0	1.0	Imported cases only	0.0
										Paraguay	5.0	4.0	0.0	0.0	Local transmission	0.0
										Mexico	7.0	0.0	0.0	0.0	Imported cases only	3.0
										Dominican Republic	5.0	0.0	0.0	0.0	Imported cases only	1.0
										Colombia	3.0	0.0	0.0	0.0	Imported cases only	1.0
										Bolivia (Plurinational State of)	2.0	2.0	0.0	0.0	Imported cases only	0.0
										Jamaica	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Territories**	 	 	 	 	 	 
										French Guiana	5.0	0.0	0.0	0.0	Imported cases only	3.0
										Martinique	3.0	1.0	0.0	0.0	Imported cases only	0.0
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	8.0
										Saint Barthelemy	1.0	0.0	0.0	0.0	Under investigation	8.0
										African Region	 	 	 	 	 	 
										Algeria	20.0	0.0	0.0	0.0	Local transmission	2.0
										South Africa	7.0	0.0	0.0	0.0	Imported cases only	1.0
										Senegal	4.0	0.0	0.0	0.0	Imported cases only	6.0
										Burkina Faso	2.0	2.0	0.0	0.0	Imported cases only	0.0
										Cameroon	2.0	0.0	0.0	0.0	Local transmission	4.0
										Nigeria	2.0	0.0	0.0	0.0	Imported cases only	2.0
										Democratic Republic of the Congo	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Togo	1.0	0.0	0.0	0.0	Imported cases only	4.0
										Subtotal for all regions	36668.0	4589.0	1123.0	258.0	 	 
										International conveyance (Diamond Princess)	696.0	0.0	7.0	0.0	Local transmission	3.0
										Grand total	37364.0	4589.0	1130.0	258.0	 	 
