Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Iraq	233	19	20	3	Local transmission	0	Territories**	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Lebanon	248.0	42.0	4.0	0.0	Local transmission	0.0														
							Kuwait	189.0	13.0	0.0	0.0	Local transmission	0.0							
							United Arab Emirates	153.0	0.0	2.0	0.0	Local transmission	1.0							
							Morocco	115.0	29.0	4.0	1.0	Local transmission	0.0							
							Jordan	112.0	28.0	0.0	0.0	Imported cases only	0.0							
							Tunisia	75.0	15.0	3.0	2.0	Local transmission	0.0							
							Oman	55.0	3.0	0.0	0.0	Local transmission	0.0							
							Afghanistan	40.0	16.0	1.0	1.0	Imported cases only	0.0							
							Sudan	2.0	0.0	1.0	0.0	Imported cases only	1.0							
							Djibouti	1.0	0.0	0.0	0.0	Under investigation	5.0							
							Somalia	1.0	0.0	0.0	0.0	Imported cases only	6.0							
							Syrian Arab Republic	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Territories**	 	 	 	 	 	 							
							occupied Palestinian territory	59.0	7.0	0.0	0.0	Local transmission	0.0							
							Region of the Americas	 	 	 	 	 	 							
							United States of America	31573.0	16354.0	402.0	201.0	Local transmission	0.0							
							Canada	1384.0	336.0	19.0	6.0	Local transmission	0.0							
							Brazil	904.0	0.0	11.0	0.0	Local transmission	1.0							
							Chile	632.0	198.0	1.0	0.0	Local transmission	0.0							
							Ecuador	532.0	26.0	7.0	0.0	Local transmission	0.0							
							Peru	318.0	0.0	2.0	0.0	Local transmission	1.0							
							Mexico	251.0	87.0	2.0	1.0	Local transmission	0.0							
							Panama	245.0	108.0	3.0	2.0	Local transmission	0.0							
							Argentina	225.0	67.0	4.0	1.0	Local transmission	0.0							
							Colombia	196.0	0.0	2.0	2.0	Local transmission	1.0							
							Uruguay	135.0	41.0	0.0	0.0	Imported cases only	0.0							
							Costa Rica	117.0	4.0	2.0	0.0	Local transmission	0.0							
							Dominican Republic	72.0	0.0	2.0	0.0	Local transmission	2.0							
							Venezuela (Bolivarian Republic of)	70.0	34.0	0.0	0.0	Imported cases only	0.0							
							Trinidad and Tobago	50.0	41.0	0.0	0.0	Imported cases only	0.0							
							Honduras	26.0	2.0	0.0	0.0	Imported cases only	0.0							
							Bolivia (Plurinational State of)	24.0	5.0	0.0	0.0	Local transmission	0.0							
							Paraguay	22.0	4.0	1.0	0.0	Local transmission	0.0							
							Jamaica	19.0	3.0	1.0	0.0	Local transmission	0.0							
							Guatemala	18.0	6.0	1.0	0.0	Imported cases only	0.0							
							Cuba	16.0	0.0	1.0	0.0	Imported cases only	2.0							
							Barbados	5.0	0.0	0.0	0.0	Imported cases only	2.0							
							Guyana	5.0	0.0	1.0	0.0	Local transmission	4.0							
							Bahamas	4.0	0.0	0.0	0.0	Local transmission	2.0							
							Haiti	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Nicaragua	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Saint Lucia	2.0	0.0	0.0	0.0	Imported cases only	7.0							
							Suriname	2.0	0.0	0.0	0.0	Imported cases only	2.0							
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	9.0							
							El Salvador	1.0	0.0	0.0	0.0	Imported cases only	3.0							
							Grenada	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	10.0							
							Territories**	 	 	 	 	 	 							
							Guadeloupe	56.0	5.0	0.0	0.0	Imported cases only	0.0							
							Martinique	32.0	0.0	0.0	0.0	Imported cases only	3.0							
							Puerto Rico	23.0	2.0	1.0	0.0	Imported cases only	0.0							
							French Guiana	18.0	3.0	0.0	0.0	Local transmission	0.0							
							Aruba	8.0	3.0	0.0	0.0	Imported cases only	0.0							
							United States Virgin Islands	6.0	0.0	0.0	0.0	Imported cases only	1.0							
							Saint Martin	5.0	1.0	0.0	0.0	Under investigation	0.0							
							Cayman Islands	3.0	0.0	1.0	0.0	Imported cases only	3.0							
							Curaçao	3.0	0.0	1.0	0.0	Imported cases only	6.0							
							Saint Barthélemy	3.0	0.0	0.0	0.0	Under investigation	7.0							
							Bermuda	2.0	0.0	0.0	0.0	Imported cases only	4.0							
							Montserrat	1.0	0.0	0.0	0.0	Imported cases only	5.0							
							Sint Maarten	1.0	0.0	0.0	0.0	Imported cases only	5.0							
							African Region	 	 	 	 	 	 							
							South Africa	274.0	34.0	0.0	0.0	Local transmission	0.0							
							Algeria	201.0	107.0	17.0	2.0	Local transmission	0.0							
							Burkina Faso	75.0	3.0	3.0	0.0	Local transmission	0.0							
							Senegal	67.0	11.0	0.0	0.0	Local transmission	0.0							
							Cameroon	40.0	13.0	0.0	0.0	Local transmission	0.0							
							Democratic Republic of the Congo	30.0	7.0	2.0	1.0	Local transmission	0.0							
							Côte d’Ivoire	25.0	16.0	0.0	0.0	Imported cases only	0.0							
							Ghana	24.0	5.0	0.0	0.0	Local transmission	0.0							
							Nigeria	22.0	0.0	0.0	0.0	Imported cases only	1.0							
							Rwanda	17.0	0.0	0.0	0.0	Local transmission	1.0							
							Togo	16.0	1.0	0.0	0.0	Imported cases only	0.0							
							Kenya	15.0	8.0	0.0	0.0	Local transmission	0.0							
							Madagascar	12.0	9.0	0.0	0.0	Under investigation	0.0							
							Mauritius	12.0	0.0	0.0	0.0	Imported cases only	2.0							
							United Republic of Tanzania	12.0	6.0	0.0	0.0	Imported cases only	0.0							
							Ethiopia	11.0	2.0	0.0	0.0	Imported cases only	0.0							
							Seychelles	7.0	0.0	0.0	0.0	Imported cases only	1.0							
							Equatorial Guinea	6.0	0.0	0.0	0.0	Imported cases only	1.0							
							Gabon	6.0	3.0	1.0	0.0	Imported cases only	0.0							
							Central African Republic	4.0	1.0	0.0	0.0	Imported cases only	0.0							
							Congo	4.0	0.0	0.0	0.0	Imported cases only	1.0							
							Eswatini	4.0	3.0	0.0	0.0	Imported cases only	0.0							
							Cabo Verde	3.0	0.0	0.0	0.0	Imported cases only	1.0							
							Liberia	3.0	0.0	0.0	0.0	Local transmission	1.0							
							Namibia	3.0	0.0	0.0	0.0	Imported cases only	3.0							
							Zambia	3.0	1.0	0.0	0.0	Imported cases only	0.0							
							Angola	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Benin	2.0	0.0	0.0	0.0	Imported cases only	3.0							
							Guinea	2.0	0.0	0.0	0.0	Imported cases only	3.0							
							Mauritania	2.0	0.0	0.0	0.0	Imported cases only	4.0							
							Zimbabwe	2.0	0.0	0.0	0.0	Imported cases only	1.0							
							Chad	1.0	0.0	0.0	0.0	Imported cases only	3.0							
							Eritrea	1.0	0.0	0.0	0.0	Imported cases only	1.0							
							Gambia	1.0	0.0	0.0	0.0	Imported cases only	5.0							
							Mozambique	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Niger	1.0	0.0	0.0	0.0	Imported cases only	3.0							
							Uganda	1.0	0.0	0.0	0.0	Imported cases only	1.0							
														Réunion	64.0	17.0	0.0	0.0	Under investigation	0.0
														Mayotte	14.0	3.0	0.0	0.0	Imported cases only	0.0
														Subtotal for all regions	332218.0	40788.0	14502.0	1727.0	 	 
														International conveyance (Diamond Princess)	712.0	0.0	7.0	0.0	Local transmission	7.0
														Grand total	332930.0	40788.0	14509.0	1727.0	 	 
