Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	North Macedonia	1	0	0.1	0.2	Imported cases only	7
Bosnia and Herzegovina	2	2	0	0	Local transmission	0	 	 	 							
Estonia	2	0	0	0	Imported cases only	1	 	 	 							
Hungary	2	2	0	0	Imported cases only	0	 	 	 							
Ireland	2	0	0	0	Imported cases only	1	 	 	 							
Andorra	1	0	0	0	Imported cases only	2	 	 	 							
Armenia	1	0	0	0	Imported cases only	3	 	 	 							
Latvia	1	0	0	0	Imported cases only	2	 	 	 							
Lithuania	1	0	0	0	Imported cases only	6	 	 	 							
Luxembourg	1	0	0	0	Imported cases only	3	 	 	 							
Monaco	1	0	0	0	Under investigation	4	 	 	 							
										Poland	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Slovenia	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Ukraine	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Liechtenstein	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Territories**	 	 	 	 	 	 
										Gibraltar	1.0	0.0	0.0	0.0	Imported cases only	1.0
										South-East Asia Region	 	 	 	 	 	 
										Thailand	47.0	4.0	1.0	0.0	Local transmission	0.0
										India	29.0	23.0	0.0	0.0	Local transmission	0.0
										Indonesia	2.0	0.0	0.0	0.0	Local transmission	3.0
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	41.0
										Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	38.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	2922.0	586.0	92.0	15.0	Local transmission	0.0
										Kuwait	58.0	2.0	0.0	0.0	Imported cases only	0.0
										Bahrain	49.0	0.0	0.0	0.0	Imported cases only	2.0
										Iraq	36.0	5.0	2.0	2.0	Imported cases only	0.0
										United Arab Emirates	27.0	0.0	0.0	0.0	Local transmission	1.0
										Oman	15.0	3.0	0.0	0.0	Imported cases only	0.0
										Lebanon	13.0	0.0	0.0	0.0	Local transmission	2.0
										Qatar	8.0	0.0	0.0	0.0	Imported cases only	1.0
										Pakistan	5.0	0.0	0.0	0.0	Imported cases only	2.0
										Egypt	2.0	0.0	0.0	0.0	Imported cases only	3.0
										Morocco	2.0	1.0	0.0	0.0	Imported cases only	0.0
										Saudi Arabia	2.0	1.0	0.0	0.0	Imported cases only	0.0
										Afghanistan	1.0	0.0	0.0	0.0	Imported cases only	9.0
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Tunisia	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Territories**	 	 	 	 	 	 
										occupied Palestinian territory	4.0	4.0	0.0	0.0	Imported cases only	0.0
										Region of the Americas	 	 	 	 	 	 
										the United States	129.0	21.0	9.0	3.0	Local transmission	0.0
										Canada	30.0	0.0	0.0	0.0	Local transmission	1.0
										Ecuador	7.0	0.0	0.0	0.0	Local transmission	1.0
										Mexico	5.0	0.0	0.0	0.0	Imported cases only	3.0
										Brazil	3.0	1.0	0.0	0.0	Imported cases only	0.0
										Argentina	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Chile	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Dominican Republic	1.0	0.0	0.0	0.0	Imported cases only	3.0
										Territories**	 	 	 	 	 	 
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	2.0
										Saint Barthélemy	1.0	0.0	0.0	0.0	Under investigation	2.0
										African Region	 	 	 	 	 	 
										Algeria	12.0	7.0	0.0	0.0	Local transmission	0.0
										Senegal	4.0	3.0	0.0	0.0	Imported cases only	0.0
										Nigeria	1.0	0.0	0.0	0.0	Imported cases only	6.0
										Subtotal for all regions	14053.0	2089.0	260.0	53.0	 	 
										International	706.0	0.0	6.0	0.0	Local transmission	3.0
										conveyance (Diamond Princess)	 	 	 	 	 	 
										Grand total§	14759.0	2089.0	266.0	53.0	 	 
