Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Thailand	1978	103	19	4	Local transmission	0	Ghana	204	5	0.1	1
								Somalia	7.0	2.0	0.0	0.0	Imported cases only	0.0					
								Territories**	 	 	 	 	 	 					
								occupied Palestinian territory	193.0	28.0	1.0	0.0	Local transmission	0.0					
								Region of the Americas	 	 	 	 	 	 					
								United States of America	241703.0	28103.0	5854.0	1061.0	Local transmission	0.0					
								Canada	11732.0	1618.0	152.0	25.0	Local transmission	0.0					
								Brazil	7910.0	1074.0	299.0	58.0	Local transmission	0.0					
								Chile	3737.0	333.0	22.0	4.0	Local transmission	0.0					
								Ecuador	3163.0	0.0	120.0	0.0	Local transmission	1.0					
								Mexico	1510.0	132.0	50.0	13.0	Local transmission	0.0					
								Dominican Republic	1488.0	108.0	68.0	8.0	Local transmission	0.0					
								Panama	1475.0	158.0	37.0	5.0	Local transmission	0.0					
								Peru	1414.0	91.0	51.0	10.0	Local transmission	0.0					
								Argentina	1265.0	132.0	37.0	6.0	Local transmission	0.0					
								Colombia	1161.0	96.0	19.0	2.0	Local transmission	0.0					
								Costa Rica	396.0	21.0	2.0	0.0	Local transmission	0.0					
								Uruguay	369.0	19.0	4.0	0.0	Local transmission	0.0					
								Cuba	269.0	36.0	6.0	0.0	Local transmission	0.0					
								Honduras	222.0	3.0	15.0	1.0	Local transmission	0.0					
								Venezuela (Bolivarian Republic of)	144.0	0.0	3.0	0.0	Local transmission	1.0					
								Bolivia (Plurinational State of)	132.0	9.0	9.0	1.0	Local transmission	0.0					
								Trinidad and Tobago	97.0	7.0	6.0	1.0	Local transmission	0.0					
								Paraguay	92.0	15.0	3.0	0.0	Local transmission	0.0					
								Guatemala	50.0	3.0	1.0	0.0	Local transmission	0.0					
								Jamaica	47.0	3.0	3.0	0.0	Local transmission	0.0					
								El Salvador	46.0	5.0	2.0	0.0	Local transmission	0.0					
								Barbados	45.0	0.0	0.0	0.0	Local transmission	1.0					
								Bahamas	24.0	3.0	3.0	2.0	Local transmission	0.0					
								Guyana	19.0	0.0	4.0	0.0	Local transmission	2.0					
								Haiti	18.0	2.0	0.0	0.0	Imported cases only	0.0					
								Saint Lucia	13.0	0.0	0.0	0.0	Local transmission	2.0					
								Dominica	11.0	0.0	0.0	0.0	Local transmission	8.0					
								Grenada	10.0	0.0	0.0	0.0	Local transmission	1.0					
								Suriname	10.0	2.0	0.0	0.0	Local transmission	0.0					
								Saint Kitts and Nevis	8.0	0.0	0.0	0.0	Imported cases only	3.0					
								Antigua and Barbuda	7.0	0.0	0.0	0.0	Imported cases only	7.0					
								Nicaragua	5.0	0.0	1.0	0.0	Imported cases only	2.0					
								Belize	3.0	0.0	0.0	0.0	Local transmission	4.0					
								Saint Vincent and the Grenadines	3.0	1.0	0.0	0.0	Imported cases only	0.0					
								Territories**	 	 	 	 	 	 					
								Puerto Rico	378.0	62.0	15.0	3.0	Local transmission	0.0					
								Martinique	138.0	7.0	3.0	0.0	Local transmission	0.0					
								Guadeloupe	130.0	2.0	7.0	1.0	Local transmission	0.0					
								Aruba	62.0	2.0	0.0	0.0	Local transmission	0.0					
								French Guiana	57.0	2.0	0.0	0.0	Local transmission	0.0					
								United States Virgin Islands	37.0	4.0	0.0	0.0	Local transmission	0.0					
								Bermuda	35.0	3.0	0.0	0.0	Local transmission	0.0					
								Cayman Islands	28.0	6.0	1.0	0.0	Local transmission	0.0					
								Sint Maarten	23.0	5.0	2.0	1.0	Imported cases only	0.0					
								Saint Martin	22.0	0.0	2.0	0.0	Under investigation	1.0					
								Curaçao	11.0	0.0	1.0	0.0	Imported cases only	4.0					
								Saint Barthélemy	6.0	0.0	0.0	0.0	Under investigation	4.0					
								Montserrat	5.0	0.0	0.0	0.0	Imported cases only	7.0					
								Turks and Caicos Islands	5.0	0.0	0.0	0.0	Local transmission	4.0					
								Anguilla	3.0	1.0	0.0	0.0	Local transmission	0.0					
								British Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	3.0					
								Bonaire, Sint Eustatius and Saba	2.0	2.0	0.0	0.0	Imported cases only	0.0					
								African Region	 	 	 	 	 	 					
								South Africa	1505.0	43.0	7.0	2.0	Local transmission	0.0					
								Algeria	986.0	0.0	83.0	0.0	Local transmission	1.0					
								Burkina Faso	261.0	0.0	15.0	1.0	Local transmission	3.0					
								Cameroon	246.0	0.0	7.0	0.0	Local transmission	1.0					
								Senegal	207.0	12.0	1.0	0.0	Local transmission	0.0					
													Local transmission	13	Côte d’Ivoire	203	1	0.0	0.0
													Local transmission	16	Nigeria	190	2	0.0	0.0
													Local transmission	17	Mauritius	186	7	0.0	0.0
													Local transmission	0	Democratic Republic of the Congo	134	13	0.0	1.0
													Local transmission	12	Kenya	122	4	1.0	0.0
													Local transmission	24	Niger	98	5	0.0	0.0
													Local transmission	5	Rwanda	89	0	0.0	0.0
													Local transmission	0	Madagascar	65	0	0.0	1.0
													Local transmission	0	Guinea	52	0	0.0	1.0
													Local transmission	1	Uganda	45	0	0.0	0.0
													Local transmission	0	Congo	41	3	1.0	1.0
													Local transmission	0	Togo	39	2	0.0	1.0
													Local transmission	0	Zambia	39	1	0.0	1.0
													Local transmission	8	Mali	36	3	0.0	0.0
													Local transmission	4	Ethiopia	35	0	0.0	0.0
													Imported cases only	3	Gabon	21	1	0.0	0.0
													Local transmission	0	Eritrea	20	0	0.0	1.0
													Local transmission	0	United Republic of Tanzania	20	1	0.0	2.0
													Local transmission	0	Equatorial Guinea	15	0	0.0	1.0
													Imported cases only	6	Guinea-Bissau	15	0	0.0	0.0
													Imported cases only	0	Benin	13	0	0.0	2.0
													Local transmission	0	Namibia	13	0	0.0	1.0
													Imported cases only	2	Angola	10	2	0.0	0.0
													Local transmission	0	Mozambique	10	0	0.0	2.0
													Imported cases only	0	Seychelles	10	0	0.0	2.0
													Imported cases only	0	Eswatini	9	0	0.0	7.0
													Local transmission	1	Zimbabwe	9	1	0.0	0.0
													Imported cases only	0	Central African Republic	8	0	0.0	2.0
													Imported cases only	0	Chad	7	0	0.0	3.0
													Local transmission	1	Liberia	7	0	0.0	0.0
													Imported cases only	1	Mauritania	6	1	1.0	0.0
													Imported cases only	0	Cabo Verde	5	1	0.0	7.0
													Imported cases only	0	Botswana	4	1	0.0	1.0
													Imported cases only	0	Gambia	4	1	0.0	1.0
													Local transmission	1	Burundi	3	0	0.0	0.0
													Local transmission	0	Malawi	3	0	0.0	1.0
													Imported cases only	0	Sierra Leone	2	0	0.0	2.0
													 	 	Territories**	 	 	 	 
													Local transmission	13	Réunion	321	0	0.0	0.0
													Local transmission	0	Mayotte	128	2	0.0	1.0
													 	79 394	Subtotal for all regions	1 050985	56 975	6665.0	 
													Local transmission	0	International conveyance (Diamond Princess)	712	11	0.0	19.0
													 	79 394	Grand total	1 051697	56 986	6665.0	 
